# Sesion:10 Fecha:2026-04-03 23:28:11 Shots:1 Duracion:9,49s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
0.0000,1889376,0.109680,-0.022522,0.684143,-0.720703,71.7911,0
0.0100,1889386,0.103882,-0.024414,0.684998,-0.720703,72.0331,0
0.0200,1889396,0.098145,-0.026306,0.685852,-0.720642,72.2966,0
0.0300,1889406,0.092407,-0.028259,0.686646,-0.720520,72.5715,0
0.0400,1889416,0.086670,-0.030334,0.687500,-0.720337,72.8544,0
0.0500,1889426,0.080933,-0.032471,0.688354,-0.720093,73.1532,0
0.0600,1889436,0.075317,-0.034729,0.689148,-0.719849,73.4701,0
0.0700,1889446,0.069702,-0.036987,0.689819,-0.719666,73.8113,0
0.0800,1889456,0.064270,-0.039307,0.690430,-0.719482,74.1750,0
0.0900,1889466,0.058960,-0.041626,0.690979,-0.719238,74.5566,0
0.1000,1889476,0.053833,-0.044067,0.691467,-0.719055,74.9483,0
0.1100,1889486,0.048828,-0.046448,0.691956,-0.718811,75.3577,0
0.1200,1889496,0.043945,-0.048828,0.692261,-0.718628,75.7864,0
0.1300,1889506,0.039185,-0.051147,0.692566,-0.718445,76.2530,0
0.1400,1889516,0.034485,-0.053467,0.692932,-0.718201,76.7142,0
0.1500,1889526,0.029907,-0.055725,0.693359,-0.717773,77.1590,0
0.1600,1889536,0.025391,-0.057861,0.693970,-0.717224,77.5900,0
0.1700,1889546,0.020813,-0.059998,0.694641,-0.716553,78.0008,0
0.1800,1889556,0.016357,-0.062073,0.695374,-0.715759,78.4160,0
0.1900,1889566,0.011902,-0.064087,0.696045,-0.715027,78.8609,0
0.2000,1889576,0.007568,-0.066101,0.696594,-0.714417,79.3425,0
0.2100,1889586,0.003296,-0.067993,0.696838,-0.713989,79.8648,0
0.2200,1889596,-0.000977,-0.069763,0.696899,-0.713806,80.4192,0
0.2300,1889606,-0.005188,-0.071411,0.696655,-0.713806,80.9785,0
0.2400,1889616,-0.009277,-0.072998,0.696350,-0.713928,81.5204,0
0.2500,1889626,-0.017517,-0.075867,0.696106,-0.713745,82.0297,0
0.2600,1889636,-0.021545,-0.077209,0.696228,-0.713318,82.5034,0
0.2700,1889646,-0.025452,-0.078674,0.696472,-0.712769,82.9581,0
0.2800,1889656,-0.029297,-0.080139,0.696777,-0.712158,83.4030,0
0.2900,1889666,-0.033020,-0.081604,0.697205,-0.711426,83.8297,0
0.3000,1889676,-0.036621,-0.083069,0.697754,-0.710510,84.2271,0
0.3100,1889686,-0.040100,-0.084473,0.698608,-0.709351,84.5898,0
0.3200,1889696,-0.043335,-0.085754,0.699707,-0.707947,84.9071,0
0.3300,1889706,-0.046387,-0.086975,0.700928,-0.706421,85.2101,0
0.3400,1889716,-0.049072,-0.088135,0.702087,-0.704895,85.5255,0
0.3500,1889726,-0.051453,-0.089294,0.703064,-0.703613,85.8726,0
0.3600,1889736,-0.053467,-0.090393,0.703796,-0.702637,86.2612,0
0.3700,1889746,-0.054871,-0.091064,0.703491,-0.702698,86.6890,0
0.3800,1889756,-0.056030,-0.091675,0.703186,-0.702881,87.1362,0
0.3900,1889766,-0.057068,-0.092346,0.702759,-0.703064,87.5933,0
0.4000,1889776,-0.057983,-0.092896,0.702332,-0.703369,88.0656,0
0.4100,1889786,-0.058960,-0.093506,0.701965,-0.703613,88.5314,0
0.4200,1889796,-0.059875,-0.094116,0.701721,-0.703674,88.9599,0
0.4300,1889806,-0.060852,-0.094666,0.701721,-0.703552,89.3274,0
0.4400,1889816,-0.061829,-0.095215,0.701904,-0.703186,89.6484,0
0.4500,1889826,-0.062683,-0.095825,0.702148,-0.702759,89.9520,0
0.4600,1889836,-0.063660,-0.096619,0.702759,-0.701965,90.2674,0
0.4700,1889846,-0.064514,-0.097595,0.703247,-0.701294,90.5923,0
0.4800,1889856,-0.065308,-0.098572,0.703613,-0.700684,90.9185,0
0.4900,1889866,-0.065979,-0.099548,0.703918,-0.700195,91.2423,0
0.5000,1889876,-0.066528,-0.100586,0.704163,-0.699768,91.5664,0
