# Sesion:3 Fecha:2026-04-03 22:56:14 Shots:1 Duracion:16,62s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
0.8400,45496,0.157837,-0.238037,0.655884,-0.698730,91.9340,0
0.8500,45506,0.158142,-0.237915,0.655884,-0.698730,91.9465,0
0.8600,45516,0.158325,-0.237793,0.655945,-0.698669,91.9511,0
0.8700,45526,0.158569,-0.237549,0.656006,-0.698608,91.9531,0
0.8800,45536,0.158813,-0.237366,0.656067,-0.698608,91.9525,0
0.8900,45546,0.159058,-0.237122,0.656128,-0.698547,91.9519,0
0.9000,45556,0.159607,-0.236816,0.656250,-0.698425,91.9476,0
0.9100,45566,0.159912,-0.236694,0.656311,-0.698364,91.9393,0
0.9200,45576,0.160156,-0.236572,0.656372,-0.698242,91.9254,0
0.9300,45586,0.160400,-0.236511,0.656494,-0.698120,91.9067,0
0.9400,45596,0.160645,-0.236450,0.656555,-0.697998,91.8871,0
0.9500,45606,0.160889,-0.236328,0.656738,-0.697815,91.8613,0
0.9600,45616,0.161194,-0.236206,0.656921,-0.697632,91.8302,0
0.9700,45626,0.161499,-0.236084,0.657166,-0.697388,91.7915,0
0.9800,45636,0.161865,-0.235901,0.657410,-0.697083,91.7500,0
0.9900,45646,0.162292,-0.235779,0.657593,-0.696838,91.7121,0
1.0000,45656,0.162781,-0.235657,0.657776,-0.696655,91.6837,0
1.0100,45666,0.163330,-0.235535,0.657837,-0.696472,91.6607,0
1.0200,45676,0.163940,-0.235474,0.657959,-0.696289,91.6430,0
1.0300,45686,0.164551,-0.235413,0.657959,-0.696167,91.6266,0
1.0400,45696,0.165161,-0.235352,0.657959,-0.695984,91.6056,0
1.0500,45706,0.165649,-0.235291,0.658081,-0.695801,91.5710,0
1.0600,45716,0.166138,-0.235229,0.658264,-0.695496,91.5244,0
1.0700,45726,0.166565,-0.235168,0.658569,-0.695190,91.4650,0
1.0800,45736,0.166992,-0.235107,0.658875,-0.694824,91.3992,0
1.0900,45746,0.167358,-0.235046,0.659180,-0.694397,91.3317,0
1.1000,45756,0.167786,-0.234985,0.659485,-0.694031,91.2675,0
1.1100,45766,0.168274,-0.234985,0.659790,-0.693665,91.2200,0
1.1200,45776,0.168823,-0.234985,0.659973,-0.693359,91.1889,0
1.1300,45786,0.169434,-0.234985,0.660034,-0.693115,91.1693,0
1.1400,45796,0.170044,-0.234985,0.660095,-0.692932,91.1590,0
1.1500,45806,0.170715,-0.234985,0.660034,-0.692810,91.1396,0
1.1600,45816,0.171265,-0.234985,0.660034,-0.692688,91.1020,0
1.1700,45826,0.171814,-0.234985,0.660156,-0.692444,91.0465,0
1.1800,45836,0.172729,-0.234863,0.660645,-0.691772,90.9866,0
1.1900,45846,0.173279,-0.234741,0.660828,-0.691467,90.9359,0
1.2000,45856,0.173828,-0.234680,0.660889,-0.691284,90.9049,0
1.2100,45866,0.174500,-0.234558,0.660889,-0.691223,90.8878,0
1.2200,45876,0.175110,-0.234436,0.660828,-0.691162,90.8810,0
1.2300,45886,0.175781,-0.234314,0.660706,-0.691101,90.8726,0
1.2400,45896,0.176392,-0.234192,0.660645,-0.691040,90.8591,0
1.2500,45906,0.177002,-0.234009,0.660645,-0.690979,90.8402,0
1.2600,45916,0.177673,-0.233826,0.660645,-0.690857,90.8120,0
1.2700,45926,0.178284,-0.233643,0.660767,-0.690674,90.7707,0
1.2800,45936,0.178833,-0.233459,0.660889,-0.690491,90.7205,0
1.2900,45946,0.179382,-0.233276,0.661072,-0.690247,90.6633,0
1.3000,45956,0.179932,-0.233154,0.661194,-0.690002,90.6057,0
1.3100,45966,0.180481,-0.232971,0.661255,-0.689819,90.5568,0
1.3200,45976,0.180969,-0.232849,0.661255,-0.689758,90.5229,0
1.3300,45986,0.181580,-0.232727,0.661255,-0.689697,90.4915,0
1.3400,45996,0.182068,-0.232605,0.661194,-0.689636,90.4603,0
1.3500,46006,0.182556,-0.232483,0.661194,-0.689514,90.4222,0
1.3600,46016,0.183044,-0.232361,0.661194,-0.689392,90.3813,0
1.3700,46026,0.183472,-0.232239,0.661316,-0.689270,90.3352,0
1.3800,46036,0.183838,-0.232117,0.661377,-0.689148,90.2882,0
1.3900,46046,0.184204,-0.231995,0.661438,-0.689026,90.2358,0
1.4000,46056,0.184509,-0.231873,0.661499,-0.688904,90.1752,0
1.4100,46066,0.184814,-0.231750,0.661682,-0.688721,90.1098,0
1.4200,46076,0.185059,-0.231628,0.661865,-0.688477,90.0447,0
1.4300,46086,0.185364,-0.231445,0.662048,-0.688293,89.9821,0
1.4400,46096,0.185608,-0.231323,0.662231,-0.688110,89.9266,0
1.4500,46106,0.186279,-0.231079,0.662415,-0.687805,89.8834,0
1.4600,46116,0.186584,-0.230957,0.662476,-0.687683,89.8440,0
1.4700,46126,0.186890,-0.230896,0.662537,-0.687622,89.8006,0
1.4800,46136,0.187195,-0.230774,0.662659,-0.687439,89.7473,0
1.4900,46146,0.187561,-0.230652,0.662842,-0.687195,89.6877,0
1.5000,46156,0.187927,-0.230530,0.663025,-0.686951,89.6273,0
1.5100,46166,0.188354,-0.230408,0.663147,-0.686768,89.5794,0
1.5200,46176,0.188721,-0.230225,0.663208,-0.686646,89.5386,0
1.5300,46186,0.189087,-0.230164,0.663269,-0.686523,89.5002,0
1.5400,46196,0.189392,-0.230042,0.663330,-0.686401,89.4566,0
1.5500,46206,0.189575,-0.229919,0.663513,-0.686279,89.4001,0
1.5600,46216,0.189758,-0.229797,0.663757,-0.686035,89.3359,0
1.5700,46226,0.189880,-0.229675,0.664001,-0.685791,89.2705,0
1.5800,46236,0.190063,-0.229553,0.664185,-0.685608,89.2131,0
1.5900,46246,0.190247,-0.229370,0.664368,-0.685425,89.1620,0
1.6000,46256,0.190430,-0.229248,0.664490,-0.685303,89.1164,0
1.6100,46266,0.190674,-0.229126,0.664612,-0.685181,89.0657,0
1.6200,46276,0.190918,-0.229004,0.664795,-0.684998,89.0151,0
1.6300,46286,0.191162,-0.228821,0.664978,-0.684814,88.9628,0
1.6400,46296,0.191467,-0.228638,0.665161,-0.684570,88.9070,0
1.6500,46306,0.191772,-0.228455,0.665344,-0.684326,88.8520,0
1.6600,46316,0.192200,-0.228271,0.665527,-0.684082,88.7925,0
1.6700,46326,0.192688,-0.228088,0.665771,-0.683838,88.7328,0
1.6800,46336,0.193176,-0.227844,0.666016,-0.683533,88.6736,0
1.6900,46346,0.193726,-0.227661,0.666260,-0.683167,88.6172,0
1.7000,46356,0.194275,-0.227356,0.666504,-0.682861,88.5677,0
1.7100,46366,0.194824,-0.227051,0.666687,-0.682617,88.5268,0
1.7200,46376,0.195435,-0.226685,0.666870,-0.682434,88.5008,0
1.7300,46386,0.196594,-0.225769,0.666931,-0.682373,88.4867,0
1.7400,46396,0.197083,-0.225342,0.666870,-0.682434,88.4724,0
1.7500,46406,0.197571,-0.224854,0.666809,-0.682495,88.4510,0
1.7600,46416,0.197937,-0.224548,0.666870,-0.682434,88.4090,0
1.7700,46426,0.198181,-0.224243,0.667053,-0.682251,88.3449,0
1.7800,46436,0.198425,-0.223999,0.667358,-0.681946,88.2576,0
1.7900,46446,0.198669,-0.223755,0.667786,-0.681580,88.1609,0
1.8000,46456,0.198914,-0.223511,0.668091,-0.681213,88.0713,0
1.8100,46466,0.199280,-0.223267,0.668396,-0.680969,87.9985,0
1.8200,46476,0.199707,-0.222961,0.668579,-0.680786,87.9410,0
1.8300,46486,0.200134,-0.222656,0.668640,-0.680603,87.8987,0
1.8400,46496,0.200623,-0.222290,0.668701,-0.680542,87.8601,0
1.8500,46506,0.201111,-0.221985,0.668762,-0.680420,87.8186,0
1.8600,46516,0.201538,-0.221680,0.668884,-0.680298,87.7736,0
1.8700,46526,0.201965,-0.221375,0.669006,-0.680176,87.7266,0
1.8800,46536,0.202393,-0.221069,0.669128,-0.680054,87.6723,0
1.8900,46546,0.202759,-0.220703,0.669373,-0.679810,87.5995,0
1.9000,46556,0.203064,-0.220398,0.669678,-0.679504,87.5113,0
1.9100,46566,0.203430,-0.220032,0.670044,-0.679138,87.4183,0
1.9200,46576,0.203796,-0.219666,0.670349,-0.678833,87.3357,0
1.9300,46586,0.204224,-0.219360,0.670532,-0.678650,87.2725,0
1.9400,46596,0.204651,-0.218994,0.670593,-0.678589,87.2408,0
1.9500,46606,0.205139,-0.218628,0.670532,-0.678589,87.2088,0
1.9600,46616,0.205627,-0.218262,0.670532,-0.678589,87.1699,0
1.9700,46626,0.206116,-0.217896,0.670532,-0.678528,87.1185,0
1.9800,46636,0.206604,-0.217529,0.670593,-0.678467,87.0553,0
1.9900,46646,0.207031,-0.217102,0.670776,-0.678284,86.9832,0
2.0000,46656,0.207458,-0.216736,0.671021,-0.678040,86.9092,0
2.0100,46666,0.208191,-0.215942,0.671509,-0.677612,86.8303,0
2.0200,46676,0.208557,-0.215576,0.671753,-0.677307,86.7493,0
2.0300,46686,0.208862,-0.215210,0.672058,-0.677063,86.6615,0
2.0400,46696,0.209167,-0.214966,0.672363,-0.676758,86.5701,0
2.0500,46706,0.209473,-0.214600,0.672729,-0.676392,86.4785,0
2.0600,46716,0.209778,-0.214294,0.672974,-0.676086,86.3948,0
2.0700,46726,0.210205,-0.213928,0.673218,-0.675903,86.3306,0
2.0800,46736,0.210571,-0.213501,0.673279,-0.675842,86.2855,0
2.0900,46746,0.210999,-0.213074,0.673218,-0.675903,86.2543,0
2.1000,46756,0.211487,-0.212646,0.673157,-0.675964,86.2317,0
2.1100,46766,0.211853,-0.212219,0.673096,-0.676025,86.2017,0
2.1200,46776,0.212219,-0.211792,0.673157,-0.675964,86.1553,0
2.1300,46786,0.212524,-0.211365,0.673279,-0.675903,86.0928,0
2.1400,46796,0.212769,-0.210937,0.673523,-0.675720,86.0160,0
2.1500,46806,0.212952,-0.210571,0.673828,-0.675476,85.9352,0
2.1600,46816,0.213135,-0.210266,0.674072,-0.675293,85.8589,0
2.1700,46826,0.213257,-0.209900,0.674255,-0.675110,85.7874,0
2.1800,46836,0.213440,-0.209534,0.674438,-0.674988,85.7241,0
2.1900,46846,0.213684,-0.209229,0.674561,-0.674927,85.6729,0
2.2000,46856,0.213867,-0.208923,0.674622,-0.674927,85.6264,0
2.2100,46866,0.214050,-0.208618,0.674622,-0.674927,85.5875,0
2.2200,46876,0.214294,-0.208252,0.674622,-0.674988,85.5523,0
2.2300,46886,0.214417,-0.207886,0.674622,-0.675049,85.5139,0
