# Sesion:3 Fecha:2026-06-02 08:59:05 Shots:0 Duracion:7,68s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,529376,0.329285,-0.447205,-0.593506,0.582520,-7.4780,112.7334,0
0.0100,529386,0.332458,-0.442810,-0.594666,0.582886,-6.9390,112.9311,0
0.0200,529396,0.335938,-0.438232,-0.595642,0.583313,-6.3762,113.1130,0
0.0300,529406,0.339478,-0.433472,-0.596436,0.584045,-5.8187,113.3118,0
0.0400,529416,0.343018,-0.428467,-0.597107,0.585022,-5.2608,113.5306,0
0.0500,529426,0.346497,-0.423340,-0.597717,0.586060,-4.7030,113.7543,0
0.0600,529436,0.350037,-0.418335,-0.598206,0.587097,-4.1529,113.9598,0
0.0700,529446,0.353455,-0.413574,-0.598572,0.588013,-3.6257,114.1358,0
0.0800,529456,0.356567,-0.409119,-0.598877,0.588928,-3.1416,114.3050,0
0.0900,529466,0.359558,-0.405151,-0.599121,0.589661,-2.6919,114.4377,0
0.1000,529476,0.362427,-0.401794,-0.599243,0.590027,-2.2796,114.5046,0
0.1100,529486,0.365417,-0.398987,-0.599304,0.589966,-1.8788,114.5008,0
0.1200,529496,0.368530,-0.396545,-0.599548,0.589478,-1.4673,114.4574,0
0.1300,529506,0.371826,-0.394287,-0.599792,0.588623,-1.0392,114.3655,0
0.1400,529516,0.375366,-0.392090,-0.599976,0.587708,-0.5986,114.2527,0
0.1500,529526,0.379211,-0.389893,-0.599915,0.586731,-0.1453,114.0994,0
0.1600,529536,0.383240,-0.387634,-0.599609,0.585999,0.3026,113.9427,0
0.1700,529546,0.387085,-0.385254,-0.598938,0.585693,0.7104,113.8001,0
0.1800,529556,0.394104,-0.381165,-0.596313,0.586365,1.3188,113.5108,0
0.1900,529566,0.397095,-0.379822,-0.594421,0.587158,1.4929,113.3468,0
0.2000,529576,0.399841,-0.378906,-0.592407,0.587891,1.6175,113.1586,0
0.2100,529586,0.402466,-0.378540,-0.590271,0.588501,1.6954,112.9336,0
0.2200,529596,0.404968,-0.378601,-0.588196,0.588806,1.7510,112.6755,0
0.2300,529606,0.407410,-0.379089,-0.586182,0.588806,1.7886,112.3828,0
0.2400,529616,0.409790,-0.380188,-0.584229,0.588379,1.8013,112.0379,0
0.2500,529626,0.412170,-0.381775,-0.582336,0.587585,1.7990,111.6492,0
0.2600,529636,0.414490,-0.383606,-0.580505,0.586609,1.7864,111.2442,0
0.2700,529646,0.416870,-0.385498,-0.578552,0.585571,1.7701,110.8179,0
0.2800,529656,0.419128,-0.387024,-0.576660,0.584839,1.7590,110.4444,0
0.2900,529666,0.421509,-0.388367,-0.574463,0.584351,1.7419,110.0670,0
0.3000,529676,0.423950,-0.389771,-0.571899,0.584167,1.6923,109.6820,0
0.3100,529686,0.426575,-0.391235,-0.568970,0.584167,1.6230,109.2739,0
