# Sesion:7 Fecha:2026-04-09 17:55:34 Shots:1 Duracion:16,84s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
0.0000,1642546,-0.678284,0.727600,-0.101563,0.014282,64.7451,0,0
0.0100,1642556,-0.678833,0.727600,-0.097351,0.018372,65.5588,0,0
0.0200,1642566,-0.679443,0.727417,-0.093140,0.022339,66.3779,0,0
0.0300,1642576,-0.680054,0.727234,-0.089111,0.026184,67.1879,0,0
0.0400,1642586,-0.680603,0.727051,-0.085205,0.029907,67.9749,0,0
0.0500,1642596,-0.680908,0.727051,-0.081421,0.033447,68.7246,0,0
0.0600,1642606,-0.681030,0.727173,-0.077881,0.036987,69.4331,0,0
0.0700,1642616,-0.680908,0.727478,-0.074463,0.040405,70.1044,0,0
0.0800,1642626,-0.680664,0.727783,-0.071228,0.043823,70.7554,0,0
0.0900,1642636,-0.680420,0.728149,-0.068054,0.047302,71.4193,0,0
0.1000,1642646,-0.680054,0.728516,-0.065002,0.050781,72.0752,0,0
0.1100,1642656,-0.679687,0.728821,-0.062073,0.054321,72.7177,0,0
0.1200,1642666,-0.679260,0.729248,-0.059143,0.057983,73.3462,0,0
0.1300,1642676,-0.678650,0.729736,-0.056335,0.061646,73.9457,0,0
0.1400,1642686,-0.677795,0.730347,-0.053650,0.065247,74.5122,0,0
0.1500,1642696,-0.676819,0.731140,-0.051147,0.068787,75.0250,0,0
0.1600,1642706,-0.675659,0.732056,-0.048767,0.072205,75.5305,0,0
0.1700,1642716,-0.674500,0.732971,-0.046509,0.075500,76.0355,0,0
0.1800,1642726,-0.673340,0.733826,-0.044373,0.078552,76.5414,0,0
0.1900,1642736,-0.672241,0.734619,-0.042419,0.081482,77.0466,0,0
0.2000,1642746,-0.671204,0.735413,-0.040649,0.084167,77.5565,0,0
0.2100,1642756,-0.670227,0.736084,-0.039063,0.086609,78.0875,0,0
0.2200,1642766,-0.669006,0.736755,-0.035889,0.091309,78.6563,0,0
0.2300,1642776,-0.668945,0.736572,-0.034119,0.093628,79.2686,0,0
0.2400,1642786,-0.669189,0.736145,-0.032288,0.095825,79.9135,0,0
0.2500,1642796,-0.669617,0.735596,-0.030334,0.097961,80.5692,0,0
0.2600,1642806,-0.669983,0.735046,-0.028442,0.099976,81.1981,0,0
0.2700,1642816,-0.670166,0.734680,-0.026672,0.101929,81.7850,0,0
0.2800,1642826,-0.670166,0.734497,-0.025024,0.103882,82.3250,0,0
0.2900,1642836,-0.669983,0.734436,-0.023437,0.105835,82.8227,0,0
0.3000,1642846,-0.669556,0.734619,-0.021912,0.107727,83.2789,0,0
0.3100,1642856,-0.668945,0.734924,-0.020447,0.109558,83.6904,0,0
0.3200,1642866,-0.668030,0.735474,-0.019104,0.111267,84.0607,0,0
0.3300,1642876,-0.667053,0.736206,-0.017883,0.112854,84.3952,0,0
0.3400,1642886,-0.665955,0.737000,-0.016663,0.114441,84.7171,0,0
0.3500,1642896,-0.664978,0.737610,-0.015503,0.115906,85.0503,0,0
0.3600,1642906,-0.664246,0.738098,-0.014282,0.117310,85.4106,0,0
0.3700,1642916,-0.663757,0.738342,-0.013123,0.118591,85.8017,0,0
0.3800,1642926,-0.663513,0.738403,-0.012024,0.119751,86.2244,0,0
0.3900,1642936,-0.663513,0.738281,-0.010864,0.120789,86.6645,0,0
0.4000,1642946,-0.663635,0.738037,-0.009766,0.121826,87.1127,0,0
0.4100,1642956,-0.663757,0.737732,-0.008606,0.122803,87.5514,0,0
0.4200,1642966,-0.663818,0.737549,-0.007446,0.123779,87.9644,0,0
0.4300,1642976,-0.663757,0.737427,-0.006409,0.124695,88.3457,0,0
0.4400,1642986,-0.663635,0.737427,-0.005554,0.125488,88.6674,0,0
