# Sesion:16 Fecha:2026-04-09 18:04:36 Shots:1 Duracion:23,60s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
0.0000,2164486,-0.691162,0.715332,0.017761,-0.101440,65.8296,0,0
0.0100,2164496,-0.691406,0.715576,0.021423,-0.097168,66.4469,0,0
0.0200,2164506,-0.691711,0.716125,0.028259,-0.088806,67.0670,0,0
0.0300,2164516,-0.691833,0.716370,0.031372,-0.084778,67.6948,0,0
0.0400,2164526,-0.692078,0.716431,0.034363,-0.080933,68.3349,0,0
0.0500,2164536,-0.692322,0.716431,0.037231,-0.077271,68.9827,0,0
0.0600,2164546,-0.692688,0.716370,0.039978,-0.073853,69.6333,0,0
0.0700,2164556,-0.692932,0.716248,0.042603,-0.070496,70.2752,0,0
0.0800,2164566,-0.693176,0.716187,0.045227,-0.067261,70.9058,0,0
0.0900,2164576,-0.693359,0.716187,0.047729,-0.064026,71.5191,0,0
0.1000,2164586,-0.693420,0.716187,0.050110,-0.060913,72.1158,0,0
0.1100,2164596,-0.693481,0.716248,0.052429,-0.057739,72.6986,0,0
0.1200,2164606,-0.693481,0.716309,0.054626,-0.054504,73.2659,0,0
0.1300,2164616,-0.693420,0.716492,0.056702,-0.051208,73.8188,0,0
0.1400,2164626,-0.693420,0.716553,0.058716,-0.047974,74.3707,0,0
0.1500,2164636,-0.693420,0.716614,0.060669,-0.044678,74.9251,0,0
0.1600,2164646,-0.693481,0.716553,0.062561,-0.041443,75.4838,0,0
0.1700,2164656,-0.693542,0.716553,0.064392,-0.038208,76.0304,0,0
0.1800,2164666,-0.693298,0.716797,0.065979,-0.035278,76.5485,0,0
0.1900,2164676,-0.693054,0.716980,0.067566,-0.032288,77.0564,0,0
0.2000,2164686,-0.692627,0.717346,0.068970,-0.029541,77.5313,0,0
0.2100,2164696,-0.692139,0.717834,0.070190,-0.027344,77.9825,0,0
0.2200,2164706,-0.691589,0.718323,0.071411,-0.025146,78.4206,0,0
0.2300,2164716,-0.691162,0.718628,0.072510,-0.023499,78.8741,0,0
0.2400,2164726,-0.690918,0.718872,0.073547,-0.022034,79.3571,0,0
0.2500,2164736,-0.690735,0.718933,0.074524,-0.020752,79.8395,0,0
0.2600,2164746,-0.690674,0.718933,0.075562,-0.019653,80.3160,0,0
0.2700,2164756,-0.690674,0.718872,0.076599,-0.018677,80.7802,0,0
0.2800,2164766,-0.690674,0.718750,0.077515,-0.017761,81.2342,0,0
0.2900,2164776,-0.690674,0.718689,0.078491,-0.016846,81.6747,0,0
0.3000,2164786,-0.690735,0.718567,0.079407,-0.015930,82.1067,0,0
0.3100,2164796,-0.690918,0.718201,0.081116,-0.013855,82.5258,0,0
0.3200,2164806,-0.691040,0.718079,0.081909,-0.012756,82.9279,0,0
0.3300,2164816,-0.691040,0.717957,0.082642,-0.011597,83.3120,0,0
0.3400,2164826,-0.691040,0.717896,0.083435,-0.010437,83.6809,0,0
0.3500,2164836,-0.690979,0.717896,0.084229,-0.009277,84.0282,0,0
0.3600,2164846,-0.690796,0.718018,0.084900,-0.008240,84.3566,0,0
0.3700,2164856,-0.690613,0.718140,0.085510,-0.007202,84.6683,0,0
0.3800,2164866,-0.690369,0.718323,0.086060,-0.006226,84.9647,0,0
0.3900,2164876,-0.690063,0.718567,0.086426,-0.005371,85.2425,0,0
0.4000,2164886,-0.689636,0.718933,0.086670,-0.004578,85.4958,0,0
0.4100,2164896,-0.689209,0.719299,0.086731,-0.003967,85.7254,0,0
0.4200,2164906,-0.688782,0.719788,0.086731,-0.003479,85.9377,0,0
0.4300,2164916,-0.688293,0.720276,0.086670,-0.002991,86.1382,0,0
0.4400,2164926,-0.687866,0.720642,0.086670,-0.002502,86.3454,0,0
0.4500,2164936,-0.687561,0.720886,0.086792,-0.002075,86.5631,0,0
0.4600,2164946,-0.687439,0.721008,0.087036,-0.001709,86.7985,0,0
0.4700,2164956,-0.687439,0.720947,0.087341,-0.001404,87.0480,0,0
0.4800,2164966,-0.687500,0.720825,0.087769,-0.001160,87.2995,0,0
0.4900,2164976,-0.687561,0.720764,0.088135,-0.000977,87.5389,0,0
0.5000,2164986,-0.687622,0.720703,0.088318,-0.000977,87.7623,0,0
0.5100,2164996,-0.687622,0.720703,0.088440,-0.001038,87.9673,0,0
0.5200,2165006,-0.687561,0.720764,0.088379,-0.001099,88.1544,0,0
0.5300,2165016,-0.687439,0.720825,0.088318,-0.001160,88.3232,0,0
0.5400,2165026,-0.687317,0.720947,0.088257,-0.001099,88.4842,0,0
0.5500,2165036,-0.687195,0.721069,0.088318,-0.001038,88.6389,0,0
0.5600,2165046,-0.687134,0.721130,0.088501,-0.000854,88.7955,0,0
0.5700,2165056,-0.687073,0.721130,0.088806,-0.000671,88.9515,0,0
0.5800,2165066,-0.687073,0.721069,0.089294,-0.000366,89.1041,0,0
0.5900,2165076,-0.687073,0.721069,0.089722,-0.000183,89.2402,0,0
0.6000,2165086,-0.686768,0.721252,0.090454,0.000122,89.3565,0,0
0.6100,2165096,-0.686462,0.721497,0.090576,0.000183,89.4492,0,0
0.6200,2165106,-0.686096,0.721863,0.090515,0.000183,89.5236,0,0
0.6300,2165116,-0.685669,0.722290,0.090393,0.000122,89.5890,0,0
0.6400,2165126,-0.685303,0.722656,0.090210,0.000000,89.6539,0,0
0.6500,2165136,-0.684998,0.722961,0.089966,-0.000183,89.7310,0,0
0.6600,2165146,-0.684875,0.723145,0.089783,-0.000366,89.8219,0,0
0.6700,2165156,-0.684814,0.723145,0.089600,-0.000549,89.9302,0,0
