# Sesion:6 Fecha:2026-03-26 20:12:29 Shots:1 Duracion:11,36s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.0050,0.108276,-0.233521,0.870117,-0.420288,-33.7237
0.0120,0.109253,-0.233032,0.864990,-0.430725,-33.5045
0.0210,0.109253,-0.233032,0.864990,-0.430725,-33.2205
0.0290,0.110291,-0.232422,0.859192,-0.442261,-32.8775
0.0370,0.110840,-0.231262,0.853210,-0.454224,-32.4564
0.0450,0.110962,-0.230042,0.848083,-0.464172,-32.1161
0.0500,0.111145,-0.229248,0.843628,-0.472656,-31.8269
0.0580,0.111145,-0.229248,0.843628,-0.472656,-31.5523
0.0660,0.111572,-0.228516,0.839050,-0.481018,-31.2395
0.0740,0.112244,-0.228149,0.834534,-0.488709,-30.9219
0.0780,0.113281,-0.228394,0.830749,-0.494873,-30.6724
0.0870,0.113281,-0.228394,0.830749,-0.494873,-30.4355
0.0980,0.114380,-0.229614,0.828003,-0.498596,-30.3326
0.1030,0.115356,-0.231995,0.826355,-0.500000,-30.3692
0.1110,0.115356,-0.231995,0.826355,-0.500000,-30.6430
0.1190,0.114746,-0.235168,0.826721,-0.498108,-30.9168
0.1270,0.112793,-0.238892,0.828796,-0.493286,-31.4138
0.1350,0.111572,-0.243469,0.830139,-0.489014,-31.8690
0.1390,0.111084,-0.248291,0.830749,-0.485596,-32.2505
0.1480,0.111084,-0.248291,0.830749,-0.485596,-32.6129
0.1560,0.110657,-0.253113,0.831177,-0.482483,-32.9613
0.1640,0.110413,-0.257813,0.831604,-0.479370,-33.3116
0.1690,0.109314,-0.261292,0.832581,-0.476013,-33.6961
0.1770,0.109314,-0.261292,0.832581,-0.476013,-34.0614
0.1880,0.105408,-0.262024,0.834534,-0.473084,-34.4653
0.1930,0.097229,-0.257751,0.837646,-0.471619,-34.8656
0.2010,0.087891,-0.252502,0.840576,-0.471130,-35.2223
0.2090,0.087891,-0.252502,0.840576,-0.471130,-35.5611
0.2170,0.079468,-0.249146,0.842957,-0.470093,-35.9122
0.2250,0.073486,-0.248596,0.844482,-0.468628,-36.2345
0.2300,0.068237,-0.248840,0.845520,-0.467468,-36.5231
0.2380,0.068237,-0.248840,0.845520,-0.467468,-36.7972
0.2460,0.062927,-0.249207,0.846436,-0.466309,-37.0716
0.2540,0.058838,-0.250366,0.847107,-0.465088,-37.3263
0.2580,0.057129,-0.252625,0.846619,-0.464966,-37.4590
0.2670,0.057129,-0.252625,0.846619,-0.464966,-37.5850
0.2790,0.056824,-0.256165,0.844971,-0.466003,-37.6010
0.2830,0.058899,-0.261597,0.842407,-0.467407,-37.5353
0.2910,0.061401,-0.266052,0.839661,-0.469482,-37.4106
0.2990,0.061401,-0.266052,0.839661,-0.469482,-37.2921
0.3070,0.061035,-0.265625,0.837646,-0.473328,-37.1161
0.3160,0.060486,-0.263000,0.836365,-0.477173,-36.9416
0.3200,0.060974,-0.260803,0.835022,-0.480652,-36.7531
0.3280,0.060974,-0.260803,0.835022,-0.480652,-36.5741
0.3360,0.064331,-0.259521,0.833130,-0.484192,-36.3174
0.3440,0.069397,-0.260437,0.830322,-0.487732,-36.0039
0.3490,0.074219,-0.262817,0.827270,-0.490967,-35.6980
0.3570,0.074219,-0.262817,0.827270,-0.490967,-35.4074
0.3690,0.078552,-0.265381,0.824280,-0.493958,-35.1268
0.3730,0.082947,-0.269226,0.821716,-0.495361,-34.9351
0.3810,0.086731,-0.273560,0.819580,-0.495911,-34.8082
0.3890,0.086731,-0.273560,0.819580,-0.495911,-34.6876
0.3980,0.089600,-0.277649,0.817810,-0.496033,-34.6091
