# Sesion:3 Fecha:2026-03-08 15:38:50 Shots:0 Duracion:14,95s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm
0.0210,4.1875,-63.3750,25.0669,-1851.3698,-7.1620,1851.5533,-0.2400,-0.2000,0.1700,0.3557,8.5200,-1.2800,-4.0700,25,-27.0625,-4.5625,31.6875,0,0,0,1
0.0380,3.9375,-62.6875,247.0881,-2277.5073,-50.1338,2291.4199,-0.4600,-0.2600,0.0800,0.5344,8.2500,-1.3400,-4.2700,25,-26.0000,-4.6875,32.8750,0,0,0,1
0.0620,3.6875,-61.9375,325.8698,-2417.1657,-372.4226,2467.3022,-0.7200,-0.2100,-0.4300,0.8645,7.9200,-1.2800,-4.9100,25,-26.0000,-4.6875,32.8750,0,0,0,1
0.0780,3.6250,-61.2500,17.9049,-2159.3347,-544.3099,2226.9531,-0.5000,0.0000,-0.3800,0.6280,8.0900,-1.0500,-4.9800,25,-26.0000,-4.6875,32.8750,0,0,0,1
0.1030,3.7500,-60.5625,-32.2289,-2148.5917,-673.2254,2251.8254,-0.2900,0.2100,-0.5700,0.6731,8.2500,-0.8000,-5.2700,25,-26.0000,-4.6875,34.0625,0,0,0,1
0.1240,3.7500,-59.9375,311.5458,-2105.6198,-730.5212,2250.4125,-0.1100,0.3200,-0.6800,0.7595,8.3400,-0.6500,-5.5400,25,-26.0000,-4.6875,34.0625,0,0,0,1
0.1440,3.5625,-59.3125,376.0036,-1908.6656,-572.9578,2027.9704,-0.0100,0.3500,-0.3400,0.4881,8.2800,-0.6200,-5.4500,25,-25.5625,-5.3750,33.5625,0,0,0,1
0.1640,3.5000,-58.7500,114.5916,-1690.2254,-426.1374,1746.8790,-0.2500,0.1200,-0.4300,0.5117,8.1100,-0.8100,-5.4600,25,-25.5625,-5.3750,33.5625,0,0,0,1
0.1850,3.5625,-58.1875,28.6479,-1514.7572,-429.7184,1574.7913,-0.0800,0.1900,-0.2400,0.3164,8.2200,-0.7200,-5.3600,25,-25.2500,-5.5000,34.0000,0,0,0,1
0.2050,3.5000,-57.6250,322.2888,-1808.3980,-529.9860,1911.8206,-0.1200,0.0900,-0.1100,0.1860,8.1300,-0.8000,-5.3200,25,-25.2500,-5.5000,34.0000,0,0,0,1
