# Sesion:123 Fecha:2026-03-08 21:10:32 Shots:3 Duracion:1,06s Valor:10.5
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.6600,311.2500,0.0000,-794.9790,526.4050,390.3275,1030.2666,0.0500,0.5700,-0.1600,0.5941,0.0400,2.9200,9.3500,27,15.6875,6.0000,-27.2500,3,3,1,3,-13.8125
0.6850,310.9375,0.0000,-540.7290,-25.0669,1099.3627,1225.4038,-0.1200,0.3500,-0.4200,0.5597,-0.1300,2.6800,9.1000,27,15.6875,6.0000,-27.2500,3,3,1,3,-13.6875
0.7090,310.1875,-0.1250,85.9437,-68.0387,1783.3311,1786.6967,0.2500,0.3000,-0.4600,0.6034,0.0600,2.6400,9.1000,27,15.6875,5.6875,-27.2500,3,3,1,3,-13.7500
0.7300,309.2500,-0.2500,913.1515,53.7148,2030.4191,2226.9560,0.0700,0.1900,-0.3500,0.4044,0.1200,2.5900,9.1600,27,15.6875,5.6875,-27.2500,3,3,1,3,-14.0625
0.7540,308.3750,-0.3750,981.1903,293.6409,2685.7397,2874.3967,0.0000,0.0400,-0.3800,0.3821,0.0800,2.5000,9.1100,27,14.1875,5.6875,-26.7500,3,3,1,3,-14.5000
0.7790,307.4375,-0.3750,1077.8768,991.9332,2775.2644,3138.1271,-0.2800,0.0000,-0.4000,0.4883,-0.2100,2.5400,9.0600,27,14.1875,5.6875,-26.7500,3,3,1,3,-14.8125
0.7990,306.2500,-0.5000,794.9790,-211.2782,3792.2644,3880.4509,-0.0800,-0.1400,-0.4400,0.4686,0.0400,2.4300,9.0100,27,16.0625,5.6875,-26.3750,3,3,1,3,-15.1250
0.8240,304.1875,-1.5000,938.2184,-1790.4931,4429.6801,4869.1054,0.0100,-0.0100,-0.6600,0.6602,0.2700,2.6000,8.7700,27,16.0625,5.6875,-26.3750,3,3,1,3,-15.5000
0.8480,302.8125,-2.6875,1761.8452,-2370.6127,4368.8032,5273.5517,0.2700,-0.2600,-0.2800,0.4679,0.6000,2.2400,9.0600,27,15.6875,4.5625,-27.6875,3,3,1,3,-16.0000
0.8730,301.0000,-4.7500,4214.8208,-3760.0356,3777.9404,6795.2495,-0.5900,-0.4900,-0.3500,0.8430,0.2200,2.4600,8.9500,27,15.6875,4.5625,-27.6875,3,3,1,3,-17.5625
0.8730,SHOT
0.8930,299.7500,-6.8750,5783.2929,-5486.0708,4322.2504,9067.8164,0.1600,-1.2000,-0.8000,1.4511,1.3300,2.0200,8.3800,27,15.6875,4.5625,-27.6875,3,3,1,3,-19.3125
0.9180,298.3125,-9.0000,6703.6064,-4898.7890,4576.5004,9480.5498,-0.0400,-0.1400,-0.8200,0.8328,1.7000,4.0100,7.8300,27,16.0625,3.8750,-27.5625,3,3,1,3,-21.4375
0.9390,296.4375,-11.8750,4107.3911,-3974.8947,3874.6271,6905.3012,0.0200,0.6700,-1.3900,1.5432,2.0400,4.5200,7.3900,27,16.0625,3.8750,-27.5625,3,3,1,3,-23.6250
0.9630,295.7500,-13.6250,2298.9931,-4880.8842,2062.6481,5776.0644,-0.3200,0.4200,-1.0200,1.1486,1.9900,4.3800,7.6400,27,13.2500,-0.5000,-29.1875,3,3,1,3,-24.5000
0.9880,296.1250,-15.6875,-336.6127,-6134.2294,-46.5528,6143.6347,-0.2000,-0.1300,-1.1100,1.1353,2.5300,3.8200,7.4200,27,13.2500,-0.5000,-29.1875,3,3,1,3,-24.7500
1.0120,296.0625,-16.5000,275.7359,-1468.2043,433.2994,1555.4428,-0.7400,0.9600,-0.5100,1.3150,2.0800,4.9400,7.9800,27,12.1875,-1.5625,-28.3750,3,3,1,3,-25.0000
1.0370,296.3125,-17.1875,-2266.7644,-1239.0212,-322.2888,2603.3178,0.0300,0.7900,0.0700,0.7937,2.9300,4.6800,8.5900,27,12.1875,-1.5625,-28.3750,3,3,1,3,-24.5000
1.0570,296.9375,-17.0625,-6030.3808,508.5001,-1059.9719,6143.9077,0.1400,1.1700,0.6200,1.3315,3.0200,4.8400,9.2500,27,9.5000,-2.0000,-29.5625,3,3,1,3,-23.0000
