# Sesion:118 Fecha:2026-03-08 21:09:28 Shots:20 Duracion:9,17s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.0210,72.7500,10.8750,555.0529,2259.6022,544.3099,2389.5939,4.3500,0.2900,0.9000,4.4516,2.5600,0.6200,-8.7200,26,-13.0625,-46.7500,18.6875,0,0,0,0,-177.9375
0.0460,73.0000,9.7500,769.9121,2177.2397,583.7008,2381.9831,4.3500,0.5900,0.8800,4.4772,2.6900,0.8900,-8.7700,26,-12.2500,-47.0000,22.6875,0,0,0,0,-178.2500
0.0700,73.2500,9.0000,698.2923,2159.3347,655.3205,2362.1564,4.4600,0.5600,1.0100,4.6071,2.9800,0.8000,-8.6700,26,-12.2500,-47.0000,22.6875,0,0,0,0,-178.4375
0.0950,73.6250,7.8750,386.7465,2184.4016,691.1304,2323.5412,4.4700,0.3900,1.1600,4.6345,3.1200,0.6100,-8.5400,26,-12.0625,-47.0000,25.5000,0,0,0,1,-178.6875
0.1200,73.8125,7.1250,46.5528,2209.4685,640.9965,2301.0419,4.4700,0.3100,1.6000,4.7578,3.3100,0.5400,-8.1200,26,-12.0625,-47.0000,25.5000,0,0,0,1,-178.6875
0.1440,74.1250,6.0625,-418.9754,2084.1340,572.9578,2201.6892,4.3400,0.0900,1.8400,4.7148,3.3000,0.3300,-7.9000,26,-12.6875,-46.7500,27.5625,0,0,0,1,-178.5000
0.1680,74.2500,5.3750,-329.4508,1872.8558,529.9860,1974.0850,4.2600,-0.1800,2.2200,4.8071,3.4500,0.0000,-7.5100,26,-12.6875,-46.7500,27.5625,0,0,0,1,-178.3750
0.1930,74.4375,4.8125,-25.0669,1532.6621,433.2994,1592.9311,4.4300,-0.2600,2.3100,5.0029,3.6500,0.0200,-7.4500,26,-13.2500,-46.1875,27.3750,0,0,0,1,-178.3125
0.2180,74.6250,4.0625,42.9718,1339.2888,336.6127,1381.6110,4.2900,-0.4000,2.3600,4.9126,3.5900,-0.1100,-7.4000,26,-13.2500,-46.1875,27.3750,0,0,0,1,-178.3125
0.2420,74.6875,2.8125,125.3345,1156.6585,229.1831,1185.7877,4.0600,-0.3000,2.3700,4.7107,3.7500,-0.0400,-7.4200,26,-14.3750,-45.6875,29.1875,0,0,0,1,-178.3750
0.2670,74.7500,0.6250,161.1444,959.7044,93.1056,977.5831,4.0800,-0.0800,2.3700,4.7191,3.9600,0.1500,-7.4300,26,-14.3750,-45.6875,29.1875,0,0,0,1,-178.5625
0.2870,74.8125,0.3750,-28.6479,834.3698,57.2958,836.8253,4.1500,0.0100,2.4700,4.8294,4.0800,0.2400,-7.3200,26,-15.3750,-45.7500,29.5000,0,0,0,1,-178.5625
0.3130,74.8125,0.1250,-494.1761,658.9015,-46.5528,824.9415,4.3300,-0.2300,2.1900,4.8578,4.3200,0.0300,-7.6000,26,-15.3750,-45.7500,29.5000,0,0,0,1,-178.5000
0.3360,74.7500,-0.1250,-494.1761,594.4437,-89.5247,778.1954,4.2000,-0.0600,2.0900,4.6917,4.2300,0.2300,-7.7000,26,-14.7500,-44.8750,29.6875,0,0,0,1,-178.2500
0.3570,74.7500,-0.3125,-372.4226,512.0811,-57.2958,635.7739,4.1900,0.0000,2.0500,4.6646,4.1900,0.3300,-7.8100,26,-14.7500,-44.8750,29.6875,0,0,0,1,-178.1250
0.3810,74.7500,-2.0625,-218.4402,422.5564,21.4859,476.1634,3.7800,-0.0900,1.9200,4.2406,4.2800,0.2400,-7.8600,26,-15.1875,-46.7500,29.8750,0,0,0,1,-178.0000
