# Sesion:107 Fecha:2026-03-08 21:04:05 Shots:0 Duracion:1,91s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.0190,106.5000,19.5000,1389.4227,658.9015,1736.7783,2319.7082,-0.5200,-1.2800,-0.5000,1.4693,-3.8000,-0.6900,-9.7300,26,2.2500,-31.8750,-11.0000,0,0,0,0,-176.3750
0.0450,107.1250,19.2500,1672.3205,608.7677,1360.7747,2240.3039,-0.7400,-0.5100,-0.5800,1.0696,-3.9600,-0.0200,-9.8300,26,2.2500,-31.8750,-11.0000,0,0,0,0,-176.7500
0.0660,107.9375,18.8750,1253.3452,762.7501,1314.2219,1969.7313,-0.6500,-0.3600,-1.3700,1.5585,-3.8200,0.0700,-10.6300,26,3.0000,-30.7500,-11.1875,0,0,0,0,-177.2500
0.0900,108.4375,18.5000,1085.0388,1067.1339,1314.2219,2010.7867,-0.5500,-0.3300,-1.4900,1.6222,-3.6100,0.0400,-10.6300,26,3.0000,-30.7500,-11.1875,0,0,0,0,-177.5000
0.1110,108.9375,18.0625,1031.3240,1335.7078,1321.3839,2143.3151,-0.6800,-0.5900,-0.3800,0.9772,-3.6900,-0.2400,-9.7100,26,2.2500,-31.0000,-10.0000,0,0,0,0,-177.6875
0.1390,109.6250,17.3125,794.9790,1432.3945,1213.9543,2038.9777,-0.9500,-0.4900,0.0700,1.0712,-3.8700,-0.1600,-9.2700,26,2.2500,-31.0000,-10.0000,0,0,0,0,-177.9375
0.1600,110.0000,16.8750,519.2430,1299.8980,1128.0106,1797.7086,-0.9500,-0.5700,0.7500,1.3379,-3.8000,-0.2600,-8.6200,26,0.6875,-31.2500,-9.2500,0,0,0,0,-178.0625
0.1840,110.3750,16.4375,340.1937,1074.2958,1131.5916,1596.9793,-0.9500,-0.4500,0.4200,1.1320,-3.7000,-0.1400,-8.9800,26,0.6875,-31.2500,-9.2500,0,0,0,0,-178.0625
0.2060,111.0000,15.8750,666.0634,1045.6479,1135.1726,1680.9631,-0.9700,-1.0600,0.1800,1.4481,-3.6500,-0.7600,-9.2400,26,0.6875,-31.2500,-9.2500,0,0,0,0,-178.1250
0.2330,111.4375,15.5000,1611.4438,1085.0388,991.9332,2181.2822,-0.8100,-0.4500,0.3200,0.9803,-3.4100,-0.2600,-9.1300,26,1.0000,-31.0625,-8.6875,0,0,0,0,-178.5000
0.2540,112.0000,14.9375,2259.6022,1038.4859,873.7606,2635.8515,-0.7000,0.4500,0.8000,1.1543,-3.2400,0.5300,-8.6700,26,1.0000,-31.0625,-8.6875,0,0,0,0,-179.5000
0.2780,112.4375,14.6250,1385.8416,877.3416,1031.3240,1937.5021,-0.7700,0.9000,0.8000,1.4293,-3.2600,0.9000,-8.6800,26,-0.0625,-30.3750,-9.3750,0,0,0,0,179.9375
0.3030,112.8750,14.3750,1196.0494,662.4825,1217.5352,1830.7947,-0.6800,-0.5300,0.4900,0.9917,-3.1000,-0.5900,-9.0100,26,-0.0625,-30.3750,-9.3750,0,0,0,0,179.7500
0.3280,113.5625,14.0625,2614.1198,619.5106,1034.9050,2878.9658,-0.3400,-1.0300,0.3200,1.1309,-2.7300,-1.2000,-9.1800,26,-0.5000,-30.1875,-6.8750,0,0,0,0,178.9375
0.3520,114.0000,13.8750,3319.5742,608.7677,888.0846,3489.8229,-0.6100,1.7500,0.2000,1.8640,-2.9500,1.3300,-9.3100,26,-0.5000,-30.1875,-6.8750,0,0,0,0,177.9375
0.3770,114.6875,13.5625,1715.2923,651.7395,1307.0599,2252.8642,-0.4600,1.7500,0.0100,1.8095,-2.7700,1.2300,-9.5000,26,-1.8750,-31.8750,-6.0625,0,0,0,1,176.8750
0.4020,115.2500,13.3750,712.6163,723.3593,1579.2149,1877.4958,-0.5200,-0.2500,-0.1800,0.6044,-2.7800,-0.8000,-9.7100,26,-1.8750,-31.8750,-6.0625,0,0,0,1,176.6875
0.4260,116.1250,13.0000,945.3804,845.1127,1478.9472,1948.1386,-0.5300,-1.0300,-0.2900,1.1941,-2.7400,-1.6100,-9.8300,26,-1.6875,-30.5000,-5.0625,0,0,0,1,176.5000
0.4540,116.6250,12.6875,1650.8347,1017.0001,1203.2114,2281.9426,-0.4600,-0.8100,-0.1600,0.9451,-2.5900,-1.5000,-9.7100,26,-1.6875,-30.5000,-5.0625,0,0,0,1,176.1250
0.4790,117.1875,12.1250,1536.2431,1235.4403,837.9508,2142.0825,-0.4800,-0.3400,0.1400,0.6046,-2.5500,-1.1100,-9.4000,26,-1.6875,-30.5625,-3.5000,0,0,0,1,175.3750
0.5030,117.5000,11.7500,777.0740,1346.4508,683.9684,1698.4071,-0.7200,-0.1000,0.6700,0.9886,-2.6800,-0.9200,-8.9000,26,-1.6875,-30.5625,-3.5000,0,0,0,1,175.0625
0.5280,117.8750,11.0625,-10.7430,1292.7360,544.3099,1402.6956,-0.5400,-0.8800,1.0600,1.4797,-2.4300,-1.7000,-8.5100,26,-2.7500,-29.5000,-3.2500,0,0,0,1,175.0625
0.5520,118.0000,10.6875,393.9085,1160.2395,358.0986,1276.5399,-0.5500,-1.1100,1.2100,1.7317,-2.3500,-1.9300,-8.3600,26,-2.7500,-29.5000,-3.2500,0,0,0,1,175.0000
0.5780,118.1250,10.3750,1217.5352,794.9790,32.2289,1454.4490,-0.5000,-0.9000,0.9800,1.4214,-2.2500,-1.8100,-8.6200,26,-2.3750,-29.3750,-2.7500,0,0,0,1,174.7500
0.6020,118.1875,10.0000,1529.0811,655.3205,-118.1725,1667.7827,-0.4700,-0.0800,0.3900,0.6160,-2.1800,-1.0800,-9.2000,26,-2.3750,-29.3750,-2.7500,0,0,0,1,174.0625
0.6230,118.1875,9.7500,1425.2325,633.8346,-143.2395,1566.3817,-0.5400,0.5400,0.0300,0.7643,-2.1900,-0.5600,-9.5700,26,-4.0000,-29.0625,-0.5625,0,0,0,1,173.5625
0.6470,118.2500,9.4375,780.6550,705.4543,14.3239,1052.2799,-0.3600,0.1400,-0.0200,0.3868,-1.9700,-1.0100,-9.6200,26,-4.0000,-29.0625,-0.5625,0,0,0,1,173.0625
0.6720,118.2500,9.1875,723.3593,748.4262,14.3239,1040.9588,-0.3500,-0.2100,0.0300,0.4093,-1.9200,-1.4200,-9.5700,26,-3.0000,-28.5000,-0.7500,0,0,0,1,172.8125
