# Sesion:115 Fecha:2026-03-08 21:05:47 Shots:0 Duracion:1,23s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.0210,190.4375,-20.0625,311.5458,-1772.5882,196.9542,1810.5029,0.2800,-1.1300,-0.9200,1.4838,3.6000,1.0300,-9.8900,26,-11.2500,-25.1875,18.0625,3,0,3,3,-166.5000
0.0450,190.3750,-19.1250,-1607.8627,-1729.6163,-827.2078,2502.2126,0.2500,-0.2200,-0.8700,0.9316,3.4700,2.0300,-9.8500,26,-12.3750,-23.3750,19.2500,3,0,3,3,-165.8125
0.0700,190.2500,-18.5000,-1708.1304,-1632.9296,-816.4649,2500.1567,0.2700,0.4900,-0.6200,0.8351,3.1400,2.7400,-9.3600,26,-12.3750,-23.3750,19.2500,3,0,3,3,-165.1875
0.0940,190.1250,-18.0000,-157.5634,-1496.8522,103.8486,1508.7005,-0.1900,-0.0100,-0.3700,0.4161,2.8000,2.4100,-9.3800,26,-10.5000,-24.8750,19.1875,3,0,3,3,-164.8750
0.1190,190.2500,-17.3125,193.3733,-1378.6796,-60.8768,1393.5052,-0.2700,-0.6200,-0.1900,0.7024,2.6400,1.7900,-9.2300,26,-10.5000,-24.8750,19.1875,3,0,3,3,-164.9375
0.1400,190.1875,-16.8125,-293.6409,-1274.8310,-393.9085,1366.2294,-0.3400,-0.2400,-0.0500,0.4192,2.6400,2.4600,-8.8400,26,-10.5625,-24.5000,18.0625,3,0,3,3,-164.8750
0.1640,190.2500,-16.1875,-526.4050,-1253.3452,28.6479,1359.7048,-0.1400,-0.0100,0.4200,0.4428,2.5900,2.4600,-8.6500,26,-10.5625,-24.5000,18.0625,3,0,3,3,-164.6875
0.1880,190.1875,-15.7500,0.0000,-1432.3945,17.9049,1432.5064,-0.0100,0.5600,0.0700,0.5644,2.6400,3.0400,-9.0200,26,-9.5000,-25.1875,19.7500,3,0,3,3,-164.6875
0.2130,190.2500,-15.2500,766.3311,-1539.8240,-3.5810,1719.9808,-0.1600,0.1400,0.0000,0.2126,2.3800,2.5600,-9.1500,26,-9.5000,-25.1875,19.7500,3,0,3,3,-164.9375
0.2330,190.0000,-14.5000,1400.1656,-1525.5001,-25.0669,2070.8073,-0.2500,-0.3600,-0.1500,0.4632,2.2000,1.9800,-9.3500,26,-8.3750,-25.1875,19.0000,3,0,3,3,-165.5625
0.2580,189.9375,-14.0000,1962.3804,-1489.6903,-171.8873,2469.7490,-0.2300,-0.5900,-0.4100,0.7544,2.1400,1.6700,-9.6500,26,-8.3750,-25.1875,19.0000,3,0,3,3,-166.1875
0.2820,189.8125,-13.5000,1758.2642,-1378.6796,-358.0986,2262.8488,-0.2500,-0.2900,-0.2100,0.4367,1.9700,1.8700,-9.4800,26,-8.7500,-24.8750,20.1875,3,0,3,3,-166.8750
0.3070,189.5625,-12.8125,598.0247,-1203.2114,-494.1761,1431.6289,-0.2300,-0.2800,-0.0100,0.3625,1.9400,1.8000,-9.3400,26,-8.7500,-24.8750,20.1875,3,0,3,3,-167.3125
0.3280,189.4375,-12.3750,-82.3627,-1145.9156,-343.7747,1199.2027,-0.1400,-0.4000,-0.0800,0.4313,1.9600,1.6700,-9.4200,26,-8.7500,-24.8750,20.1875,3,0,3,3,-167.3750
0.3520,189.3750,-12.0000,-487.0141,-1135.1726,-358.0986,1286.0926,-0.0600,-0.6000,-0.1700,0.6265,1.9200,1.4600,-9.5600,26,-8.3750,-23.6875,20.5000,3,0,3,3,-167.3125
0.3730,189.2500,-11.3750,-580.1198,-1102.9437,-587.2817,1377.6514,-0.0800,-0.5800,-0.2400,0.6328,1.8500,1.5300,-9.6200,26,-8.3750,-23.6875,20.5000,3,0,3,3,-167.2500
0.3970,189.0000,-10.9375,-870.1797,-1056.3909,-848.6937,1610.4208,-0.1000,-0.1600,-0.2700,0.3294,1.7600,2.0000,-9.6500,26,-7.6875,-24.5000,20.5000,3,0,3,3,-167.0000
0.4220,188.7500,-10.5625,-666.0634,-1002.6762,-898.8276,1502.2952,-0.0300,-0.2500,-0.3500,0.4312,1.7200,1.9800,-9.7300,26,-7.6875,-24.5000,20.5000,3,0,3,3,-166.6875
0.4470,188.3750,-9.9375,547.8909,-934.6374,-827.2078,1363.0863,0.0000,-0.1800,-0.6900,0.7131,1.7000,2.0300,-10.0900,26,-7.6875,-25.1875,20.5625,3,0,3,3,-166.6875
0.4710,188.1250,-9.6250,522.8240,-755.5881,-880.9226,1272.9033,0.1400,0.2700,-0.7400,0.8001,1.7500,2.7000,-9.9300,26,-7.6875,-25.1875,20.5625,3,0,3,3,-166.8750
0.4960,187.8125,-9.3750,-164.7254,-555.0529,-658.9015,877.1370,-0.0300,0.5600,-0.2500,0.6140,1.5400,2.7700,-9.6700,26,-6.5625,-24.5000,21.2500,3,0,3,3,-166.8125
0.5200,187.5625,-9.0000,433.2994,-533.5670,-422.5564,806.8432,-0.1000,0.1500,-0.2800,0.3330,1.4300,2.3500,-9.7100,26,-6.5625,-24.5000,21.2500,3,0,3,3,-166.8125
0.5410,187.4375,-8.8750,988.3522,-401.0705,-89.5247,1070.3795,-0.0600,0.0000,-0.2200,0.2280,1.4500,2.2200,-9.6700,26,-5.7500,-24.8750,21.2500,3,0,3,3,-167.1250
0.5650,187.3750,-8.6875,322.2888,-261.4120,-50.1338,417.9949,-0.0200,0.3500,-0.3900,0.5244,1.4600,2.4500,-9.8500,26,-5.7500,-24.8750,21.2500,3,0,3,3,-167.3750
0.5860,187.2500,-8.6250,153.9824,-193.3733,-28.6479,248.8463,0.0200,0.6700,-0.4700,0.8187,1.4900,2.7700,-9.9300,26,-5.3750,-24.5000,21.6875,3,0,3,3,-167.4375
0.6110,187.2500,-8.5625,-96.6866,-103.8486,-17.9049,143.0155,-0.0400,0.6400,-0.3900,0.7505,1.4100,2.6800,-9.7800,26,-5.3750,-24.5000,21.6875,3,0,3,3,-167.4375
0.6350,187.1875,-8.5625,-354.5177,-14.3239,-250.6690,434.4225,-0.0500,0.0300,0.0600,0.0837,1.4000,2.1700,-9.3900,26,-4.6875,-24.0625,21.2500,3,0,3,3,-167.3125
0.6590,187.0000,-8.5625,46.5528,42.9718,365.2606,370.7142,-0.0600,-0.2200,0.1500,0.2729,1.3900,1.9100,-9.3000,26,-4.6875,-24.0625,21.2500,3,0,3,3,-167.2500
0.6800,187.1875,-8.6250,-107.4296,50.1338,347.3557,367.0293,-0.0100,-0.1500,0.0900,0.1752,1.4600,1.9800,-9.3600,26,-5.3750,-24.0625,21.6875,3,0,3,3,-167.2500
0.7040,187.1250,-8.6250,-719.7783,-75.2007,-673.2254,988.4171,-0.2500,0.2700,0.1700,0.4053,1.2100,2.4400,-9.2700,26,-5.3750,-24.0625,21.6875,3,0,3,3,-167.1250
0.7290,186.6875,-8.4375,-981.1903,-132.4965,-916.7325,1349.3287,-0.0800,0.5200,0.2000,0.5628,1.3600,2.7600,-9.2300,26,-5.3750,-24.0625,21.6875,3,0,3,3,-166.6250
0.7500,186.4375,-8.3750,-991.9332,-121.7535,-558.6339,1144.9135,-0.0100,0.3100,0.1800,0.3586,1.3600,2.5400,-9.2300,26,-5.3750,-24.0625,22.8750,3,0,3,3,-166.2500
0.7740,186.4375,-8.3125,-601.6057,-111.0106,734.1022,955.5934,-0.0100,0.0400,-0.0600,0.0728,1.4000,2.4000,-9.4700,26,-5.3750,-24.0625,22.8750,3,0,3,3,-165.9375
0.7980,186.8125,-8.3750,-963.2853,-139.6585,580.1198,1133.1204,-0.0900,0.1700,-0.1500,0.2439,1.3300,2.5700,-9.5500,26,-5.0625,-24.8750,21.6875,3,0,3,3,-165.6250
0.8230,186.8125,-8.3125,-1332.1268,-157.5634,-214.8592,1358.5112,-0.1000,0.3000,0.0500,0.3202,1.3100,2.8100,-9.3200,26,-5.0625,-24.8750,21.6875,3,0,3,3,-165.1875
0.8480,186.5625,-8.1875,-598.0247,-196.9542,-547.8909,834.6311,-0.1000,0.1400,0.1300,0.2156,1.2900,2.6900,-9.2300,26,-4.6875,-24.5000,20.5000,3,0,3,3,-164.8125
0.8720,186.3750,-8.0625,-479.8522,-182.6303,-300.8029,595.0582,-0.0300,0.0800,0.1000,0.1315,1.3400,2.6700,-9.2500,26,-4.6875,-24.5000,20.5000,3,0,3,3,-164.5000
0.8930,186.3750,-8.0000,-547.8909,-179.0493,-78.7817,581.7642,0.0500,0.3600,-0.1000,0.3770,1.4100,3.1100,-9.5400,26,-5.3750,-24.5000,21.2500,3,0,3,3,-164.3750
0.9170,186.3125,-7.8750,-1403.7465,-179.0493,-372.4226,1463.3050,0.0000,0.4600,-0.1000,0.4707,1.3500,3.1600,-9.4300,26,-5.3750,-24.5000,21.2500,3,0,3,3,-163.8125
0.9380,186.0625,-7.7500,-1665.1585,-204.1162,-648.1585,1798.4787,-0.0100,0.3000,0.1100,0.3197,1.3100,3.1000,-9.1900,26,-4.6875,-26.0000,21.0000,3,0,3,3,-163.1875
0.9660,185.8750,-7.6250,-970.4473,-214.8592,-487.0141,1106.8492,-0.0600,-0.2500,0.2100,0.3320,1.2200,2.6300,-9.0600,26,-4.6875,-26.0000,21.0000,3,0,3,3,-162.8125
0.9870,185.8125,-7.4375,-583.7008,-239.9261,-200.5352,662.1824,0.0000,-0.0200,0.0100,0.0224,1.2800,2.8900,-9.2500,26,-5.3750,-26.6875,20.5000,3,0,3,3,-162.5000
1.0110,185.7500,-7.3750,-1049.2290,-250.6690,-325.8698,1126.9017,-0.0700,-0.0100,0.1100,0.1308,1.1800,2.9500,-9.1400,26,-5.3750,-26.6875,20.5000,3,0,3,3,-162.1875
1.0320,185.6875,-7.2500,-1607.8627,-304.3838,-426.1374,1690.9953,-0.1000,-0.3400,0.3000,0.4643,1.2000,2.6600,-8.9300,26,-5.3750,-26.6875,19.0000,3,0,3,3,-161.6875
1.0570,185.5000,-6.9375,-3054.5812,-418.9754,-705.4543,3162.8583,0.0400,0.1400,-0.0600,0.1575,1.2300,3.4100,-9.2300,26,-5.3750,-26.6875,19.0000,3,0,3,3,-160.3750
1.0810,185.3125,-6.6875,-3906.8559,-411.8134,-848.6937,4019.1284,0.1300,0.5300,-0.3200,0.6326,1.2800,4.0000,-9.4200,26,-5.3750,-26.6875,19.0000,3,0,3,3,-159.0625
1.1060,184.9375,-6.5000,-3620.3771,-393.9085,-769.9121,3722.2385,0.0000,-0.6900,-0.5300,0.8701,1.0900,3.0700,-9.5100,26,-3.5625,-27.0625,20.5000,3,0,3,3,-157.8125
1.1260,184.7500,-6.1875,-723.3593,-365.2606,-60.8768,812.6315,0.1100,-0.5900,-0.1900,0.6295,1.1700,3.2300,-9.1500,26,-3.5625,-27.0625,20.5000,3,0,3,3,-156.8125
1.1510,184.7500,-6.1250,612.3486,-282.8979,75.2007,678.7174,0.0700,-0.4500,-0.1900,0.4935,1.1300,3.3500,-9.1600,26,-3.5625,-27.5000,18.5625,3,0,3,3,-156.9375
1.1750,184.6875,-6.0000,-812.8839,-311.5458,-483.4331,995.7653,0.1300,-0.0100,0.0800,0.1530,1.1400,3.8200,-8.8700,26,-3.5625,-27.5000,18.5625,3,0,3,3,-156.9375
1.2000,184.3125,-5.7500,-1357.1938,-297.2219,-698.2923,1554.9687,0.1700,0.1100,-0.0900,0.2216,1.1600,4.0200,-9.0300,26,-3.2500,-27.5000,20.1875,3,0,3,3,-156.3750
1.2250,184.1250,-5.5625,-1145.9156,-182.6303,-630.2536,1320.4908,0.3900,0.5200,-0.7300,0.9774,1.3400,4.5300,-9.6300,26,-3.2500,-27.5000,20.1875,3,0,3,3,-155.9375
