# Sesion:122 Fecha:2026-03-08 21:10:19 Shots:32 Duracion:12,80s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.0240,174.7500,-1.3750,1940.8945,-1317.8029,461.9472,2391.0397,0.0000,0.2500,-0.3700,0.4465,0.2100,2.6100,-9.8800,26,0.1875,-24.1875,18.2500,3,3,1,3,-165.6875
0.0480,175.1250,-0.6875,2030.4191,-1629.3487,458.3663,2643.3837,-0.4000,-0.1300,-0.2700,0.4998,-0.2800,2.1300,-9.8100,26,0.1875,-22.2500,20.6875,3,3,1,3,-166.6250
0.0730,175.2500,-0.2500,2180.8205,-1375.0987,329.4508,2599.1176,0.1300,0.4700,-0.3000,0.5725,0.0700,2.4800,-9.8300,26,0.1875,-22.2500,20.6875,3,3,1,3,-167.3750
0.0940,175.4375,0.0625,2177.2397,-1042.0670,372.4226,2442.3298,-0.1600,-0.1900,-0.2300,0.3385,-0.2000,1.7600,-9.8400,26,0.8750,-22.6875,19.8750,3,3,1,3,-168.1250
0.1190,175.7500,0.5625,3455.6518,-1045.6479,669.6444,3671.9660,-0.0600,0.0700,-0.0100,0.0927,-0.1600,1.8500,-9.6500,26,0.8750,-22.6875,19.8750,3,3,1,3,-169.5000
0.1390,176.0625,0.8125,3845.9792,-970.4473,533.5670,4002.2517,0.3700,0.8500,-0.0300,0.9275,0.2200,2.4100,-9.7100,26,0.5625,-21.1875,21.3750,3,3,1,3,-170.8125
0.1670,176.2500,1.1250,3885.3701,-956.1234,250.6690,4009.1281,0.3800,0.8200,-0.0800,0.9073,0.1600,2.0700,-9.8100,26,0.5625,-21.1875,21.3750,3,3,1,3,-172.0625
0.1880,176.3125,1.5625,3179.9157,-802.1409,222.0211,3287.0332,0.2900,0.8600,-0.2600,0.9441,0.0200,1.9100,-10.0000,26,2.0000,-20.3750,23.0625,3,3,1,3,-173.8125
0.2120,176.4375,1.6875,1937.3135,-311.5458,279.3169,1981.9844,0.4000,0.9400,0.0400,1.0224,0.0900,1.3600,-9.5900,26,2.0000,-20.3750,23.0625,3,3,1,3,-174.5625
0.2330,176.5000,1.6250,454.7853,121.7535,114.5916,484.5459,0.0600,0.4900,0.0000,0.4937,-0.2200,1.3700,-9.7500,26,0.7500,-19.0000,23.7500,3,3,1,3,-174.7500
0.2580,176.6875,1.5625,329.4508,96.6866,42.9718,346.0241,0.1800,0.4300,-0.0900,0.4748,-0.0800,1.2900,-9.8500,26,0.7500,-19.0000,23.7500,3,3,1,3,-174.9375
0.2790,176.6875,1.5625,340.1937,82.3627,46.5528,353.1041,0.1700,0.4600,0.0400,0.4920,-0.0900,1.3000,-9.7200,26,1.1875,-19.6875,23.3750,3,3,1,3,-175.0625
0.3030,176.7500,1.5625,96.6866,-175.4683,-114.5916,230.8000,0.0600,0.5800,-0.2500,0.6344,-0.2100,1.4400,-10.0100,26,1.1875,-19.6875,23.3750,3,3,1,3,-175.0000
0.3270,176.6250,1.6250,-605.1867,-60.8768,-114.5916,618.9412,0.0500,0.5600,-0.2400,0.6113,-0.2300,1.4600,-10.0000,26,1.1875,-19.6875,23.3750,3,3,1,3,-174.7500
0.3480,176.6250,1.6250,-619.5106,103.8486,-57.2958,630.7620,-0.0100,0.1700,-0.0200,0.1715,-0.3000,1.1000,-9.7800,26,1.1875,-17.8750,23.3750,3,3,1,3,-174.5000
0.3720,176.6875,1.6250,537.1480,0.0000,168.3063,562.8987,0.1200,0.3500,0.2600,0.4522,-0.1500,1.2400,-9.4900,26,1.1875,-17.8750,23.3750,3,3,1,3,-174.5625
0.3970,177.0000,1.6250,938.2184,-153.9824,365.2606,1018.5184,0.0500,0.0300,0.4000,0.4042,-0.2300,0.8700,-9.3500,26,0.7500,-20.3750,23.5000,3,3,1,3,-175.0625
0.4210,177.1250,1.6875,1242.6021,-254.2500,494.1761,1361.2175,0.0200,0.3500,0.1600,0.3854,-0.3800,1.1100,-9.7300,26,0.7500,-20.3750,23.5000,3,3,1,3,-175.4375
0.4460,177.3750,1.7500,666.0634,-254.2500,329.4508,785.3798,-0.0900,0.3400,-0.0300,0.3530,-0.4100,1.0500,-9.8100,26,0.7500,-19.2500,23.3750,3,3,1,3,-175.6875
