# Sesion:116 Fecha:2026-03-08 21:05:55 Shots:0 Duracion:1,29s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.6880,199.3125,-0.2500,501.3381,-5317.7646,-1944.4755,5684.2719,0.9400,-1.0700,0.3500,1.4666,0.8400,-0.2300,-9.4100,26,-2.2500,-20.2500,30.0000,0,0,3,3,-174.9375
0.7130,197.7500,2.0000,483.4331,-4365.2221,-207.6972,4396.8183,0.8200,-1.1100,0.7500,1.5707,0.4700,-0.3000,-9.0100,26,-0.7500,-21.7500,31.5000,0,0,3,3,-175.2500
0.7380,198.0000,3.5625,-408.2324,-4555.0146,719.7783,4629.5673,1.0300,-1.4500,2.2300,2.8524,0.1000,-0.7400,-6.8900,26,-0.7500,-21.7500,31.5000,0,0,3,3,-175.1875
0.7620,198.4375,4.8125,-1740.3593,-2979.3806,1561.3100,3787.2482,0.4400,-1.1700,3.2000,3.4355,-0.4600,-0.2300,-6.5100,26,2.1875,-20.5625,32.0000,0,0,3,3,-174.8125
0.7870,199.6250,5.8750,-3315.9931,-1543.4050,3523.6904,5078.8090,-0.6900,0.7700,1.3900,1.7324,-1.6900,1.8900,-8.2900,26,2.1875,-20.5625,32.0000,0,0,3,3,-173.3750
0.8110,201.6250,5.6875,-1421.6514,-669.6444,5443.0991,5665.4077,-0.9900,1.7200,-0.9800,2.2133,-1.9700,3.0600,-10.6400,26,4.2500,-20.8750,33.0000,0,0,3,3,-172.4375
0.8360,203.6250,6.3750,-3813.7504,-2796.7502,2796.7502,5494.3896,1.7600,-2.5500,0.0300,3.0985,0.6700,-0.9900,-9.5800,26,4.2500,-20.8750,33.0000,0,0,3,3,-170.8125
0.8600,204.4375,7.3125,-1031.3240,-3348.2221,1801.2360,3939.3745,0.2300,0.5000,-0.8200,0.9876,-1.8300,2.8200,-10.2000,26,2.3750,-23.5000,33.8750,0,0,3,3,-170.2500
0.8840,204.5625,8.8750,-2044.7431,-2846.8840,-805.7219,3596.5136,-1.1200,0.5200,0.6900,1.4145,-2.6400,2.2500,-8.8300,26,2.3750,-23.5000,33.8750,0,0,3,3,-169.6250
0.9060,203.8750,9.9375,-2112.7819,-2854.0461,-2481.6235,4332.1914,-1.7300,0.1300,-0.4400,1.7898,-3.4300,1.9800,-9.9200,26,2.6875,-23.7500,35.6875,0,0,3,3,-168.9375
0.9300,202.9375,11.0000,941.7994,-2395.6796,-2882.6938,3864.7368,-1.8600,0.2200,1.2500,2.2518,-3.8100,1.9700,-8.1900,26,2.6875,-23.7500,35.6875,0,0,3,3,-169.1875
0.9550,202.5625,12.1250,2975.7995,-1582.7958,-827.2078,3470.5761,-1.0100,-0.7500,3.2700,3.5036,-3.0800,0.8300,-6.1700,26,5.5000,-25.8750,37.6875,0,0,3,3,-170.4375
0.9790,202.3125,12.0625,1697.3874,823.6268,-999.0952,2134.8715,0.1500,-1.0200,1.9100,2.1705,-1.9000,0.4300,-7.5600,26,5.5000,-25.8750,37.6875,0,0,3,3,-171.1875
1.0000,201.6875,11.9375,-1679.4825,111.0106,-2091.2958,2684.4931,1.8600,-2.2200,0.0300,2.8964,0.2400,-0.7500,-10.0200,26,6.7500,-28.3750,43.2500,0,0,3,3,-171.1250
1.0240,200.8750,12.8750,-2116.3627,-2413.5847,-1135.1726,3404.8493,1.3500,-0.7300,0.0000,1.5347,-0.8400,0.8900,-9.4100,26,6.7500,-28.3750,43.2500,0,0,3,3,-170.1875
1.0490,200.7500,11.7500,-3888.9511,6159.2963,952.5424,7346.3056,-0.1100,-0.3500,-0.3200,0.4868,-2.1100,1.4600,-9.7400,26,6.5625,-35.3750,48.7500,0,0,3,3,-169.0000
1.0730,200.5625,9.5625,-4562.1762,5622.1484,816.4649,7286.1938,1.0500,-1.2500,0.3600,1.6717,-0.4100,0.9500,-9.0700,26,6.5625,-35.3750,48.7500,0,0,3,3,-167.5625
1.0940,200.5000,8.3750,-5238.9829,-1550.5670,408.2324,5478.8549,1.5000,-0.7100,-0.2800,1.6830,0.0700,1.7700,-9.6500,26,6.5625,-35.3750,48.7500,0,0,3,3,-165.1250
1.1180,200.8750,9.5000,-8229.1064,-4433.2612,1536.2431,9472.7001,0.6900,-0.5100,0.7100,1.1137,-1.6500,3.1800,-6.9100,26,-0.5000,-41.0625,46.7500,0,0,3,3,-162.5625
1.1430,202.2500,12.0000,-8601.5292,-7244.3354,3176.3347,11685.7099,-0.4400,-2.3800,-0.2000,2.4286,-2.4800,1.3500,-9.0400,26,-0.5000,-41.0625,46.7500,0,0,3,3,-157.0000
1.1670,203.8750,14.9375,-132.4965,-12014.2089,2327.6411,12238.3291,1.8400,0.2600,-2.0800,2.7892,-0.6800,4.1100,-10.7400,26,-2.0625,-40.3750,40.5000,0,0,3,3,-156.0000
1.1920,204.5000,18.9375,-21904.8925,-9027.6660,7455.6132,24837.6582,-8.7000,-8.8000,4.5100,13.1708,-12.0000,-4.0400,-3.3900,26,-2.0625,-40.3750,40.5000,0,0,3,3,-153.2500
1.2170,219.9375,14.4375,-14896.9033,-11845.9023,51376.4101,54788.4921,-5.2000,0.3000,-1.4800,5.4148,-7.6500,6.5400,-8.6400,26,0.3750,-40.5625,38.2500,0,0,3,3,-138.8750
1.2420,68.1875,3.0000,3287.3454,-4250.6308,47329.8945,47633.9531,1.0900,0.7800,1.5400,2.0416,1.4800,7.8900,-5.1900,26,0.3750,-40.5625,38.2500,0,0,3,3,-132.9375
1.2660,256.6250,-8.5625,16891.5117,1865.6938,18578.1562,25178.4003,1.6100,-0.0800,2.1800,2.7113,3.0800,6.3000,-5.1000,26,-7.0625,-46.2500,27.5000,0,0,3,3,-138.7500
1.2910,256.8750,-10.1250,22835.9492,2417.1657,716.1973,22974.6855,-0.0800,-1.8100,-0.1000,1.8145,1.6400,3.0000,-8.4700,26,-7.0625,-46.2500,27.5000,0,0,3,3,-146.3125
