# Sesion:108 Fecha:2026-03-08 21:04:07 Shots:0 Duracion:10,88s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.0250,103.4375,-4.8750,-4952.5039,386.7465,1897.9227,5317.7978,0.2000,0.9600,-0.6800,1.1933,1.0300,-1.2400,-10.2000,26,3.0000,-13.1875,18.5000,0,0,0,1,166.3125
0.0490,104.6875,-4.8125,-2871.9509,300.8029,2470.8806,3800.5046,0.1900,1.9300,-0.8200,2.1056,1.0100,-0.1100,-10.3800,26,2.3750,-16.5000,17.0625,0,0,0,1,167.8750
0.0750,105.6875,-4.6875,-3745.7116,318.7078,2914.9228,4756.9638,0.1900,1.4800,-1.4300,2.0667,1.0000,-0.2600,-11.0500,26,2.3750,-16.5000,17.0625,0,0,0,1,168.9375
0.0990,107.4375,-4.6250,-5253.3066,537.1480,3323.1552,6239.3203,0.1900,0.2900,-1.6000,1.6371,0.9900,-1.1800,-11.2700,26,2.5000,-18.5625,16.8750,0,0,0,1,171.3125
0.1230,108.6250,-4.7500,-5067.0957,698.2923,3287.3454,6080.2724,-0.3600,-1.3400,-0.8800,1.6430,0.4500,-2.4100,-10.6000,26,2.5000,-18.5625,16.8750,0,0,0,1,172.9375
0.1480,110.3125,-4.8750,-3169.1728,547.8909,2961.4755,4371.9765,-0.5800,-1.4600,-0.4700,1.6398,0.2400,-2.3400,-10.2000,26,2.5625,-19.8750,16.5625,0,0,0,1,174.8125
0.1730,111.2500,-4.9375,-1890.7607,372.4226,2721.5495,3334.7424,-0.5300,-0.4300,-0.8400,1.0823,0.3200,-1.1600,-10.5800,26,2.5625,-19.8750,16.5625,0,0,0,1,175.4375
0.1970,112.6875,-5.0000,-1468.2043,318.7078,2696.4826,3086.7812,-0.7900,0.5500,-0.8800,1.3042,0.0600,-0.1100,-10.6300,26,1.0625,-22.2500,16.7500,0,0,0,1,176.0625
0.2260,113.6250,-5.0625,-2259.6022,336.6127,2839.7221,3644.6030,-0.8100,0.0200,-1.1600,1.4150,0.0500,-0.4700,-10.9200,26,1.0625,-22.2500,16.7500,0,0,0,1,176.6250
0.2500,115.1875,-5.1875,-3151.2678,487.0141,2836.1411,4267.4780,-0.9900,-1.0300,-1.2800,1.9182,-0.1000,-1.3600,-11.0400,26,1.0000,-23.0000,15.7500,0,0,0,1,178.0000
0.2750,116.1250,-5.3750,-2957.8945,565.7958,2653.5107,4013.7741,-1.0900,-1.6200,-1.1000,2.2411,-0.1500,-1.7200,-10.8600,26,1.0000,-23.0000,15.7500,0,0,0,1,178.9375
0.2990,117.3750,-5.6250,-2263.1833,615.9296,2209.4685,3222.2849,-1.0400,-1.6500,-1.1100,2.2441,-0.0700,-1.6300,-10.8600,26,0.0000,-23.7500,17.8750,0,0,0,1,-179.8125
0.3240,118.1250,-5.8750,-1858.5318,662.4825,1937.3135,2765.1777,-0.9800,-0.9000,-1.0600,1.7012,0.0400,-0.7300,-10.8100,26,0.0000,-23.7500,17.8750,0,0,0,1,-179.2500
0.3490,119.0625,-6.2500,-2359.8698,784.2360,1690.2254,3006.8046,-1.0500,-0.7100,-1.1900,1.7386,0.0100,-0.4200,-10.9400,26,0.1875,-23.8750,16.5625,0,0,0,1,-178.2500
