# Sesion:120 Fecha:2026-03-08 21:10:02 Shots:22 Duracion:7,32s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.0220,177.8125,-17.4375,6481.5849,3015.1904,-3405.5178,7918.3247,-0.3500,0.9500,1.2300,1.5931,2.5800,3.1000,-7.8700,26,1.7500,-26.5625,21.0625,0,3,1,3,-166.6250
0.0460,175.6250,-17.8125,5747.4829,2073.3911,-5862.0747,8467.3750,2.1100,-1.4200,2.3300,3.4493,5.1100,0.4300,-6.8100,26,1.0000,-24.0000,22.2500,0,3,1,3,-168.0625
0.0710,170.5000,-17.5000,3276.6025,82.3627,-6478.0039,7259.9892,1.7600,-1.7600,3.0900,3.9678,4.7100,0.0100,-6.0800,26,1.0000,-24.0000,22.2500,0,3,1,3,-169.0000
0.0910,168.3750,-17.0000,2256.0212,-458.3663,-5940.8564,6371.3037,1.6900,-1.7800,3.4400,4.2259,4.5600,-0.0300,-5.7600,26,2.3750,-24.6875,23.1875,0,3,1,3,-169.2500
0.1190,165.1250,-16.4375,898.8276,-662.4825,-5614.9863,5724.9321,2.5300,0.0100,1.4300,2.9062,5.2600,1.8000,-7.8100,26,2.3750,-24.6875,23.1875,0,3,1,3,-169.1250
0.1190,SHOT
0.1400,162.3750,-15.5000,1697.3874,-984.7713,-5045.6098,5413.7856,2.9400,-0.4000,1.5700,3.3569,5.5700,1.3800,-7.7000,26,2.3750,-24.6875,23.1875,0,3,1,3,-169.0000
0.1640,159.8125,-14.8125,2273.9262,-1518.3381,-4096.6484,4925.3041,3.5100,-1.0600,1.8800,4.1204,5.8400,0.2200,-7.2400,26,4.5625,-23.8750,23.5000,0,3,1,3,-169.4375
0.1890,158.5000,-13.8750,1038.4859,-2549.6621,-3960.5708,4823.4169,3.4400,-2.1600,2.3200,4.6778,5.7100,-0.4600,-7.0600,26,4.5625,-23.8750,23.5000,0,3,1,3,-169.6875
0.2090,155.5625,-12.0625,7.1620,-3219.3066,-3828.0742,5001.8134,3.1800,-1.7800,1.7900,4.0602,5.2400,-0.0500,-7.6300,26,6.7500,-23.8750,24.1875,0,3,1,3,-169.5625
0.2340,154.6250,-10.6875,-913.1515,-3760.0356,-3197.8208,5019.7382,0.8800,0.6000,0.4300,1.1486,2.5800,2.4700,-9.0400,26,6.7500,-23.8750,24.1875,0,3,1,3,-169.1250
0.2590,153.6250,-9.1250,-1650.8347,-3688.4157,-3247.9545,5184.4843,-0.1500,1.0900,0.1300,1.1079,1.2800,3.0900,-9.3600,26,7.3750,-23.8750,23.7500,0,3,1,3,-168.4375
0.2840,152.3125,-7.2500,-1170.9825,-2639.1867,-2882.6938,4080.0039,0.2800,0.7500,-0.1200,0.8095,1.5200,2.8500,-9.6200,26,7.3750,-23.8750,23.7500,0,3,1,3,-167.5000
0.3040,151.6875,-6.4375,-261.4120,-1854.9509,-1779.7501,2583.9291,0.6000,0.4800,-0.9600,1.2296,1.5700,2.5900,-10.5600,26,10.5625,-24.0625,25.2500,0,3,1,3,-167.3125
0.3280,151.5000,-5.8125,848.6937,-1521.9191,290.0599,1766.5372,-0.1100,0.6500,-0.8600,1.0836,0.8400,2.7400,-10.4000,26,10.5625,-24.0625,25.2500,0,3,1,3,-167.3750
