# Sesion:110 Fecha:2026-03-08 21:04:43 Shots:0 Duracion:1,67s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.0240,146.9375,13.8125,-171.8873,7305.2119,2868.3701,7850.0454,-1.5200,-1.3000,-0.7500,2.1361,-3.8700,0.9500,-10.0000,26,19.2500,-20.0000,16.1875,3,0,0,2,-166.2500
0.0450,148.0000,11.1875,583.7008,7430.5463,2632.0249,7904.5102,-1.6100,-0.9400,-0.4300,1.9133,-3.5100,1.3200,-9.7800,26,15.0625,-21.5625,17.6875,3,0,0,2,-166.3125
0.0700,148.5625,8.5625,669.6444,7172.7153,2363.4509,7581.6997,-1.3500,-0.8100,1.0300,1.8814,-2.6000,1.4200,-8.4200,26,15.0625,-21.5625,17.6875,3,0,0,3,-166.5625
0.0940,149.5625,4.9375,275.7359,6535.2998,2098.4580,6869.4760,-0.6700,-2.0400,1.7000,2.7387,-1.5100,0.1800,-7.8100,26,12.5625,-21.5625,18.6875,3,0,0,3,-166.7500
0.1190,149.8750,2.8125,501.3381,5862.0747,1625.7678,6103.9643,-0.3600,-2.3300,1.7500,2.9362,-0.6700,-0.1300,-7.8000,26,12.5625,-21.5625,18.6875,3,0,0,3,-166.8750
0.1390,150.3750,0.0625,1138.7536,5038.4477,855.8557,5235.9531,-0.2500,-1.4100,1.6400,2.1772,-0.2700,0.7200,-7.9200,26,9.8750,-21.5625,21.1875,3,0,0,3,-167.3750
0.1640,150.4375,-1.5000,777.0740,4544.2714,547.8909,4642.6752,-0.4000,-1.1700,1.4300,1.8904,-0.1400,0.9100,-8.1400,26,9.8750,-21.5625,21.1875,3,0,0,3,-167.6875
0.1880,150.3750,-2.9375,325.8698,4153.9438,322.2888,4179.1518,-0.4400,-1.7100,1.0800,2.0698,0.1700,0.3300,-8.4800,26,8.7500,-21.5625,22.8750,3,0,0,3,-167.8125
0.2130,150.2500,-4.8750,551.4719,3835.2363,-10.7430,3874.6965,-0.6400,-1.5600,1.1200,2.0243,0.1900,0.4500,-8.4300,26,8.7500,-21.5625,22.8750,3,0,0,3,-168.0000
0.2340,150.0625,-6.0625,612.3486,3670.5109,-179.0493,3725.5444,-0.7900,-1.6200,1.2600,2.1991,0.2400,0.3600,-8.2700,26,8.7500,-21.5625,22.8750,3,0,0,3,-168.1875
0.2580,149.8125,-7.0625,562.2149,3473.5566,-354.5177,3536.5754,-0.8800,-1.7300,1.6400,2.5410,0.4100,0.1600,-7.8900,26,6.8750,-21.1875,22.7500,3,0,0,3,-168.6250
0.2820,149.3750,-8.6250,447.6233,3025.9333,-730.5212,3144.8850,-1.0200,-1.6500,1.7800,2.6327,0.4500,0.2200,-7.7200,26,6.8750,-21.1875,22.7500,3,0,0,3,-168.8125
0.3040,149.1250,-9.4375,436.8803,2692.9016,-952.5424,2889.6228,-1.1400,-1.8800,1.6700,2.7610,0.4700,-0.0200,-7.8100,26,5.0000,-20.8750,22.7500,3,0,0,3,-168.8750
