# Sesion:1 Fecha:2026-03-08 15:33:42 Shots:0 Duracion:17,91s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm
0,6060,24.1875,-53.9375,-57.2958,-35.8099,57.2958,88.5887,-0.0600,0.1800,-0.2700,0.3300,7.8600,-0.6900,-5.9700,25,-18.0625,-27.5625,-1.0000,0,0,0,0
0,6230,24.3125,-53.9375,-153.9824,21.4859,35.8099,159.5449,-0.1300,0.1000,-0.1500,0.2223,7.7900,-0.7700,-5.8500,25,-18.0625,-27.5625,-1.0000,0,0,0,0
0,6470,24.3750,-53.8750,-82.3627,-64.4578,10.7430,105.1372,-0.0900,0.1300,-0.1700,0.2322,7.8300,-0.7400,-5.8800,25,-18.7500,-26.8750,-1.0000,0,0,0,0
0,6670,24.4375,-53.8750,-75.2007,-75.2007,21.4859,108.4986,-0.0400,0.1700,-0.2700,0.3216,7.8800,-0.7000,-5.9900,25,-18.7500,-26.8750,-1.0000,0,0,0,0
0,6880,24.5000,-53.8125,-71.6197,-35.8099,-25.0669,83.9052,-0.1100,0.0800,-0.1700,0.2177,7.7900,-0.7800,-5.8500,25,-18.7500,-26.1875,-1.2500,0,0,0,0
0,7080,24.5625,-53.8125,-64.4578,-25.0669,0.0000,69.1603,-0.1100,0.1000,-0.1800,0.2335,7.8000,-0.7600,-5.9000,25,-18.7500,-26.1875,-1.2500,0,0,0,0
0,7290,24.6875,-53.8125,-157.5634,3.5810,46.5528,164.3357,-0.0900,0.1500,-0.2100,0.2733,7.7500,-0.7900,-5.8700,25,-18.0625,-26.1875,0.1875,0,0,0,0
0,7500,24.8125,-53.7500,-264.9930,21.4859,75.2007,276.2935,-0.2200,-0.0500,-0.1500,0.2709,7.6900,-0.9000,-5.8800,25,-18.0625,-26.1875,0.1875,0,0,0,0
0,7700,24.9375,-53.7500,-179.0493,-35.8099,-96.6866,206.6139,-0.1500,0.0400,-0.1200,0.1962,7.7500,-0.7900,-5.8600,25,-18.0625,-26.1875,0.1875,0,0,0,0
0,7900,25.0625,-53.7500,-64.4578,-64.4578,-75.2007,118.1726,-0.1200,0.0800,-0.0500,0.1526,7.8600,-0.6600,-5.7900,25,-17.2500,-26.1875,-1.0000,0,0,0,0
0,8110,25.1250,-53.6875,-39.3908,-60.8768,-82.3627,109.7326,-0.0800,0.1300,-0.1300,0.2005,7.8100,-0.6900,-5.8800,25,-17.2500,-26.1875,-1.0000,0,0,0,0
0,8310,25.1875,-53.6875,-42.9718,-46.5528,-82.3627,103.9103,-0.0300,0.1700,-0.0800,0.1903,7.8600,-0.6500,-5.8300,25,-17.6875,-26.5000,-1.0000,0,0,0,0
0,8510,25.1875,-53.6250,-10.7430,-118.1725,-114.5916,164.9587,-0.0500,0.1600,-0.0700,0.1817,7.8300,-0.6500,-5.8300,25,-17.6875,-26.5000,-1.0000,0,0,0,0
0,8720,25.3125,-53.5625,-168.3063,-125.3345,-75.2007,222.9146,-0.0500,0.1800,-0.0800,0.2032,7.8300,-0.6100,-5.8400,25,-17.6875,-26.5000,-1.0000,0,0,0,0
0,8920,25.4375,-53.5000,-182.6303,-132.4965,-53.7148,231.9362,-0.0400,0.1400,-0.0500,0.1539,7.8400,-0.6400,-5.8200,25,-18.3750,-27.2500,-0.1875,0,0,0,0
0,9130,25.5625,-53.5000,-143.2395,-139.6585,-3.5810,200.0871,0.0100,0.1800,-0.1700,0.2478,7.8900,-0.6000,-5.9500,25,-18.3750,-27.2500,-0.1875,0,0,0,0
0,9300,25.6875,-53.4375,-153.9824,-153.9824,-3.5810,217.7935,0.0000,0.2800,0.0400,0.2828,7.8800,-0.4900,-5.7400,25,-17.7500,-26.8750,-1.0000,0,0,0,0
0,9540,25.8125,-53.3125,-139.6585,-372.4226,-96.6866,409.3304,-0.0400,0.1300,-0.1800,0.2256,7.8100,-0.6300,-5.9900,25,-17.7500,-26.8750,-1.0000,0,0,0,0
0,9740,25.9375,-53.1250,-139.6585,-315.1268,-57.2958,349.4169,-0.1100,0.0500,-0.1300,0.1775,7.7300,-0.7000,-5.9600,25,-17.7500,-26.8750,-1.0000,0,0,0,0
0,9910,26.0000,-53.0625,-71.6197,-325.8698,32.2289,335.2002,-0.1400,0.0100,-0.0900,0.1667,7.6900,-0.7400,-5.9400,25,-18.8750,-26.1875,-1.2500,0,0,0,0
1,0110,26.0000,-52.9375,14.3239,-372.4226,10.7430,372.8527,-0.1000,0.0000,-0.2000,0.2236,7.7100,-0.7600,-6.0700,25,-18.8750,-26.1875,-1.2500,0,0,0,0
1,0320,25.9375,-52.8125,71.6197,-343.7747,25.0669,352.0494,-0.0700,0.0700,-0.1700,0.1967,7.7300,-0.6800,-6.0500,25,-17.6875,-26.8750,-0.5625,0,0,0,0
1,0520,25.8125,-52.6875,25.0669,-247.0881,96.6866,266.5130,-0.1200,0.0700,-0.1100,0.1772,7.6700,-0.6800,-6.0000,25,-17.6875,-26.8750,-0.5625,0,0,0,0
1,0730,25.7500,-52.5625,10.7430,-218.4402,93.1056,237.6976,-0.0500,0.0900,-0.1500,0.1819,7.7300,-0.6700,-6.0500,25,-17.6875,-26.8750,-0.5625,0,0,0,0
1,0930,25.7500,-52.5625,85.9437,-225.6021,60.8768,248.9751,-0.1900,-0.0500,-0.1700,0.2598,7.5800,-0.8200,-6.0900,25,-18.0625,-27.2500,-2.1875,0,0,0,0
1,1140,25.6875,-52.4375,96.6866,-222.0211,10.7430,242.3986,-0.1300,0.0300,-0.0600,0.1463,7.6300,-0.7400,-5.9900,25,-18.0625,-27.2500,-2.1875,0,0,0,0
1,1300,25.5625,-52.3750,111.0106,-236.3451,32.2289,263.0989,-0.0100,0.1600,0.0000,0.1603,7.7400,-0.6100,-5.9400,25,-17.1875,-27.6875,-0.5000,0,0,0,0
1,1540,25.5625,-52.2500,-75.2007,-279.3169,-89.5247,302.7999,0.0300,0.1500,-0.1600,0.2214,7.7900,-0.6100,-6.1200,25,-17.1875,-27.6875,-0.5000,0,0,0,0
1,1710,25.6875,-52.1250,-75.2007,-175.4683,57.2958,199.3165,-0.0700,0.0400,-0.1400,0.1616,7.6600,-0.7200,-6.1000,25,-17.1875,-27.6875,-0.5000,0,0,0,0
1,1920,25.6875,-52.1250,-75.2007,-182.6303,82.3627,213.9920,-0.0600,0.0800,-0.1800,0.2059,7.6700,-0.6800,-6.1500,25,-19.1875,-27.0000,-0.8750,0,0,0,0
1,2120,25.6875,-52.0000,-39.3908,-182.6303,32.2289,189.5895,-0.0600,0.0800,-0.0400,0.1077,7.6600,-0.6800,-6.0200,25,-19.1875,-27.0000,-0.8750,0,0,0,0
1,2320,25.6875,-51.9375,-7.1620,-211.2782,10.7430,211.6723,-0.0900,0.0200,-0.0300,0.0970,7.6200,-0.7400,-6.0200,25,-18.0000,-26.5625,-1.2500,0,0,0,0
1,2530,25.6875,-51.8750,-10.7430,-218.4402,7.1620,218.8214,-0.1200,0.0000,0.0000,0.1200,7.5900,-0.7600,-6.0100,25,-18.0000,-26.5625,-1.2500,0,0,0,0
1,2740,25.6875,-51.7500,-50.1338,-257.8310,-42.9718,266.1519,-0.0400,0.0600,-0.0900,0.1153,7.6600,-0.6900,-6.1100,25,-18.0000,-26.5625,-1.2500,0,0,0,0
1,2940,25.7500,-51.7500,-93.1056,-222.0211,-50.1338,245.9176,-0.0600,0.0600,-0.0500,0.0985,7.6300,-0.6900,-6.0800,25,-18.0000,-26.5625,-0.5000,0,0,0,0
1,3140,25.7500,-51.6250,0.0000,-243.5071,68.0387,252.8339,-0.0800,0.0900,-0.1800,0.2166,7.6000,-0.6600,-6.2200,25,-18.0000,-26.5625,-0.5000,0,0,0,0
1,3350,25.7500,-51.5625,-46.5528,-207.6972,32.2289,215.2765,-0.0700,0.0400,-0.0500,0.0949,7.6000,-0.7100,-6.1000,25,-17.5625,-27.3750,-0.8750,0,0,0,0
1,3550,25.7500,-51.5000,28.6479,-254.2500,39.3908,258.8734,-0.1000,0.0300,-0.0400,0.1118,7.5700,-0.7200,-6.1000,25,-17.5625,-27.3750,-0.8750,0,0,0,0
1,3760,25.6875,-51.3125,3.5810,-243.5071,42.9718,247.2956,-0.0500,0.0800,-0.1100,0.1449,7.6000,-0.6700,-6.1800,25,-17.5625,-27.3750,-0.8750,0,0,0,0
1,3930,25.6875,-51.3125,-93.1056,-222.0211,-28.6479,242.4515,-0.0900,0.0200,0.0500,0.1049,7.5600,-0.7300,-6.0300,25,-17.5625,-27.0000,0.6875,0,0,0,0
1,4130,25.7500,-51.2500,-53.7148,-290.0599,-50.1338,299.2214,-0.0200,0.0700,-0.1300,0.1490,7.6100,-0.6800,-6.2200,25,-17.5625,-27.0000,0.6875,0,0,0,0
1,4330,25.8125,-51.1250,-182.6303,-232.7641,-107.4296,314.7604,-0.0900,0.0400,0.0900,0.1334,7.5300,-0.7000,-6.0100,25,-18.3750,-26.2500,-0.5000,0,0,0,0
1,4540,25.9375,-51.0625,-46.5528,-336.6127,-46.5528,342.9905,-0.0200,0.0600,0.0100,0.0640,7.5900,-0.6700,-6.1100,25,-18.3750,-26.2500,-0.5000,0,0,0,0
1,4740,25.9375,-50.8750,-14.3239,-372.4226,75.2007,380.2090,0.0400,0.1300,-0.0800,0.1578,7.6500,-0.6000,-6.2200,25,-18.3750,-26.2500,-0.5000,0,0,0,0
1,4940,25.9375,-50.8125,-128.9155,-361.6796,71.6197,390.5903,0.0000,0.0900,-0.0300,0.0949,7.5900,-0.6400,-6.1900,25,-18.0625,-25.8750,0.2500,0,0,0,0
1,5150,26.0000,-50.6875,-186.2113,-408.2324,57.2958,452.3397,-0.0300,0.0800,0.0000,0.0854,7.5400,-0.6500,-6.1700,25,-18.0625,-25.8750,0.2500,0,0,0,0
1,5320,26.0625,-50.5000,-139.6585,-501.3381,3.5810,520.4394,-0.0300,0.0500,-0.0500,0.0768,7.5300,-0.6700,-6.2400,25,-18.3750,-27.3750,-0.0625,0,0,0,0
1,5560,26.1250,-50.3750,-125.3345,-537.1480,-17.9049,551.8671,-0.0800,0.0800,-0.1400,0.1800,7.4600,-0.6400,-6.3600,25,-18.3750,-27.3750,-0.0625,0,0,0,0
1,5760,26.2500,-50.0625,-200.5352,-483.4331,-50.1338,525.7713,-0.0700,0.0800,-0.1300,0.1679,7.4500,-0.6300,-6.3800,25,-18.3750,-27.3750,-0.0625,0,0,0,0
1,5930,26.3125,-50.0000,-164.7254,-494.1761,21.4859,521.3503,-0.0700,0.0500,-0.0800,0.1175,7.4200,-0.6500,-6.3500,25,-17.2500,-27.0000,0.1875,0,0,0,0
1,6140,26.4375,-49.8125,-207.6972,-469.1092,25.0669,513.6437,0.0000,0.0400,-0.2000,0.2040,7.4800,-0.6600,-6.5000,25,-17.2500,-27.0000,0.1875,0,0,0,0
1,6340,26.5625,-49.6875,-211.2782,-401.0705,-3.5810,453.3308,-0.0600,0.0000,-0.2200,0.2280,7.4000,-0.6800,-6.5400,25,-17.0000,-26.1875,1.0625,0,0,0,0
1,6550,26.6875,-49.5000,-68.0387,-347.3557,-35.8099,355.7634,0.0200,0.1100,-0.1900,0.2205,7.4800,-0.5600,-6.5200,25,-17.0000,-26.1875,1.0625,0,0,0,0
1,6750,26.6875,-49.3750,-14.3239,-325.8698,35.8099,328.1442,0.0000,0.0800,-0.1700,0.1879,7.4500,-0.6000,-6.5200,25,-17.0000,-26.1875,1.0625,0,0,0,0
1,6920,26.6875,-49.3125,-75.2007,-264.9930,7.1620,275.5499,-0.0700,0.0000,-0.1300,0.1476,7.3500,-0.6800,-6.4900,25,-17.5000,-26.1875,0.7500,0,0,0,0
1,7160,26.6875,-49.1875,-3.5810,-257.8310,35.8099,260.3306,-0.0200,0.0900,-0.0300,0.0970,7.3900,-0.5900,-6.4000,25,-17.5000,-26.1875,0.7500,0,0,0,0
1,7320,26.6250,-49.1250,10.7430,-264.9930,46.5528,269.2654,0.0200,0.1000,-0.0800,0.1296,7.4300,-0.5800,-6.4700,25,-17.5000,-26.7500,0.3750,0,0,0,0
