# Sesion:114 Fecha:2026-03-08 21:05:44 Shots:0 Duracion:0,90s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.0160,156.6250,19.1250,-920.3135,5246.1450,-458.3663,5345.9438,-0.9300,-0.1500,0.4100,1.0274,-4.1500,0.3100,-8.8300,26,16.5625,-17.0625,22.2500,3,0,3,3,-177.1250
0.0450,156.3750,17.4375,-272.1550,4741.2255,-547.8909,4780.5302,-0.8100,-0.3300,0.8100,1.1921,-3.6200,0.1500,-8.5600,26,16.5625,-17.0625,22.2500,3,0,3,3,-177.0000
0.0650,156.0000,15.1250,-350.9367,4479.8139,-669.6444,4543.1611,-0.6600,-0.1500,0.6400,0.9315,-3.2300,0.3400,-8.8000,26,16.5625,-17.0625,22.2500,3,0,3,3,-177.0000
0.0900,155.8125,13.6875,-508.5001,4329.4125,-712.6163,4417.0361,-0.6700,0.0400,0.6400,0.9274,-2.9300,0.5500,-8.8900,26,13.8750,-17.7500,22.2500,3,0,3,3,-176.9375
0.1140,155.3750,11.5625,-637.4155,4107.3911,-615.9296,4201.9433,-0.6100,0.0400,0.9300,1.1129,-2.5800,0.5900,-8.6500,26,13.8750,-17.7500,22.2500,3,0,3,3,-176.6875
0.1390,155.0625,10.2500,-637.4155,3863.8842,-565.7958,3956.7695,-0.7300,-0.2400,1.2900,1.5015,-2.4800,0.3300,-8.3400,26,14.2500,-17.5000,23.1875,3,0,3,3,-176.5625
0.1630,154.8125,9.0625,196.9542,3308.8312,-719.7783,3391.9370,-0.7100,-1.0100,1.3700,1.8442,-2.1700,-0.4200,-8.3000,26,14.2500,-17.5000,23.1875,3,0,3,3,-176.4375
0.1840,154.4375,7.5000,870.1797,3054.5812,-859.4367,3290.3359,-0.5000,-0.4100,1.0700,1.2502,-1.7900,0.1100,-8.6300,26,11.5000,-17.0625,24.2500,3,0,3,3,-176.8125
0.2130,154.1250,6.5000,895.2466,2907.7607,-970.4473,3193.4787,-0.3100,-0.0800,0.9400,0.9930,-1.3400,0.3600,-8.8000,26,11.5000,-17.0625,24.2500,3,0,3,3,-177.1875
0.2330,153.6875,5.1250,193.3733,2760.9404,-1142.3345,2994.1799,-0.2700,-0.1900,1.0800,1.1293,-1.1500,0.2300,-8.6700,26,10.2500,-18.1875,24.7500,3,0,3,3,-177.5000
