# Sesion:4 Fecha:2026-03-08 15:42:43 Shots:0 Duracion:18,06s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm
0.0210,345.3750,-56.3125,-669.6444,3054.5812,358.0986,3147.5588,-0.3100,-0.3000,-0.0900,0.4407,7.9000,-1.1700,-5.3800,25,-31.3750,-21.1875,48.5000,0,0,0,0
0.0410,345.8750,-57.3750,-576.5388,3301.6694,42.9718,3351.9047,-0.5100,-0.6200,0.0900,0.8078,7.7900,-1.4800,-5.0400,25,-31.5000,-20.5625,47.0625,0,0,0,0
0.0650,346.3750,-58.4375,-143.2395,2907.7607,-196.9542,2917.9414,-0.1400,-0.2000,0.5500,0.6017,8.2500,-1.0400,-4.4300,25,-31.5000,-20.5625,47.0625,0,0,0,0
0.0820,346.9375,-59.9375,-247.0881,2900.5988,-282.8979,2924.8176,-0.3100,-0.3100,0.3500,0.5610,8.1600,-1.1400,-4.4800,25,-31.5000,-20.5625,47.0625,0,0,0,0
0.1060,347.3125,-60.8750,-136.0775,2800.3312,-426.1374,2835.8359,0.0300,-0.2000,1.2200,1.2366,8.6000,-1.0000,-3.4700,25,-32.8750,-19.8750,45.0625,0,0,0,0
0.1270,347.5625,-61.6875,268.5740,2152.1728,-676.8064,2272.0139,-0.0400,-0.1500,0.9100,0.9231,8.5900,-0.9200,-3.6600,25,-32.8750,-19.8750,45.0625,0,0,0,0
0.1470,347.6250,-62.3750,644.5775,1715.2923,-816.4649,2006.0714,0.3100,0.0600,1.1700,1.2119,9.0000,-0.6800,-3.3000,25,-33.1875,-20.0000,43.3750,0,0,0,0
0.1680,347.5000,-62.8125,816.4649,1264.0881,-855.8557,1731.1910,0.0900,0.0100,0.5900,0.5969,8.7200,-0.6600,-4.0600,25,-33.1875,-20.0000,43.3750,0,0,0,0
0.1880,347.6250,-63.3750,483.4331,1439.5565,-963.2853,1798.3183,0.0100,-0.0300,0.6200,0.6208,8.7800,-0.7200,-3.7100,25,-34.2500,-19.3750,42.5000,0,0,0,0
0.2090,347.6875,-63.9375,619.5106,1217.5352,-938.2184,1657.2384,0.3600,0.1800,1.0800,1.1526,9.2700,-0.2400,-3.2200,25,-34.2500,-19.3750,42.5000,0,0,0,0
0.2330,347.6250,-64.2500,658.9015,820.0458,-694.7114,1260.6546,0.2600,0.3400,0.4300,0.6067,9.1100,-0.2700,-3.7400,25,-34.2500,-19.3750,42.5000,0,0,0,0
0.2500,347.5000,-64.5625,762.7501,827.2078,-633.8346,1291.4359,0.4400,0.3800,0.9100,1.0799,9.3100,-0.2200,-3.2200,25,-33.5000,-18.6875,42.1875,0,0,0,0
0.2750,347.1875,-64.8125,970.4473,293.6409,-440.4613,1105.4406,0.7000,0.5200,1.1900,1.4753,9.5800,-0.0700,-2.9200,25,-33.5000,-18.6875,42.1875,0,0,0,0
0.2910,346.6875,-64.8750,694.7114,64.4578,-214.8592,730.0296,0.5300,0.4700,0.9500,1.1850,9.4100,-0.1300,-3.1500,25,-32.5625,-18.8750,41.5000,0,0,0,0
0.3160,346.5000,-65.0000,383.1655,200.5352,3.5810,432.4847,0.4100,0.1800,1.1500,1.2341,9.2900,-0.4300,-2.9400,25,-32.5625,-18.8750,41.5000,0,0,0,0
0.3360,346.3125,-64.9375,222.0211,-193.3733,186.2113,348.3694,0.5100,0.2600,1.3600,1.4756,9.3900,-0.3600,-2.7300,25,-32.5625,-18.8750,41.5000,0,0,0,0
0.3560,346.1875,-64.8125,-75.2007,-275.7359,343.7747,447.0643,0.1100,-0.0800,0.8400,0.8509,8.9900,-0.7200,-3.2700,25,-33.3750,-18.8750,41.5625,0,0,0,0
0.3770,346.0625,-64.6875,32.2289,-479.8522,333.0317,584.9846,-0.0300,-0.2000,0.8800,0.9029,8.8200,-0.8700,-3.2500,25,-33.3750,-18.8750,41.5625,0,0,0,0
0.3980,345.8750,-64.5000,42.9718,-562.2149,264.9930,623.0196,-0.1300,-0.1200,0.7400,0.7609,8.7100,-0.8000,-3.4200,25,-33.0000,-19.5625,40.6875,0,0,0,0
0.4180,345.8750,-64.2500,-42.9718,-537.1480,85.9437,545.6746,-0.1500,-0.1000,0.4800,0.5127,8.6800,-0.7900,-3.7100,25,-33.0000,-19.5625,40.6875,0,0,0,0
0.4380,345.8750,-64.1250,-128.9155,-476.2712,0.0000,493.4100,0.0900,0.0500,0.5300,0.5399,8.9100,-0.6300,-3.6800,25,-33.0000,-19.5625,40.6875,0,0,0,0
0.4590,345.9375,-64.0000,-157.5634,-411.8134,50.1338,443.7679,0.0700,0.0000,0.4300,0.4357,8.8800,-0.6800,-3.8000,25,-33.3750,-19.5000,39.8750,0,0,0,0
0.4800,346.0000,-63.8750,-164.7254,-408.2324,78.7817,447.2077,0.1300,0.0900,0.4400,0.4675,8.9800,-0.4800,-3.8700,25,-33.3750,-19.5000,39.8750,0,0,0,0
0.5000,346.0625,-63.7500,-179.0493,-465.5282,89.5247,506.7444,0.1100,0.2300,0.2800,0.3787,8.8400,-0.6000,-4.0400,25,-32.5625,-18.6875,41.0000,0,0,0,0
0.5200,346.1250,-63.6875,-128.9155,-469.1092,71.6197,491.7439,0.0400,0.0800,0.3400,0.3516,8.8300,-0.5900,-3.9500,25,-32.5625,-18.6875,41.0000,0,0,0,0
0.5410,346.1875,-63.5000,-111.0106,-537.1480,46.5528,550.4711,0.0800,0.1100,0.2400,0.2759,8.8100,-0.5200,-4.2600,25,-31.8750,-19.0000,41.7500,0,0,0,0
0.5650,346.2500,-63.3750,-214.8592,-318.7078,114.5916,401.0864,-0.1500,0.0300,-0.0300,0.1559,8.6100,-0.6400,-4.3700,25,-31.8750,-19.0000,41.7500,0,0,0,0
0.5850,346.2500,-63.3125,136.0775,-157.5634,-100.2676,231.0777,-0.0100,0.0600,0.1000,0.1170,8.7400,-0.6000,-4.2400,25,-31.8750,-19.0000,41.7500,0,0,0,0
0.6020,346.1875,-63.2500,214.8592,-239.9261,-96.6866,336.2697,0.1700,0.1300,0.3500,0.4102,8.9300,-0.5300,-4.0000,25,-33.0000,-18.7500,40.5000,0,0,0,0
