# Sesion:2 Fecha:2026-03-08 15:36:43 Shots:0 Duracion:19,80s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm
0.6270,51.8750,-54.6875,71.6197,719.7783,784.2360,1066.8815,-0.8700,-0.3900,1.0600,1.4257,7.1200,-1.3500,-4.5100,25,-18.0000,11.7500,40.5625,0,3,1,2
0.6470,51.6875,-54.6875,14.3239,218.4402,458.3663,507.9576,-1.0300,-0.7400,0.1700,1.2796,6.9600,-1.7300,-5.3900,25,-18.0000,11.7500,40.5625,0,3,1,2
0.6670,51.6875,-54.8125,42.9718,293.6409,-7.1620,296.8549,-0.5700,-0.3300,-0.1700,0.6802,7.4300,-1.3300,-5.7300,25,-18.0625,13.1875,39.5000,0,3,1,2
0.6890,51.6875,-54.9375,103.8486,383.1655,-121.7535,415.2400,-0.4000,0.1400,-0.8300,0.9319,7.7300,-0.6700,-6.2100,25,-18.0625,13.1875,39.5000,0,3,1,2
0.7090,51.8750,-55.1875,-275.7359,762.7501,39.3908,812.0158,-0.2400,0.3300,-0.5700,0.7010,7.8000,-0.6500,-6.0800,25,-18.8750,12.2500,37.3750,0,3,1,2
0.7300,52.1875,-55.4375,-469.1092,816.4649,132.4965,950.9120,-0.3000,0.1100,-0.4300,0.5357,7.7800,-0.8500,-5.8900,25,-18.8750,12.2500,37.3750,0,3,1,2
0.7500,52.5625,-55.6875,-562.2149,855.8557,-53.7148,1025.4071,-0.1900,0.2300,0.2600,0.3957,8.0900,-0.5800,-5.0600,25,-19.0000,14.0625,38.6875,0,3,1,2
0.7750,52.9375,-55.8750,-171.8873,118.1725,-218.4402,302.0366,0.1500,0.4900,-0.5000,0.7160,8.2800,-0.4400,-5.9100,25,-19.0000,14.0625,38.6875,0,3,1,2
0.7920,53.1250,-56.0000,25.0669,358.0986,-243.5071,433.7726,-0.0600,0.4000,-0.4900,0.6354,8.0700,-0.5100,-5.8900,25,-19.0000,14.0625,38.6875,0,3,1,2
0.8120,53.1250,-56.0625,143.2395,519.2430,-179.0493,567.6174,-0.0600,0.5100,-0.3500,0.6214,8.0800,-0.4000,-5.7200,25,-19.2500,14.0625,37.6875,0,3,1,2
0.8360,53.2500,-56.3750,-171.8873,508.5001,-82.3627,543.0480,-0.2900,0.3200,-0.0300,0.4329,7.8700,-0.5800,-5.3800,25,-19.2500,14.0625,37.6875,0,3,1,2
0.8530,53.6250,-56.5000,-483.4331,444.0423,-179.0493,680.3968,-0.3300,0.2500,0.1100,0.4284,7.8400,-0.6200,-5.2100,25,-19.0000,13.0625,37.0625,1,3,1,2
0.8760,53.9375,-56.5625,-322.2888,-17.9049,-293.6409,436.3664,-0.0900,0.5200,0.1800,0.5576,8.0800,-0.3400,-5.1300,25,-19.0000,13.0625,37.0625,1,3,1,2
0.8940,54.0625,-56.5000,125.3345,-508.5001,-390.3275,653.1743,-0.3900,0.2900,-0.2900,0.5660,7.7700,-0.5500,-5.6400,25,-19.0000,13.0625,37.0625,2,3,1,2
0.9170,54.0625,-56.3125,218.4402,-576.5388,-433.2994,753.5658,-0.2800,0.3900,-0.5200,0.7077,7.8700,-0.4300,-5.8900,25,-20.1875,13.5625,36.1875,2,3,1,2
0.9390,54.0625,-56.1250,-28.6479,-429.7184,-196.9542,473.5711,-0.1800,0.5800,-0.4500,0.7558,7.9600,-0.2300,-5.8400,25,-20.1875,13.5625,36.1875,2,3,1,2
0.9590,54.2500,-56.0625,-465.5282,-153.9824,-100.2676,500.4805,-0.3600,0.3500,-1.1000,1.2092,7.7700,-0.4500,-6.5100,25,-19.3750,13.5625,37.3750,2,3,1,2
0.9800,54.6875,-56.1250,-691.1304,261.4120,-136.0775,751.3418,-0.4000,0.3000,-1.4300,1.5149,7.6500,-0.6400,-6.7600,25,-19.3750,13.5625,37.3750,2,3,1,2
1.0000,55.1875,-56.3125,-433.2994,504.9191,-404.6515,778.7390,-0.2500,0.3900,-0.9600,1.0659,7.9000,-0.3500,-6.3400,25,-19.0625,13.5625,36.5000,3,3,1,2
1.0210,55.5000,-56.5000,14.3239,372.4226,-544.3099,659.6795,-0.1700,0.4200,-0.8400,0.9544,8.0100,-0.2800,-6.2000,25,-19.0625,13.5625,36.5000,3,3,1,2
1.0450,55.4375,-56.6250,454.7853,329.4508,-275.7359,625.6179,0.2200,0.7600,-0.7000,1.0564,8.4100,0.0500,-6.0300,25,-19.0625,13.5625,36.5000,3,3,1,2
