# Sesion:8 Fecha:2026-03-18 21:06:38 Shots:0 Duracion:16,08s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.9950,-0.731812,0.581055,0.354736,-0.029968
1.0020,-0.731445,0.581848,0.354675,-0.024353
1.0150,-0.731018,0.581787,0.355957,-0.020386
1.0240,-0.730469,0.581909,0.357117,-0.016357
1.0360,-0.729858,0.582092,0.358215,-0.012024
1.0430,-0.729126,0.582458,0.359192,-0.007568
1.0520,-0.728394,0.583313,0.359436,-0.002258
1.0650,-0.727661,0.583801,0.360107,0.002197
1.0760,-0.726990,0.584412,0.360474,0.006409
1.0850,-0.726318,0.585144,0.360474,0.010376
1.0930,-0.725586,0.586121,0.360229,0.014038
1.1010,-0.725037,0.587524,0.358948,0.018066
1.1140,-0.724853,0.588257,0.357910,0.020691
1.1260,-0.725281,0.588501,0.356567,0.022583
1.1340,-0.726318,0.588135,0.354919,0.023804
1.1420,-0.727905,0.587402,0.352844,0.024353
1.1540,-0.729614,0.587280,0.349365,0.025940
1.1670,-0.731079,0.587097,0.346558,0.026123
1.1750,-0.731934,0.587830,0.343506,0.026489
1.1840,-0.732117,0.589478,0.340271,0.027222
1.1920,-0.731750,0.591797,0.336975,0.028015
1.2040,-0.731079,0.594727,0.333130,0.029541
1.2160,-0.730469,0.597168,0.330017,0.030029
1.2240,-0.730041,0.599304,0.327148,0.030273
1.2370,-0.729858,0.601013,0.324341,0.030212
1.2450,-0.729919,0.602417,0.321533,0.029907
1.2530,-0.730103,0.604187,0.317627,0.030579
1.2650,-0.730530,0.605408,0.314514,0.029968
1.2740,-0.731079,0.606628,0.311035,0.029236
1.2850,-0.731506,0.607971,0.307312,0.028564
1.2940,-0.731750,0.609741,0.303284,0.028076
1.3020,-0.731750,0.612366,0.297729,0.029480
1.3150,-0.731689,0.614502,0.293579,0.029236
1.3260,-0.731567,0.616577,0.289490,0.028992
1.3350,-0.731567,0.618347,0.285706,0.028625
1.3430,-0.731750,0.619751,0.282166,0.028137
1.3520,-0.731995,0.621338,0.278015,0.028625
1.3640,-0.732178,0.622559,0.274963,0.028198
1.3750,-0.732056,0.623962,0.272034,0.027893
1.3840,-0.731689,0.625671,0.269104,0.027832
1.3920,-0.731140,0.627502,0.266174,0.027832
1.4050,-0.730530,0.629944,0.262024,0.029236
1.4170,-0.729919,0.631897,0.258850,0.029175
1.4250,-0.729492,0.633789,0.255615,0.028870
1.4340,-0.729187,0.635437,0.252258,0.028137
1.4420,-0.729126,0.637024,0.248779,0.026978
1.4540,-0.729065,0.639160,0.243225,0.027588
1.4660,-0.729187,0.640564,0.239502,0.025696
1.4740,-0.729309,0.641968,0.235596,0.023560
1.4860,-0.729309,0.643433,0.231567,0.021362
1.4950,-0.729309,0.645020,0.227417,0.019165
1.5030,-0.729004,0.647278,0.221985,0.018250
1.5150,-0.728516,0.649353,0.217651,0.016052
1.5240,-0.727783,0.651611,0.213440,0.013733
1.5360,-0.726868,0.653992,0.209412,0.011536
1.5440,-0.725769,0.656433,0.205566,0.009277
1.5520,-0.724548,0.659241,0.200928,0.008179
1.5640,-0.723145,0.661865,0.197449,0.006104
1.5760,-0.721680,0.664429,0.194031,0.004089
1.5850,-0.720215,0.667053,0.190735,0.002136
1.5930,-0.718811,0.669495,0.187439,0.000244
1.6050,-0.717651,0.671997,0.182739,-0.000183
1.6140,-0.716736,0.673889,0.179504,-0.001953
1.6260,-0.716125,0.675354,0.176270,-0.003723
1.6340,-0.715881,0.676392,0.173157,-0.005310
1.6420,-0.715942,0.677063,0.170166,-0.006775
1.6540,-0.716248,0.677795,0.166016,-0.006653
1.6670,-0.716431,0.678162,0.163513,-0.007690
1.6750,-0.716492,0.678650,0.161194,-0.008484
1.6830,-0.716309,0.679321,0.159119,-0.009033
1.6950,-0.716064,0.680054,0.157166,-0.009399
1.7040,-0.715942,0.681091,0.153137,-0.007446
1.7160,-0.716064,0.681396,0.151428,-0.007751
1.7240,-0.716370,0.681457,0.149719,-0.007996
1.7360,-0.716797,0.681335,0.148010,-0.008301
1.7440,-0.717163,0.681335,0.146240,-0.008606
1.7530,-0.717529,0.681702,0.142883,-0.007507
1.7640,-0.717651,0.681946,0.140747,-0.007996
1.7730,-0.717712,0.682373,0.138550,-0.008606
1.7850,-0.717773,0.682739,0.136169,-0.009399
1.7940,-0.717957,0.683044,0.133728,-0.010376
1.8060,-0.718323,0.683350,0.130127,-0.010315
1.8130,-0.718872,0.683228,0.127808,-0.011719
1.8260,-0.719543,0.682861,0.125610,-0.013367
1.8350,-0.720276,0.682373,0.123657,-0.015137
1.8430,-0.720947,0.681946,0.121948,-0.017090
1.8550,-0.721497,0.681702,0.119934,-0.018250
1.8630,-0.721863,0.681457,0.118774,-0.019958
1.8750,-0.721985,0.681457,0.117859,-0.021484
1.8840,-0.721863,0.681641,0.117188,-0.022766
1.8920,-0.721558,0.682007,0.116699,-0.023804
1.9040,-0.721313,0.682678,0.114807,-0.023010
1.9160,-0.721069,0.682861,0.114868,-0.023987
1.9250,-0.721130,0.682739,0.115234,-0.025146
1.9370,-0.721374,0.682251,0.115967,-0.026550
1.9450,-0.721863,0.681457,0.117065,-0.028320
1.9540,-0.722351,0.680786,0.117798,-0.029602
1.9660,-0.722595,0.680115,0.119446,-0.031799
1.9740,-0.722717,0.679626,0.121216,-0.034119
1.9850,-0.722534,0.679321,0.122986,-0.036560
1.9940,-0.722046,0.679321,0.124756,-0.039185
2.0030,-0.721436,0.679871,0.125305,-0.040771
2.0150,-0.720520,0.680359,0.126953,-0.043701
2.0230,-0.719421,0.680969,0.128540,-0.046692
2.0350,-0.718201,0.681702,0.130127,-0.049744
2.0440,-0.717041,0.682434,0.131775,-0.052795
2.0550,-0.715942,0.683105,0.133118,-0.055420
2.0640,-0.714966,0.683533,0.134766,-0.058167
2.0760,-0.714233,0.683838,0.136414,-0.060730
2.0840,-0.713623,0.683899,0.138123,-0.063049
2.0930,-0.713135,0.683899,0.139648,-0.065186
2.1040,-0.712830,0.684143,0.139648,-0.065430
2.1130,-0.712463,0.684143,0.141052,-0.067139
2.1260,-0.712097,0.684021,0.142456,-0.068726
2.1340,-0.711853,0.683899,0.143738,-0.070251
2.1450,-0.711670,0.683655,0.145020,-0.071716
2.1540,-0.711670,0.683472,0.145386,-0.072205
