# Sesion:21 Fecha:2026-06-04 19:58:02 Shots:4 Duracion:15,08s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,360096,0.311523,-0.191711,0.643860,-0.671997,-8.2502,222.2675,108
0.0100,360106,0.310181,-0.195007,0.643066,-0.672485,-7.8543,222.4000,0
0.0200,360116,0.307983,-0.197327,0.642334,-0.673523,-7.4608,222.3806,0
0.0300,360126,0.306030,-0.199646,0.641418,-0.674622,-7.0777,222.3848,0
0.0400,360136,0.304199,-0.201904,0.640381,-0.675720,-6.7043,222.4017,0
0.0500,360146,0.302490,-0.204102,0.639465,-0.676697,-6.3519,222.4208,0
0.0600,360156,0.302856,-0.208130,0.638062,-0.676636,-6.0171,222.7804,0
0.0700,360166,0.301331,-0.210266,0.637451,-0.677246,-5.7025,222.8093,0
0.0800,360176,0.299805,-0.212341,0.636963,-0.677734,-5.3999,222.8342,0
0.0900,360186,0.298340,-0.214478,0.636597,-0.678040,-5.1058,222.8705,0
0.1000,360196,0.296021,-0.219421,0.635742,-0.678284,-4.5153,223.0525,0
0.1100,360206,0.294556,-0.221619,0.635315,-0.678589,-4.2148,223.0961,0
0.1200,360216,0.293152,-0.223694,0.634827,-0.678955,-3.9247,223.1363,0
0.1300,360226,0.291809,-0.225708,0.634216,-0.679504,-3.6350,223.1712,0
0.1400,360236,0.290405,-0.227661,0.633484,-0.680115,-3.3401,223.2036,0
0.1500,360246,0.289124,-0.229553,0.632812,-0.680664,-3.0625,223.2394,0
0.1600,360256,0.287720,-0.231262,0.632141,-0.681274,-2.7887,223.2531,0
0.1700,360266,0.286255,-0.233032,0.631592,-0.681763,-2.5131,223.2664,0
0.1800,360276,0.284790,-0.234802,0.631165,-0.682190,-2.2431,223.2747,0
0.1900,360286,0.283630,-0.236389,0.630859,-0.682434,-2.0185,223.2962,0
0.2000,360296,0.283325,-0.238831,0.630249,-0.682251,-1.7906,223.4710,0
0.2100,360306,0.282349,-0.240540,0.629883,-0.682434,-1.5694,223.5188,0
0.2200,360316,0.281433,-0.242249,0.629333,-0.682678,-1.3451,223.5793,0
0.2300,360326,0.280701,-0.243958,0.628540,-0.683044,-1.1228,223.6589,0
0.2400,360336,0.280090,-0.245605,0.627625,-0.683594,-0.9050,223.7359,0
0.2500,360346,0.280884,-0.248474,0.626160,-0.683533,-0.6919,224.0505,0
0.2600,360356,0.280212,-0.250244,0.625183,-0.684082,-0.4580,224.1341,0
0.2700,360366,0.279358,-0.252136,0.624451,-0.684448,-0.2144,224.2095,0
0.2800,360376,0.278442,-0.253967,0.623962,-0.684631,0.0156,224.2747,0
0.2900,360386,0.277405,-0.255798,0.623596,-0.684631,0.2451,224.3390,0
0.3000,360396,0.278442,-0.259338,0.622742,-0.683655,0.4469,224.7300,0
0.3100,360406,0.277466,-0.261047,0.622620,-0.683533,0.6508,224.7827,0
0.3200,360416,0.276428,-0.262634,0.622437,-0.683472,0.8531,224.8252,0
0.3300,360426,0.275513,-0.264282,0.622192,-0.683472,1.0552,224.8770,0
0.3400,360436,0.274658,-0.265808,0.621826,-0.683533,1.2490,224.9303,0
0.3500,360446,0.276367,-0.269470,0.620422,-0.682678,1.4322,225.3957,0
0.3600,360456,0.274963,-0.271973,0.619324,-0.683289,1.7816,225.4761,0
0.3700,360466,0.274292,-0.273071,0.618835,-0.683594,1.9402,225.5053,0
0.3800,360476,0.273438,-0.274109,0.618530,-0.683777,2.0975,225.5176,0
0.3900,360486,0.274841,-0.277222,0.617493,-0.682861,2.2456,225.9135,0
0.4000,360496,0.273682,-0.278198,0.617737,-0.682739,2.3926,225.8900,0
0.4100,360506,0.272400,-0.279175,0.618103,-0.682495,2.5407,225.8614,0
0.4200,360516,0.270996,-0.280151,0.618530,-0.682251,2.6955,225.8213,0
0.4300,360526,0.269714,-0.281128,0.618652,-0.682312,2.8611,225.7844,0
0.4400,360536,0.270081,-0.283447,0.617859,-0.681885,3.0274,226.0206,0
0.4500,360546,0.268921,-0.284302,0.617554,-0.682251,3.1979,225.9905,0
0.4600,360556,0.267883,-0.285095,0.617187,-0.682678,3.3588,225.9631,0
0.4700,360566,0.266846,-0.285828,0.616943,-0.682983,3.5072,225.9341,0
0.4800,360576,0.265808,-0.286621,0.616882,-0.683167,3.6508,225.9046,0
0.4900,360586,0.265564,-0.288147,0.616638,-0.682800,3.7831,226.0192,0
0.5000,360596,0.264404,-0.288940,0.616943,-0.682678,3.9142,225.9822,0
0.5100,360606,0.263184,-0.289673,0.617310,-0.682434,4.0389,225.9453,0
0.5200,360616,0.262085,-0.290405,0.617737,-0.682190,4.1532,225.9102,0
0.5300,360626,0.261047,-0.291199,0.618042,-0.681946,4.2717,225.8912,0
0.5400,360636,0.260681,-0.292480,0.617981,-0.681580,4.3877,225.9730,0
0.5500,360646,0.259827,-0.293274,0.618103,-0.681519,4.5049,225.9616,0
0.5600,360656,0.259094,-0.293884,0.618042,-0.681580,4.6086,225.9511,0
0.5700,360666,0.258484,-0.294495,0.617920,-0.681641,4.7055,225.9520,0
0.5800,360676,0.258057,-0.295044,0.617676,-0.681763,4.7903,225.9637,0
0.5900,360686,0.258179,-0.295959,0.617187,-0.681763,4.8679,226.0539,0
0.6000,360696,0.257813,-0.296448,0.616821,-0.682007,4.9514,226.0642,0
0.6100,360706,0.257263,-0.297241,0.615723,-0.682861,5.1143,226.0805,0
0.6200,360716,0.257019,-0.297668,0.614990,-0.683472,5.2078,226.0889,0
0.6300,360726,0.257080,-0.298401,0.614136,-0.683899,5.3010,226.1552,0
0.6400,360736,0.256775,-0.298767,0.613525,-0.684387,5.3862,226.1587,0
0.6500,360746,0.256409,-0.299072,0.613220,-0.684692,5.4556,226.1490,0
0.6600,360756,0.256042,-0.299316,0.613098,-0.684814,5.5085,226.1391,0
0.6700,360766,0.255676,-0.299438,0.612976,-0.684998,5.5539,226.1174,0
0.6800,360776,0.257385,-0.301270,0.612061,-0.684387,5.5837,226.4283,0
0.6900,360786,0.257263,-0.301208,0.611816,-0.684692,5.6053,226.4092,0
0.7000,360796,0.257263,-0.301086,0.611450,-0.685059,5.6192,226.3975,0
0.7100,360806,0.257324,-0.301025,0.610962,-0.685425,5.6373,226.4016,0
0.7200,360816,0.257446,-0.300964,0.610596,-0.685791,5.6474,226.3995,0
0.7300,360826,0.259216,-0.302490,0.609619,-0.685303,5.6556,226.6915,0
0.7400,360836,0.259338,-0.302551,0.609497,-0.685364,5.6576,226.7049,0
0.7500,360846,0.259399,-0.302673,0.609436,-0.685303,5.6626,226.7246,0
0.7600,360856,0.259521,-0.302734,0.609558,-0.685120,5.6489,226.7419,0
0.7700,360866,0.259705,-0.302795,0.609680,-0.684937,5.6308,226.7624,0
0.7800,360876,0.261230,-0.304016,0.609314,-0.684143,5.6032,227.0070,0
0.7900,360886,0.261475,-0.303955,0.609558,-0.683838,5.5632,227.0269,0
0.8000,360896,0.261658,-0.303833,0.609802,-0.683594,5.5249,227.0347,0
0.8100,360906,0.261963,-0.303711,0.609924,-0.683472,5.4859,227.0471,0
0.8200,360916,0.262268,-0.303589,0.609985,-0.683350,5.4487,227.0644,0
0.8300,360926,0.263672,-0.304443,0.609558,-0.682800,5.4111,227.2661,0
0.8400,360936,0.264099,-0.304321,0.609497,-0.682800,5.3734,227.2879,0
0.8500,360946,0.264465,-0.304199,0.609375,-0.682800,5.3418,227.3113,0
0.8600,360956,0.264893,-0.304016,0.609314,-0.682739,5.2972,227.3360,0
0.8700,360966,0.265625,-0.303772,0.609802,-0.682129,5.1904,227.3824,0
0.8800,360976,0.265686,-0.303528,0.610474,-0.681641,5.1294,227.3668,0
0.8900,360986,0.265747,-0.303284,0.611267,-0.680969,5.0583,227.3587,0
0.9000,360996,0.265808,-0.303040,0.612061,-0.680359,4.9893,227.3446,0
0.9100,361006,0.265930,-0.302795,0.612732,-0.679810,4.9219,227.3375,0
0.9200,361016,0.267090,-0.303406,0.612854,-0.679016,4.8565,227.4930,0
0.9300,361026,0.267395,-0.303101,0.613098,-0.678772,4.7952,227.4980,0
0.9400,361036,0.267761,-0.302856,0.613220,-0.678650,4.7423,227.5073,0
0.9500,361046,0.268127,-0.302612,0.613220,-0.678589,4.6953,227.5208,0
0.9600,361056,0.268494,-0.302368,0.613281,-0.678528,4.6464,227.5293,0
0.9700,361066,0.269897,-0.303101,0.612976,-0.677917,4.5928,227.7200,0
0.9800,361076,0.270142,-0.302856,0.613220,-0.677673,4.5405,227.7245,0
0.9900,361086,0.270325,-0.302673,0.613586,-0.677368,4.4913,227.7246,0
1.0000,361096,0.270569,-0.302368,0.614014,-0.677002,4.4243,227.7228,0
1.0100,361106,0.270752,-0.302063,0.614380,-0.676697,4.3656,227.7170,0
