# Sesion:72 Fecha:2026-04-06 21:05:41 Shots:1 Duracion:12,90s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
0.0000,3474447,-0.739685,0.640381,-0.181580,0.098755,71.8382,0,0
0.0100,3474457,-0.739746,0.640442,-0.180115,0.100830,72.2161,0,0
0.0200,3474467,-0.739929,0.640381,-0.178589,0.102844,72.6011,0,0
0.0300,3474477,-0.740173,0.640259,-0.176392,0.105408,72.9764,0,0
0.0400,3474487,-0.740417,0.640198,-0.174194,0.107971,73.3363,0,0
0.0500,3474497,-0.740540,0.640198,-0.172058,0.110413,73.6803,0,0
0.0600,3474507,-0.740601,0.640442,-0.167725,0.114990,74.0164,0,0
0.0700,3474517,-0.740662,0.640564,-0.165527,0.117249,74.3602,0,0
0.0800,3474527,-0.740845,0.640442,-0.163818,0.118835,74.7070,0,0
0.0900,3474537,-0.740967,0.640564,-0.161377,0.120972,75.0541,0,0
0.1000,3474547,-0.741028,0.640686,-0.158936,0.123108,75.3919,0,0
0.1100,3474557,-0.740967,0.640930,-0.156494,0.125122,75.7155,0,0
0.1200,3474567,-0.740845,0.641296,-0.154175,0.127136,76.0256,0,0
0.1300,3474577,-0.740662,0.641663,-0.151855,0.129089,76.3252,0,0
0.1400,3474587,-0.740417,0.642029,-0.149597,0.131042,76.6279,0,0
0.1500,3474597,-0.740234,0.642334,-0.147339,0.133057,76.9406,0,0
0.1600,3474607,-0.740173,0.642517,-0.145081,0.135010,77.2731,0,0
0.1700,3474617,-0.740234,0.642578,-0.142822,0.136963,77.6218,0,0
0.1800,3474627,-0.740295,0.642578,-0.140625,0.138916,77.9805,0,0
0.1900,3474637,-0.740417,0.642456,-0.138550,0.140869,78.3406,0,0
0.2000,3474647,-0.740479,0.642334,-0.136597,0.142761,78.7011,0,0
0.2100,3474657,-0.740662,0.642151,-0.134644,0.144653,79.0827,0,0
0.2200,3474667,-0.740845,0.641907,-0.132751,0.146484,79.4605,0,0
0.2300,3474677,-0.741089,0.641602,-0.131165,0.148071,79.8354,0,0
0.2400,3474687,-0.741272,0.641357,-0.129517,0.149597,80.1921,0,0
0.2500,3474697,-0.741455,0.641174,-0.127930,0.151062,80.5315,0,0
0.2600,3474707,-0.741455,0.641052,-0.126465,0.152466,80.8480,0,0
0.2700,3474717,-0.741455,0.641052,-0.124939,0.153870,81.1599,0,0
0.2800,3474727,-0.741516,0.640930,-0.123474,0.155273,81.4913,0,0
0.2900,3474737,-0.741699,0.640686,-0.121765,0.156799,81.8518,0,0
0.3000,3474747,-0.742004,0.640259,-0.119934,0.158325,82.2383,0,0
0.3100,3474757,-0.742554,0.639587,-0.118042,0.159912,82.6376,0,0
0.3200,3474767,-0.743225,0.638794,-0.116211,0.161438,83.0229,0,0
0.3300,3474777,-0.743835,0.638000,-0.114380,0.162903,83.3717,0,0
0.3400,3474787,-0.744507,0.637085,-0.111145,0.165710,83.6721,0,0
0.3500,3474797,-0.744507,0.636963,-0.109680,0.167053,83.9319,0,0
0.3600,3474807,-0.744385,0.637024,-0.108337,0.168396,84.1609,0,0
0.3700,3474817,-0.744019,0.637329,-0.107056,0.169556,84.3713,0,0
0.3800,3474827,-0.743591,0.637695,-0.105835,0.170776,84.5645,0,0
0.3900,3474837,-0.743164,0.638123,-0.104370,0.172058,84.7528,0,0
0.4000,3474847,-0.742798,0.638489,-0.102905,0.173340,84.9405,0,0
0.4100,3474857,-0.742310,0.638855,-0.101440,0.174622,85.1307,0,0
0.4200,3474867,-0.741882,0.639282,-0.100037,0.175781,85.3287,0,0
0.4300,3474877,-0.741394,0.639709,-0.098694,0.176941,85.5327,0,0
0.4400,3474887,-0.741028,0.640076,-0.097412,0.178101,85.7447,0,0
0.4500,3474897,-0.740662,0.640320,-0.096130,0.179260,85.9751,0,0
0.4600,3474907,-0.740417,0.640503,-0.094910,0.180420,86.2220,0,0
0.4700,3474917,-0.740234,0.640564,-0.093689,0.181641,86.4736,0,0
0.4800,3474927,-0.740051,0.640564,-0.092407,0.182861,86.7219,0,0
0.4900,3474937,-0.739868,0.640625,-0.091187,0.184143,86.9660,0,0
0.5000,3474947,-0.739563,0.640747,-0.090088,0.185364,87.1912,0,0
0.5100,3474957,-0.739197,0.640991,-0.088989,0.186646,87.4003,0,0
0.5200,3474967,-0.738708,0.641296,-0.087952,0.187927,87.5853,0,0
0.5300,3474977,-0.738098,0.641785,-0.086853,0.189148,87.7490,0,0
0.5400,3474987,-0.737488,0.642212,-0.085815,0.190430,87.9103,0,0
0.5500,3474997,-0.737000,0.642578,-0.084717,0.191711,88.1318,0,0
0.5600,3475007,-0.736694,0.642700,-0.083496,0.192993,88.3896,0,0
0.5700,3475017,-0.736633,0.642578,-0.082153,0.194214,88.6588,0,0
