# Sesion:9 Fecha:2026-04-06 20:18:52 Shots:2 Duracion:8,62s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
0.0000,769127,0.740295,-0.664856,0.099182,0.010437,71.2438,1,0
0.0100,769137,0.740540,-0.664734,0.098267,0.009399,71.5165,0,0
0.0200,769147,0.740784,-0.664612,0.097412,0.008362,71.7824,0,0
0.0300,769157,0.741028,-0.664490,0.096558,0.007385,72.0426,0,0
0.0400,769167,0.741211,-0.664368,0.095764,0.006470,72.2954,0,0
0.0500,769177,0.741455,-0.664185,0.095032,0.005615,72.5493,0,0
0.0600,769187,0.741638,-0.664062,0.094299,0.004761,72.7914,0,0
0.0700,769197,0.741821,-0.664062,0.093628,0.003967,73.0158,0,0
0.0800,769207,0.741821,-0.664124,0.092957,0.003235,73.2184,0,0
0.0900,769217,0.741821,-0.664185,0.092285,0.002502,73.4100,0,0
0.1000,769227,0.741821,-0.664307,0.091614,0.001831,73.5912,0,0
0.1100,769237,0.741821,-0.664429,0.091003,0.001282,73.7658,0,0
0.1200,769247,0.741760,-0.664551,0.090332,0.000732,73.9409,0,0
0.1300,769257,0.741760,-0.664612,0.089661,0.000244,74.1045,0,0
0.1400,769267,0.741760,-0.664734,0.089050,-0.000183,74.2768,0,0
0.1500,769277,0.741760,-0.664795,0.088440,-0.000549,74.4525,0,0
0.1600,769287,0.741821,-0.664795,0.087891,-0.000916,74.6261,0,0
0.1700,769297,0.741760,-0.665161,0.085693,-0.002869,74.8042,0,0
0.1800,769307,0.741638,-0.665466,0.084106,-0.004456,74.9923,0,0
0.1900,769317,0.741516,-0.665771,0.082581,-0.005981,75.1865,0,0
0.2000,769327,0.741455,-0.666077,0.081116,-0.007568,75.3895,0,0
0.2100,769337,0.741394,-0.666260,0.079590,-0.009216,75.5948,0,0
0.2200,769347,0.741577,-0.666077,0.079224,-0.009888,75.8044,0,0
0.2300,769357,0.741577,-0.666260,0.077820,-0.011536,76.0196,0,0
0.2400,769367,0.741699,-0.666260,0.076538,-0.013062,76.2441,0,0
0.2500,769377,0.742004,-0.665894,0.076172,-0.013672,76.4676,0,0
0.2600,769387,0.742371,-0.665527,0.075867,-0.014221,76.6884,0,0
0.2700,769397,0.742676,-0.665222,0.075623,-0.014771,76.8930,0,0
0.2800,769407,0.742798,-0.665100,0.075378,-0.015259,77.0566,0,0
0.2900,769417,0.742737,-0.665161,0.075134,-0.015625,77.1867,0,0
0.3000,769427,0.742554,-0.665344,0.075012,-0.015991,77.2973,0,0
0.3100,769437,0.742371,-0.665588,0.074829,-0.016296,77.4001,0,0
0.3200,769447,0.742249,-0.665833,0.073792,-0.017395,77.5178,0,0
0.3300,769457,0.742187,-0.666016,0.072693,-0.018372,77.6553,0,0
0.3400,769467,0.742187,-0.666077,0.071716,-0.019287,77.8149,0,0
0.3500,769477,0.742249,-0.666077,0.070801,-0.020203,77.9793,0,0
0.3600,769487,0.742310,-0.666077,0.069885,-0.021057,78.1400,0,0
0.3700,769497,0.742371,-0.666077,0.068970,-0.021790,78.2971,0,0
0.3800,769507,0.742432,-0.666077,0.068115,-0.022522,78.4460,0,0
0.3900,769517,0.742371,-0.666199,0.067383,-0.023193,78.5861,0,0
0.4000,769527,0.742249,-0.666321,0.066589,-0.023926,78.7242,0,0
0.4100,769537,0.742187,-0.666504,0.065857,-0.024658,78.8605,0,0
0.4200,769547,0.742126,-0.666626,0.065125,-0.025391,78.9938,0,0
0.4300,769557,0.742004,-0.666748,0.064453,-0.026184,79.1253,0,0
0.4400,769567,0.741943,-0.666870,0.063904,-0.026917,79.2661,0,0
0.4500,769577,0.741882,-0.666931,0.063354,-0.027649,79.4160,0,0
0.4600,769587,0.742187,-0.666687,0.062439,-0.028931,79.5854,0,0
0.4700,769597,0.742493,-0.666321,0.061951,-0.029602,79.7649,0,0
0.4800,769607,0.742798,-0.665955,0.061523,-0.030212,79.9417,0,0
0.4900,769617,0.743103,-0.665649,0.061157,-0.030762,80.0967,0,0
0.5000,769627,0.743286,-0.665466,0.060852,-0.031250,80.2275,0,0
0.5100,769637,0.743347,-0.665405,0.060608,-0.031677,80.3425,0,0
0.5200,769647,0.743408,-0.665344,0.060303,-0.032043,80.4481,0,0
0.5300,769657,0.743530,-0.665222,0.059937,-0.032349,80.5551,0,0
0.5400,769667,0.743652,-0.665161,0.059570,-0.032715,80.6635,0,0
0.5500,769677,0.743713,-0.665039,0.059204,-0.033081,80.7696,0,0
0.5600,769687,0.743835,-0.664978,0.058838,-0.033386,80.8693,0,0
0.5700,769697,0.743896,-0.664917,0.058411,-0.033691,80.9642,0,0
0.5800,769707,0.743958,-0.664856,0.057983,-0.033997,81.0563,0,0
0.5900,769717,0.744019,-0.664795,0.057495,-0.034302,81.1481,0,0
0.6000,769727,0.744019,-0.664856,0.057007,-0.034607,81.2343,0,0
0.6100,769737,0.743958,-0.664856,0.056519,-0.034973,81.3112,0,0
0.6200,769747,0.743835,-0.665039,0.056030,-0.035278,81.3719,0,0
0.6300,769757,0.743652,-0.665283,0.055542,-0.035583,81.4255,0,0
0.6400,769767,0.743469,-0.665527,0.055115,-0.035889,81.4861,0,0
0.6500,769777,0.743408,-0.665649,0.054626,-0.036194,81.5659,0,0
0.6600,769787,0.743469,-0.665588,0.054077,-0.036499,81.6691,0,0
0.6700,769797,0.743591,-0.665466,0.053528,-0.036804,81.7964,0,0
0.6800,769807,0.743774,-0.665283,0.053040,-0.037109,81.9152,0,0
0.6900,769817,0.743958,-0.665100,0.052551,-0.037476,82.0175,0,0
0.7000,769827,0.744019,-0.665100,0.052124,-0.037781,82.1106,0,0
0.7100,769837,0.744019,-0.665100,0.051758,-0.038147,82.2040,0,0
0.7200,769847,0.744019,-0.665039,0.051392,-0.038452,82.2934,0,0
0.7300,769857,0.744080,-0.665039,0.051025,-0.038818,82.3709,0,0
0.7400,769867,0.743958,-0.665100,0.050598,-0.039307,82.4325,0,0
0.7500,769877,0.743896,-0.665222,0.050354,-0.039551,82.4978,0,0
0.7600,769887,0.743835,-0.665283,0.050110,-0.039795,82.5665,0,0
0.7700,769897,0.743835,-0.665283,0.049805,-0.039978,82.6395,0,0
0.7800,769907,0.743835,-0.665283,0.049561,-0.040283,82.7126,0,0
0.7900,769917,0.743774,-0.665405,0.049316,-0.040527,82.7791,0,0
0.8000,769927,0.743713,-0.665466,0.049072,-0.040771,82.8394,0,0
0.8100,769937,0.743591,-0.665588,0.048767,-0.041016,82.8915,0,0
0.8200,769947,0.743530,-0.665649,0.048523,-0.041260,82.9465,0,0
0.8300,769957,0.743469,-0.665710,0.048218,-0.041565,83.0005,0,0
0.8400,769967,0.743408,-0.665833,0.048035,-0.041748,83.0579,0,0
0.8500,769977,0.743347,-0.665894,0.047791,-0.041931,83.1097,0,0
0.8600,769987,0.743225,-0.666016,0.047668,-0.042053,83.1558,0,0
0.8700,769997,0.743042,-0.666199,0.047546,-0.042114,83.1973,0,0
0.8800,770007,0.742981,-0.666321,0.047424,-0.042236,83.2421,0,0
0.8900,770017,0.742859,-0.666382,0.047363,-0.042236,83.2966,0,0
0.9000,770027,0.742920,-0.666382,0.047302,-0.042297,83.3597,0,0
0.9100,770037,0.742920,-0.666382,0.047363,-0.042236,83.4160,0,0
0.9200,770047,0.742920,-0.666382,0.047424,-0.042175,83.4623,0,0
0.9300,770057,0.742859,-0.666382,0.047546,-0.042114,83.5021,0,0
0.9400,770067,0.742859,-0.666443,0.047668,-0.042175,83.5370,0,0
0.9500,770077,0.742737,-0.666565,0.047791,-0.042236,83.5517,0,0
0.9600,770087,0.742554,-0.666687,0.047974,-0.042358,83.5621,0,0
0.9700,770097,0.742432,-0.666870,0.048157,-0.042480,83.5690,0,0
0.9800,770107,0.742249,-0.666992,0.048401,-0.042603,83.5784,0,0
0.9900,770117,0.742126,-0.667114,0.048706,-0.042664,83.6075,0,0
1.0000,770127,0.742126,-0.667114,0.048950,-0.042603,83.6410,0,0
1.0100,770137,0.742187,-0.667053,0.049316,-0.042480,83.6810,0,0
1.0200,770147,0.742432,-0.666748,0.049988,-0.041992,83.7148,0,0
1.0300,770157,0.742554,-0.666565,0.050354,-0.041687,83.7467,0,0
1.0400,770167,0.742676,-0.666443,0.050659,-0.041321,83.7715,0,0
1.0500,770177,0.742798,-0.666321,0.050964,-0.041016,83.7866,0,0
1.0600,770187,0.742920,-0.666138,0.051208,-0.040710,83.8098,0,0
1.0700,770197,0.743042,-0.666077,0.051453,-0.040466,83.8163,0,0
