# Sesion:49 Fecha:2026-04-06 20:49:32 Shots:1 Duracion:12,99s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
0.0000,2541407,-0.766357,0.620911,-0.148560,0.071167,65.9686,0,0
0.0100,2541417,-0.766113,0.621460,-0.145996,0.074463,66.5606,0,0
0.0200,2541427,-0.765930,0.621887,-0.143494,0.077576,67.1461,0,0
0.0300,2541437,-0.765625,0.622437,-0.141052,0.080505,67.7087,0,0
0.0400,2541447,-0.765137,0.623169,-0.138855,0.083252,68.2324,0,0
0.0500,2541457,-0.764404,0.624207,-0.136780,0.085876,68.7042,0,0
0.0600,2541467,-0.763489,0.625366,-0.134827,0.088257,69.1542,0,0
0.0700,2541477,-0.762451,0.626709,-0.132996,0.090576,69.5778,0,0
0.0800,2541487,-0.761414,0.627991,-0.131226,0.092834,69.9948,0,0
0.0900,2541497,-0.760498,0.629150,-0.129517,0.095032,70.4285,0,0
0.1000,2541507,-0.759766,0.630066,-0.127808,0.097290,70.8918,0,0
0.1100,2541517,-0.759277,0.630615,-0.125977,0.099609,71.4522,0,0
0.1200,2541527,-0.759094,0.630859,-0.124146,0.101990,72.0483,0,0
0.1300,2541537,-0.759155,0.630737,-0.122253,0.104431,72.6542,0,0
0.1400,2541547,-0.759338,0.630432,-0.120239,0.106934,73.2406,0,0
0.1500,2541557,-0.759521,0.630249,-0.118225,0.109497,73.7915,0,0
0.1600,2541567,-0.759460,0.630188,-0.116272,0.112061,74.2974,0,0
0.1700,2541577,-0.759277,0.630310,-0.114319,0.114624,74.7558,0,0
0.1800,2541587,-0.757996,0.631470,-0.110779,0.119751,75.1611,0,0
0.1900,2541597,-0.757019,0.632507,-0.109253,0.122253,75.5175,0,0
0.2000,2541607,-0.755737,0.633789,-0.107849,0.124573,75.8330,0,0
0.2100,2541617,-0.754395,0.635132,-0.106506,0.126892,76.1251,0,0
0.2200,2541627,-0.753113,0.636475,-0.105103,0.128967,76.4254,0,0
0.2300,2541637,-0.752075,0.637573,-0.103577,0.131042,76.7630,0,0
0.2400,2541647,-0.751343,0.638306,-0.101929,0.132996,77.1517,0,0
0.2500,2541657,-0.750854,0.638733,-0.100159,0.134888,77.5846,0,0
0.2600,2541667,-0.750610,0.638916,-0.098206,0.136719,78.0464,0,0
0.2700,2541677,-0.750488,0.638977,-0.096191,0.138489,78.5233,0,0
0.2800,2541687,-0.750427,0.639038,-0.094116,0.140137,78.9938,0,0
0.2900,2541697,-0.750244,0.639160,-0.092041,0.141785,79.4427,0,0
0.3000,2541707,-0.749939,0.639465,-0.090027,0.143372,79.8622,0,0
0.3100,2541717,-0.749512,0.639893,-0.088196,0.144958,80.2501,0,0
0.3200,2541727,-0.748962,0.640442,-0.086426,0.146484,80.6123,0,0
0.3300,2541737,-0.748230,0.641113,-0.084778,0.148010,80.9421,0,0
0.3400,2541747,-0.747498,0.641846,-0.083191,0.149536,81.2729,0,0
0.3500,2541757,-0.746826,0.642517,-0.081604,0.150940,81.6162,0,0
0.3600,2541767,-0.746399,0.642883,-0.079895,0.152344,81.9965,0,0
0.3700,2541777,-0.746338,0.642883,-0.078125,0.153687,82.4284,0,0
0.3800,2541787,-0.746521,0.642517,-0.076294,0.155090,82.9023,0,0
0.3900,2541797,-0.746887,0.641968,-0.074463,0.156494,83.4012,0,0
0.4000,2541807,-0.747314,0.641357,-0.072693,0.157959,83.8811,0,0
0.4100,2541817,-0.747681,0.640747,-0.070923,0.159424,84.3270,0,0
0.4200,2541827,-0.747925,0.640259,-0.069336,0.160950,84.7339,0,0
0.4300,2541837,-0.747986,0.639954,-0.067871,0.162415,85.1204,0,0
0.4400,2541847,-0.747986,0.639709,-0.066406,0.163940,85.4995,0,0
0.4500,2541857,-0.747986,0.639465,-0.065002,0.165405,85.8821,0,0
0.4600,2541867,-0.748108,0.638855,-0.062073,0.168335,86.2735,0,0
0.4700,2541877,-0.748291,0.638428,-0.060547,0.169800,86.6660,0,0
0.4800,2541887,-0.748535,0.637878,-0.059021,0.171143,87.0620,0,0
0.4900,2541897,-0.748840,0.637329,-0.057495,0.172485,87.4591,0,0
0.5000,2541907,-0.749146,0.636719,-0.055969,0.173828,87.8545,0,0
0.5100,2541917,-0.749451,0.636169,-0.054382,0.175110,88.2438,0,0
0.5200,2541927,-0.749878,0.635437,-0.052795,0.176453,88.6201,0,0
0.5300,2541937,-0.750061,0.635010,-0.051270,0.177734,88.9544,0,0
0.5400,2541947,-0.750000,0.634766,-0.050049,0.179077,89.2399,0,0
0.5500,2541957,-0.749695,0.634888,-0.048889,0.180359,89.4789,0,0
0.5600,2541967,-0.749207,0.635132,-0.047974,0.181702,89.6839,0,0
0.5700,2541977,-0.748718,0.635376,-0.047119,0.182983,89.8839,0,0
0.5800,2541987,-0.748413,0.635437,-0.046204,0.184265,90.1086,0,0
0.5900,2541997,-0.748413,0.635193,-0.045227,0.185547,90.3807,0,0
0.6000,2542007,-0.748596,0.634644,-0.044006,0.186829,90.6925,0,0
0.6100,2542017,-0.748901,0.633972,-0.042725,0.188049,91.0213,0,0
0.6200,2542027,-0.749207,0.633362,-0.041321,0.189270,91.3514,0,0
0.6300,2542037,-0.749390,0.632874,-0.039856,0.190430,91.6529,0,0
0.6400,2542047,-0.749390,0.632629,-0.038391,0.191589,91.9155,0,0
0.6500,2542057,-0.749146,0.632629,-0.037048,0.192627,92.1370,0,0
0.6600,2542067,-0.748779,0.632935,-0.035950,0.193665,92.3175,0,0
0.6700,2542077,-0.748169,0.633362,-0.034973,0.194580,92.4632,0,0
0.6800,2542087,-0.747498,0.633911,-0.034241,0.195496,92.5925,0,0
0.6900,2542097,-0.746887,0.634399,-0.033569,0.196411,92.7477,0,0
0.7000,2542107,-0.746399,0.634705,-0.032959,0.197205,92.9430,0,0
0.7100,2542117,-0.746033,0.634949,-0.032104,0.198120,93.1681,0,0
0.7200,2542127,-0.745789,0.635010,-0.031189,0.198975,93.3995,0,0
0.7300,2542137,-0.745605,0.635010,-0.030212,0.199829,93.6172,0,0
0.7400,2542147,-0.745544,0.634766,-0.029053,0.201172,93.8124,0,0
0.7500,2542157,-0.745361,0.634705,-0.028748,0.201782,93.9892,0,0
0.7600,2542167,-0.745178,0.634766,-0.028503,0.202393,94.1484,0,0
0.7700,2542177,-0.744995,0.634827,-0.028442,0.202881,94.2943,0,0
0.7800,2542187,-0.744873,0.634888,-0.028442,0.203308,94.4395,0,0
0.7900,2542197,-0.744507,0.635071,-0.028076,0.203979,94.5926,0,0
0.8000,2542207,-0.744385,0.635071,-0.027771,0.204407,94.7618,0,0
0.8100,2542217,-0.744507,0.634827,-0.027649,0.204651,94.9549,0,0
0.8200,2542227,-0.745056,0.634216,-0.027893,0.204468,95.1684,0,0
0.8300,2542237,-0.745728,0.633545,-0.028076,0.204224,95.3871,0,0
0.8400,2542247,-0.746399,0.632812,-0.028320,0.203979,95.5905,0,0
0.8500,2542257,-0.746948,0.632263,-0.028564,0.203674,95.7617,0,0
0.8600,2542267,-0.747070,0.632141,-0.028503,0.203674,95.8916,0,0
0.8700,2542277,-0.747009,0.632263,-0.028564,0.203613,95.9765,0,0
0.8800,2542287,-0.746704,0.632568,-0.028870,0.203552,96.0209,0,0
0.8900,2542297,-0.746460,0.632935,-0.029297,0.203491,96.0475,0,0
0.9000,2542307,-0.746338,0.633057,-0.030029,0.203247,96.0675,0,0
0.9100,2542317,-0.746399,0.633057,-0.030762,0.202881,96.0994,0,0
0.9200,2542327,-0.746521,0.632996,-0.031494,0.202576,96.1449,0,0
0.9300,2542337,-0.746826,0.632690,-0.032166,0.202148,96.2105,0,0
0.9400,2542347,-0.747253,0.632324,-0.032776,0.201782,96.2796,0,0
0.9500,2542357,-0.747620,0.631958,-0.033447,0.201355,96.3440,0,0
0.9600,2542367,-0.747986,0.631653,-0.034119,0.200928,96.3798,0,0
0.9700,2542377,-0.748230,0.631409,-0.034851,0.200500,96.3993,0,0
0.9800,2542387,-0.748474,0.631226,-0.035706,0.200073,96.4112,0,0
0.9900,2542397,-0.748718,0.631104,-0.036499,0.199585,96.4132,0,0
1.0000,2542407,-0.748962,0.630920,-0.037354,0.199036,96.4119,0,0
1.0100,2542417,-0.749207,0.630737,-0.038208,0.198425,96.4107,0,0
1.0200,2542427,-0.750000,0.630188,-0.040039,0.197021,96.4152,0,0
1.0300,2542437,-0.750488,0.629761,-0.040955,0.196228,96.4258,0,0
1.0400,2542447,-0.751038,0.629272,-0.041870,0.195435,96.4341,0,0
1.0500,2542457,-0.751587,0.628845,-0.042786,0.194580,96.4286,0,0
1.0600,2542467,-0.752014,0.628540,-0.043640,0.193726,96.4052,0,0
1.0700,2542477,-0.752441,0.628235,-0.044434,0.192810,96.3677,0,0
1.0800,2542487,-0.752808,0.628052,-0.045227,0.191895,96.3194,0,0
1.0900,2542497,-0.753113,0.627869,-0.045959,0.190918,96.2589,0,0
1.1000,2542507,-0.753357,0.627869,-0.046753,0.189941,96.1772,0,0
1.1100,2542517,-0.753418,0.627991,-0.047791,0.188965,96.0678,0,0
1.1200,2542527,-0.753418,0.628235,-0.048889,0.187927,95.9319,0,0
1.1300,2542537,-0.753418,0.628418,-0.050049,0.186890,95.7959,0,0
1.1400,2542547,-0.753540,0.628479,-0.051147,0.185852,95.6811,0,0
1.1500,2542557,-0.753845,0.628357,-0.052063,0.184814,95.5960,0,0
1.1600,2542567,-0.754333,0.628052,-0.052856,0.183838,95.5380,0,0
1.1700,2542577,-0.754822,0.627625,-0.053467,0.182922,95.4903,0,0
1.1800,2542587,-0.755310,0.627197,-0.053955,0.182129,95.4342,0,0
1.1900,2542597,-0.755737,0.626892,-0.054504,0.181396,95.3623,0,0
1.2000,2542607,-0.756042,0.626709,-0.054993,0.180786,95.2748,0,0
1.2100,2542617,-0.756226,0.626587,-0.055542,0.180176,95.1699,0,0
1.2200,2542627,-0.756348,0.626526,-0.056152,0.179687,95.0607,0,0
1.2300,2542637,-0.756531,0.626404,-0.056763,0.179138,94.9613,0,0
1.2400,2542647,-0.756714,0.626221,-0.057434,0.178711,94.8692,0,0
1.2500,2542657,-0.756897,0.626038,-0.058228,0.178223,94.7873,0,0
1.2600,2542667,-0.757202,0.625732,-0.058960,0.177734,94.7168,0,0
1.2700,2542677,-0.757568,0.625366,-0.059753,0.177185,94.6520,0,0
1.2800,2542687,-0.757996,0.624939,-0.060425,0.176697,94.5873,0,0
1.2900,2542697,-0.758484,0.624451,-0.061096,0.176208,94.5071,0,0
1.3000,2542707,-0.759094,0.623901,-0.062317,0.175171,94.4080,0,0
1.3100,2542717,-0.759277,0.623718,-0.062866,0.174622,94.2995,0,0
1.3200,2542727,-0.759460,0.623596,-0.063354,0.174011,94.1885,0,0
1.3300,2542737,-0.759644,0.623535,-0.063843,0.173462,94.0762,0,0
1.3400,2542747,-0.759766,0.623474,-0.064270,0.172791,93.9653,0,0
1.3500,2542757,-0.759949,0.623413,-0.064575,0.172119,93.8542,0,0
1.3600,2542767,-0.760132,0.623352,-0.064941,0.171448,93.7491,0,0
1.3700,2542777,-0.760315,0.623230,-0.065247,0.170837,93.6545,0,0
1.3800,2542787,-0.760559,0.623108,-0.065552,0.170227,93.5721,0,0
1.3900,2542797,-0.760864,0.622864,-0.065796,0.169678,93.5062,0,0
1.4000,2542807,-0.761230,0.622498,-0.066040,0.169189,93.4588,0,0
1.4100,2542817,-0.761658,0.622070,-0.066284,0.168762,93.4232,0,0
1.4200,2542827,-0.762085,0.621582,-0.066589,0.168457,93.3851,0,0
1.4300,2542837,-0.762512,0.621155,-0.066956,0.168091,93.3289,0,0
1.4400,2542847,-0.762878,0.620789,-0.067444,0.167725,93.2552,0,0
1.4500,2542857,-0.763123,0.620483,-0.067932,0.167419,93.1702,0,0
1.4600,2542867,-0.763367,0.620239,-0.068420,0.167053,93.0808,0,0
1.4700,2542877,-0.763672,0.619934,-0.068970,0.166687,92.9979,0,0
1.4800,2542887,-0.763977,0.619568,-0.069458,0.166260,92.9262,0,0
1.4900,2542897,-0.764343,0.619202,-0.069946,0.165894,92.8567,0,0
1.5000,2542907,-0.764587,0.618896,-0.070435,0.165466,92.7720,0,0
1.5100,2542917,-0.764709,0.618774,-0.070923,0.165100,92.6581,0,0
1.5200,2542927,-0.764648,0.618958,-0.071533,0.164673,92.4873,0,0
1.5300,2542937,-0.764404,0.619263,-0.072144,0.164246,92.3292,0,0
1.5400,2542947,-0.764221,0.619568,-0.072754,0.163818,92.2013,0,0
1.5500,2542957,-0.764160,0.619629,-0.073303,0.163452,92.1021,0,0
1.5600,2542967,-0.764343,0.619507,-0.073792,0.163147,92.0142,0,0
1.5700,2542977,-0.764465,0.619263,-0.074341,0.162842,91.9181,0,0
1.5800,2542987,-0.764587,0.619202,-0.075378,0.162292,91.8052,0,0
1.5900,2542997,-0.764465,0.619324,-0.076050,0.162048,91.6818,0,0
1.6000,2543007,-0.764404,0.619385,-0.076599,0.161804,91.5621,0,0
1.6100,2543017,-0.764404,0.619385,-0.077148,0.161621,91.4600,0,0
1.6200,2543027,-0.764465,0.619263,-0.077637,0.161499,91.3772,0,0
1.6300,2543037,-0.764587,0.619080,-0.078003,0.161377,91.3037,0,0
1.6400,2543047,-0.764709,0.618896,-0.078308,0.161255,91.2338,0,0
1.6500,2543057,-0.764832,0.618835,-0.078552,0.161072,91.1567,0,0
1.6600,2543067,-0.764893,0.618774,-0.078857,0.160950,91.0798,0,0
1.6700,2543077,-0.764954,0.618652,-0.079041,0.160828,91.0042,0,0
1.6800,2543087,-0.765015,0.618591,-0.079285,0.160645,90.9359,0,0
1.6900,2543097,-0.765076,0.618469,-0.079529,0.160522,90.8721,0,0
1.7000,2543107,-0.765198,0.618347,-0.079712,0.160339,90.8127,0,0
1.7100,2543117,-0.765320,0.618286,-0.079956,0.160278,90.7514,0,0
1.7200,2543127,-0.765320,0.618164,-0.080139,0.160217,90.6895,0,0
1.7300,2543137,-0.765381,0.618103,-0.080261,0.160217,90.6282,0,0
1.7400,2543147,-0.765442,0.617981,-0.080383,0.160217,90.5742,0,0
1.7500,2543157,-0.765564,0.617920,-0.080505,0.160217,90.5240,0,0
1.7600,2543167,-0.765564,0.617798,-0.080505,0.160278,90.4722,0,0
1.7700,2543177,-0.765564,0.617798,-0.080627,0.160278,90.4158,0,0
1.7800,2543187,-0.765564,0.617859,-0.080688,0.160217,90.3617,0,0
1.7900,2543197,-0.765625,0.617798,-0.080750,0.160095,90.3148,0,0
1.8000,2543207,-0.765747,0.617676,-0.080811,0.159973,90.2852,0,0
1.8100,2543217,-0.765930,0.617493,-0.080872,0.159851,90.2517,0,0
1.8200,2543227,-0.766052,0.617371,-0.080994,0.159729,90.2042,0,0
1.8300,2543237,-0.766052,0.617310,-0.081116,0.159546,90.1390,0,0
1.8400,2543247,-0.765991,0.617432,-0.081238,0.159424,90.0604,0,0
1.8500,2543257,-0.765869,0.617615,-0.081360,0.159363,89.9834,0,0
1.8600,2543267,-0.765503,0.618042,-0.081726,0.159363,89.9142,0,0
1.8700,2543277,-0.765442,0.618103,-0.081909,0.159363,89.8627,0,0
1.8800,2543287,-0.765442,0.618103,-0.082031,0.159363,89.8274,0,0
1.8900,2543297,-0.765442,0.617981,-0.082214,0.159363,89.8004,0,0
1.9000,2543307,-0.765503,0.617920,-0.082336,0.159424,89.7724,0,0
1.9100,2543317,-0.765503,0.617859,-0.082520,0.159424,89.7368,0,0
1.9200,2543327,-0.765503,0.617859,-0.082764,0.159485,89.7011,0,0
1.9300,2543337,-0.765503,0.617798,-0.083008,0.159485,89.6726,0,0
1.9400,2543347,-0.765625,0.617676,-0.083191,0.159485,89.6477,0,0
1.9500,2543357,-0.765625,0.617615,-0.083435,0.159485,89.6170,0,0
1.9600,2543367,-0.765564,0.617615,-0.083679,0.159424,89.5741,0,0
1.9700,2543377,-0.765503,0.617737,-0.083923,0.159302,89.5183,0,0
1.9800,2543387,-0.765381,0.617859,-0.084167,0.159180,89.4624,0,0
1.9900,2543397,-0.765320,0.617981,-0.084412,0.159058,89.4115,0,0
2.0000,2543407,-0.765320,0.617981,-0.084595,0.158875,89.3750,0,0
2.0100,2543417,-0.765381,0.617981,-0.084778,0.158630,89.3479,0,0
2.0200,2543427,-0.765442,0.617859,-0.084961,0.158447,89.3238,0,0
2.0300,2543437,-0.765564,0.617798,-0.085205,0.158264,89.2991,0,0
2.0400,2543447,-0.765564,0.617737,-0.085510,0.158081,89.2648,0,0
2.0500,2543457,-0.765564,0.617737,-0.085754,0.157837,89.2208,0,0
2.0600,2543467,-0.765503,0.617859,-0.086121,0.157654,89.1695,0,0
2.0700,2543477,-0.765442,0.617920,-0.086426,0.157410,89.1206,0,0
2.0800,2543487,-0.765381,0.618042,-0.086731,0.157166,89.0793,0,0
2.0900,2543497,-0.765381,0.618042,-0.086975,0.156982,89.0490,0,0
2.1000,2543507,-0.765442,0.617981,-0.087219,0.156799,89.0171,0,0
2.1100,2543517,-0.765442,0.617981,-0.087463,0.156616,88.9838,0,0
2.1200,2543527,-0.765503,0.617920,-0.087646,0.156433,88.9449,0,0
2.1300,2543537,-0.765564,0.617920,-0.087891,0.156311,88.9044,0,0
2.1400,2543547,-0.765503,0.617981,-0.088257,0.155884,88.8639,0,0
2.1500,2543557,-0.765564,0.617981,-0.088440,0.155701,88.8285,0,0
2.1600,2543567,-0.765564,0.617920,-0.088562,0.155518,88.7911,0,0
2.1700,2543577,-0.765564,0.617981,-0.088745,0.155334,88.7508,0,0
2.1800,2543587,-0.765503,0.618103,-0.088867,0.155212,88.7084,0,0
2.1900,2543597,-0.765442,0.618164,-0.088989,0.155029,88.6644,0,0
2.2000,2543607,-0.765381,0.618225,-0.089111,0.154907,88.6273,0,0
2.2100,2543617,-0.765381,0.618286,-0.089233,0.154785,88.5963,0,0
2.2200,2543627,-0.765381,0.618286,-0.089294,0.154663,88.5697,0,0
2.2300,2543637,-0.765381,0.618347,-0.089417,0.154663,88.5408,0,0
2.2400,2543647,-0.765320,0.618347,-0.089539,0.154602,88.5157,0,0
2.2500,2543657,-0.765320,0.618347,-0.089661,0.154602,88.4948,0,0
2.2600,2543667,-0.765320,0.618286,-0.089844,0.154541,88.4738,0,0
2.2700,2543677,-0.765320,0.618286,-0.090027,0.154541,88.4519,0,0
2.2800,2543687,-0.765320,0.618286,-0.090149,0.154480,88.4281,0,0
2.2900,2543697,-0.765381,0.618286,-0.090210,0.154419,88.4031,0,0
2.3000,2543707,-0.765381,0.618286,-0.090210,0.154419,88.3812,0,0
2.3100,2543717,-0.765320,0.618286,-0.090271,0.154358,88.3615,0,0
2.3200,2543727,-0.765320,0.618286,-0.090271,0.154358,88.3405,0,0
2.3300,2543737,-0.765320,0.618347,-0.090271,0.154358,88.3169,0,0
2.3400,2543747,-0.765259,0.618408,-0.090332,0.154297,88.2934,0,0
2.3500,2543757,-0.765198,0.618469,-0.090393,0.154358,88.2746,0,0
2.3600,2543767,-0.765137,0.618469,-0.090515,0.154358,88.2668,0,0
2.3700,2543777,-0.765137,0.618408,-0.090637,0.154480,88.2657,0,0
2.3800,2543787,-0.765259,0.618286,-0.090698,0.154541,88.2660,0,0
2.3900,2543797,-0.765320,0.618225,-0.090759,0.154663,88.2651,0,0
2.4000,2543807,-0.765320,0.618103,-0.090759,0.154785,88.2507,0,0
2.4100,2543817,-0.765320,0.618103,-0.090698,0.154907,88.2233,0,0
2.4200,2543827,-0.765076,0.618347,-0.090576,0.155090,88.1920,0,0
2.4300,2543837,-0.764954,0.618530,-0.090576,0.155151,88.1628,0,0
2.4400,2543847,-0.764893,0.618591,-0.090576,0.155212,88.1465,0,0
2.4500,2543857,-0.764954,0.618530,-0.090576,0.155212,88.1488,0,0
2.4600,2543867,-0.765076,0.618408,-0.090515,0.155151,88.1621,0,0
2.4700,2543877,-0.765198,0.618286,-0.090454,0.154968,88.1766,0,0
2.4800,2543887,-0.765320,0.618164,-0.090393,0.154846,88.1814,0,0
2.4900,2543897,-0.765320,0.618225,-0.090332,0.154663,88.1718,0,0
2.5000,2543907,-0.765320,0.618286,-0.090332,0.154480,88.1495,0,0
2.5100,2543917,-0.765198,0.618469,-0.090332,0.154358,88.1230,0,0
2.5200,2543927,-0.765137,0.618591,-0.090271,0.154236,88.0973,0,0
2.5300,2543937,-0.765015,0.618713,-0.090210,0.154175,88.0740,0,0
2.5400,2543947,-0.764954,0.618835,-0.090149,0.154114,88.0555,0,0
2.5500,2543957,-0.764893,0.618896,-0.090088,0.154053,88.0462,0,0
2.5600,2543967,-0.764954,0.618896,-0.090088,0.153992,88.0427,0,0
2.5700,2543977,-0.764954,0.618896,-0.090088,0.153870,88.0453,0,0
2.5800,2543987,-0.765015,0.618896,-0.090088,0.153748,88.0496,0,0
2.5900,2543997,-0.765015,0.618896,-0.090027,0.153625,88.0434,0,0
2.6000,2544007,-0.765015,0.618958,-0.090027,0.153503,88.0303,0,0
2.6100,2544017,-0.764954,0.619019,-0.090088,0.153381,88.0150,0,0
2.6200,2544027,-0.764954,0.619080,-0.090027,0.153198,88.0046,0,0
2.6300,2544037,-0.765015,0.619080,-0.090027,0.153015,88.0048,0,0
2.6400,2544047,-0.765015,0.619080,-0.089966,0.152771,88.0026,0,0
2.6500,2544057,-0.765076,0.619141,-0.089905,0.152527,87.9915,0,0
2.6600,2544067,-0.765137,0.619141,-0.089905,0.152283,87.9762,0,0
2.6700,2544077,-0.765137,0.619202,-0.089905,0.152039,87.9622,0,0
2.6800,2544087,-0.765137,0.619263,-0.089966,0.151794,87.9512,0,0
2.6900,2544097,-0.765076,0.619324,-0.090149,0.151611,87.9448,0,0
2.7000,2544107,-0.765076,0.619385,-0.090515,0.151184,87.9398,0,0
2.7100,2544117,-0.765015,0.619446,-0.090698,0.150940,87.9357,0,0
2.7200,2544127,-0.765015,0.619446,-0.090820,0.150757,87.9256,0,0
2.7300,2544137,-0.765015,0.619507,-0.091003,0.150574,87.9149,0,0
2.7400,2544147,-0.765015,0.619507,-0.091187,0.150452,87.9028,0,0
2.7500,2544157,-0.764954,0.619568,-0.091431,0.150330,87.8943,0,0
2.7600,2544167,-0.765015,0.619507,-0.091614,0.150208,87.8879,0,0
2.7700,2544177,-0.765015,0.619507,-0.091797,0.150146,87.8794,0,0
2.7800,2544187,-0.765015,0.619446,-0.091919,0.150146,87.8695,0,0
2.7900,2544197,-0.765015,0.619446,-0.091980,0.150146,87.8547,0,0
2.8000,2544207,-0.765015,0.619507,-0.091980,0.150146,87.8353,0,0
2.8100,2544217,-0.764954,0.619568,-0.092041,0.150146,87.8122,0,0
2.8200,2544227,-0.764893,0.619629,-0.092041,0.150085,87.7932,0,0
2.8300,2544237,-0.764893,0.619629,-0.092041,0.150085,87.7775,0,0
2.8400,2544247,-0.764893,0.619629,-0.092041,0.150085,87.7644,0,0
2.8500,2544257,-0.764893,0.619629,-0.092102,0.150024,87.7519,0,0
2.8600,2544267,-0.764893,0.619629,-0.092163,0.149963,87.7440,0,0
2.8700,2544277,-0.765015,0.619507,-0.092224,0.149841,87.7443,0,0
2.8800,2544287,-0.765076,0.619385,-0.092346,0.149841,87.7487,0,0
2.8900,2544297,-0.765137,0.619263,-0.092529,0.149841,87.7499,0,0
2.9000,2544307,-0.765137,0.619263,-0.092712,0.149841,87.7367,0,0
2.9100,2544317,-0.765076,0.619263,-0.092957,0.149902,87.7075,0,0
2.9200,2544327,-0.765015,0.619324,-0.093201,0.149902,87.6916,0,0
2.9300,2544337,-0.765076,0.619324,-0.093384,0.149841,87.6877,0,0
2.9400,2544347,-0.765137,0.619141,-0.093506,0.149780,87.6910,0,0
2.9500,2544357,-0.765259,0.619019,-0.093628,0.149719,87.6889,0,0
2.9600,2544367,-0.765381,0.618896,-0.093628,0.149536,87.6696,0,0
2.9700,2544377,-0.765442,0.618896,-0.093689,0.149414,87.6405,0,0
2.9800,2544387,-0.765381,0.619019,-0.093750,0.149109,87.6104,0,0
2.9900,2544397,-0.765320,0.619080,-0.093750,0.148926,87.5866,0,0
3.0000,2544407,-0.765381,0.619141,-0.093689,0.148682,87.5705,0,0
3.0100,2544417,-0.765381,0.619141,-0.093628,0.148499,87.5559,0,0
3.0200,2544427,-0.765442,0.619141,-0.093567,0.148315,87.5407,0,0
3.0300,2544437,-0.765442,0.619202,-0.093567,0.148132,87.5244,0,0
3.0400,2544447,-0.765442,0.619202,-0.093506,0.147949,87.5107,0,0
3.0500,2544457,-0.765442,0.619263,-0.093506,0.147827,87.4994,0,0
3.0600,2544467,-0.765442,0.619324,-0.093445,0.147766,87.4923,0,0
3.0700,2544477,-0.765442,0.619324,-0.093445,0.147766,87.4915,0,0
3.0800,2544487,-0.765442,0.619263,-0.093445,0.147766,87.4942,0,0
3.0900,2544497,-0.765503,0.619202,-0.093506,0.147827,87.4945,0,0
3.1000,2544507,-0.765442,0.619263,-0.093628,0.147888,87.4846,0,0
3.1100,2544517,-0.765442,0.619202,-0.093811,0.147949,87.4717,0,0
3.1200,2544527,-0.765442,0.619141,-0.093933,0.148010,87.4678,0,0
3.1300,2544537,-0.765503,0.619080,-0.093994,0.148071,87.4699,0,0
3.1400,2544547,-0.765564,0.618958,-0.093994,0.148132,87.4726,0,0
3.1500,2544557,-0.765625,0.618896,-0.093994,0.148132,87.4704,0,0
3.1600,2544567,-0.765625,0.618896,-0.093933,0.148193,87.4599,0,0
3.1700,2544577,-0.765625,0.618896,-0.093933,0.148254,87.4512,0,0
3.1800,2544587,-0.765625,0.618896,-0.093811,0.148254,87.4477,0,0
3.1900,2544597,-0.765686,0.618835,-0.093628,0.148254,87.4515,0,0
3.2000,2544607,-0.765747,0.618774,-0.093567,0.148254,87.4497,0,0
3.2100,2544617,-0.765808,0.618713,-0.093445,0.148315,87.4488,0,0
