# Sesion:38 Fecha:2026-04-06 20:43:05 Shots:0 Duracion:5,68s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
0.0000,2168877,-0.811218,0.487366,0.206604,-0.248413,77.6148,0,0
0.0100,2168887,-0.807617,0.493286,0.207764,-0.247437,77.4460,0,0
0.0200,2168897,-0.803467,0.500244,0.208984,-0.246094,77.1537,0,0
0.0300,2168907,-0.798767,0.508057,0.210327,-0.244263,76.7487,0,0
0.0400,2168917,-0.793762,0.516174,0.211609,-0.242249,76.3030,0,0
0.0500,2168927,-0.788940,0.524048,0.212830,-0.240173,75.9133,0,0
0.0600,2168937,-0.784668,0.530762,0.213867,-0.238403,75.6823,0,0
0.0700,2168947,-0.781372,0.535767,0.214783,-0.237244,75.6889,0,0
0.0800,2168957,-0.779114,0.539001,0.215454,-0.236755,75.9319,0,0
0.0900,2168967,-0.777466,0.541077,0.216003,-0.236877,76.3267,0,0
0.1000,2168977,-0.775879,0.543030,0.216431,-0.237244,76.7073,0,0
0.1100,2168987,-0.773560,0.546143,0.216797,-0.237305,76.9201,0,0
0.1200,2168997,-0.770264,0.550842,0.217163,-0.236877,76.8988,0,0
0.1300,2169007,-0.765869,0.557251,0.217468,-0.235840,76.6423,0,0
0.1400,2169017,-0.760620,0.565002,0.217834,-0.234131,76.2070,0,0
0.1500,2169027,-0.755127,0.572998,0.218140,-0.232117,75.7336,0,0
0.1600,2169037,-0.750183,0.580200,0.218140,-0.230103,75.3821,0,0
0.1700,2169047,-0.746704,0.585449,0.217712,-0.228638,75.3270,0,0
0.1800,2169057,-0.745300,0.587952,0.216614,-0.227905,75.6697,0,0
0.1900,2169067,-0.745789,0.587891,0.215027,-0.227966,76.3542,0,0
0.2000,2169077,-0.747375,0.586426,0.213135,-0.228333,77.2168,0,0
0.2100,2169087,-0.749146,0.584778,0.211182,-0.228516,78.0521,0,0
0.2200,2169097,-0.750183,0.584167,0.209351,-0.228210,78.4054,0,0
0.2300,2169107,-0.749878,0.585571,0.207947,-0.227112,78.4190,0,0
0.2400,2169117,-0.747986,0.588989,0.207092,-0.225220,78.1657,0,0
0.2500,2169127,-0.744690,0.594177,0.206909,-0.222717,77.7731,0,0
0.2600,2169137,-0.740479,0.600220,0.207214,-0.220093,77.3810,0,0
0.2700,2169147,-0.736145,0.606262,0.207947,-0.217529,77.1083,0,0
0.2800,2169157,-0.729004,0.615479,0.209656,-0.214050,77.0213,0,0
0.2900,2169167,-0.726807,0.617981,0.210571,-0.213318,77.1412,0,0
0.3000,2169177,-0.725525,0.619324,0.211365,-0.213135,77.4351,0,0
0.3100,2169187,-0.724731,0.619812,0.212219,-0.213379,77.8290,0,0
