# Sesion:19 Fecha:2026-04-06 20:25:09 Shots:1 Duracion:9,59s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
0.7800,1133177,0.743835,-0.660828,0.075500,-0.066040,82.3602,0,0
0.7900,1133187,0.743835,-0.660828,0.075195,-0.066162,82.4349,0,0
0.8000,1133197,0.743896,-0.660767,0.074646,-0.066467,82.5034,0,0
0.8100,1133207,0.743896,-0.660828,0.074402,-0.066528,82.5675,0,0
0.8200,1133217,0.743896,-0.660828,0.074280,-0.066711,82.6272,0,0
0.8300,1133227,0.743896,-0.660828,0.074158,-0.066772,82.6881,0,0
0.8400,1133237,0.743896,-0.660828,0.074097,-0.066833,82.7383,0,0
0.8500,1133247,0.743835,-0.660889,0.073975,-0.066895,82.7831,0,0
0.8600,1133257,0.743713,-0.661011,0.073914,-0.067017,82.8227,0,0
0.8700,1133267,0.743652,-0.661133,0.073792,-0.067078,82.8591,0,0
0.8800,1133277,0.743591,-0.661133,0.073730,-0.067139,82.9002,0,0
0.8900,1133287,0.743591,-0.661194,0.073608,-0.067261,82.9496,0,0
0.9000,1133297,0.743591,-0.661133,0.073547,-0.067322,83.0018,0,0
0.9100,1133307,0.743652,-0.661072,0.073364,-0.067444,83.0609,0,0
0.9200,1133317,0.743774,-0.660950,0.073181,-0.067688,83.1290,0,0
0.9300,1133327,0.743958,-0.660767,0.072998,-0.067871,83.1980,0,0
0.9400,1133337,0.744080,-0.660645,0.072815,-0.067993,83.2606,0,0
0.9500,1133347,0.744141,-0.660522,0.072693,-0.068115,83.3136,0,0
0.9600,1133357,0.744202,-0.660461,0.072571,-0.068298,83.3563,0,0
0.9700,1133367,0.744202,-0.660461,0.072510,-0.068481,83.3886,0,0
0.9800,1133377,0.744141,-0.660583,0.072449,-0.068604,83.4104,0,0
0.9900,1133387,0.744080,-0.660645,0.072327,-0.068665,83.4329,0,0
1.0000,1133397,0.744019,-0.660645,0.072327,-0.068665,83.4573,0,0
1.0100,1133407,0.744019,-0.660706,0.072388,-0.068604,83.4810,0,0
1.0200,1133417,0.743958,-0.660706,0.072449,-0.068481,83.5087,0,0
1.0300,1133427,0.744019,-0.660706,0.072571,-0.068359,83.5428,0,0
1.0400,1133437,0.744080,-0.660645,0.072693,-0.068176,83.5750,0,0
1.0500,1133447,0.744141,-0.660522,0.072876,-0.067993,83.6068,0,0
1.0600,1133457,0.744263,-0.660400,0.072998,-0.067810,83.6364,0,0
1.0700,1133467,0.744324,-0.660339,0.073120,-0.067627,83.6554,0,0
1.0800,1133477,0.744385,-0.660278,0.073303,-0.067444,83.6646,0,0
1.0900,1133487,0.744324,-0.660339,0.073364,-0.067383,83.6656,0,0
1.1000,1133497,0.744263,-0.660400,0.073425,-0.067444,83.6684,0,0
1.1100,1133507,0.744202,-0.660400,0.073425,-0.067566,83.6704,0,0
1.1200,1133517,0.744141,-0.660522,0.073486,-0.067688,83.6658,0,0
1.1300,1133527,0.744019,-0.660645,0.073486,-0.067871,83.6608,0,0
1.1400,1133537,0.743958,-0.660706,0.073486,-0.068054,83.6669,0,0
1.1500,1133547,0.743958,-0.660645,0.073425,-0.068237,83.6864,0,0
1.1600,1133557,0.744141,-0.660400,0.073425,-0.068420,83.7328,0,0
1.1700,1133567,0.744446,-0.660095,0.073364,-0.068604,83.7911,0,0
1.1800,1133577,0.744568,-0.659912,0.073303,-0.068726,83.8212,0,0
1.1900,1133587,0.744690,-0.659790,0.073303,-0.068787,83.8467,0,0
1.2000,1133597,0.744690,-0.659790,0.073364,-0.068787,83.8566,0,0
1.2100,1133607,0.744751,-0.659729,0.073425,-0.068726,83.8708,0,0
1.2200,1133617,0.744812,-0.659668,0.073486,-0.068665,83.8860,0,0
1.2300,1133627,0.744995,-0.659485,0.073486,-0.068604,83.9123,0,0
1.2400,1133637,0.745056,-0.659363,0.073547,-0.068542,83.9284,0,0
1.2500,1133647,0.745178,-0.659241,0.073608,-0.068481,83.9441,0,0
1.2600,1133657,0.745239,-0.659180,0.073669,-0.068359,83.9442,0,0
1.2700,1133667,0.745178,-0.659241,0.073730,-0.068298,83.9307,0,0
1.2800,1133677,0.745117,-0.659363,0.073853,-0.068176,83.9095,0,0
1.2900,1133687,0.745056,-0.659363,0.073914,-0.068054,83.9244,0,0
1.3000,1133697,0.745178,-0.659241,0.073975,-0.068054,83.9439,0,0
1.3100,1133707,0.745300,-0.659119,0.073914,-0.067932,83.9606,0,0
1.3200,1133717,0.745422,-0.658936,0.073853,-0.067932,83.9659,0,0
1.3300,1133727,0.745544,-0.658875,0.073730,-0.067932,83.9637,0,0
1.3400,1133737,0.745544,-0.658875,0.073730,-0.067871,83.9646,0,0
1.3500,1133747,0.745544,-0.658875,0.073730,-0.067810,83.9589,0,0
1.3600,1133757,0.745605,-0.658813,0.073853,-0.067688,83.9469,0,0
1.3700,1133767,0.745544,-0.658875,0.073975,-0.067505,83.9294,0,0
1.3800,1133777,0.745605,-0.658875,0.074036,-0.067261,83.9236,0,0
1.3900,1133787,0.745667,-0.658813,0.074097,-0.067017,83.9179,0,0
1.4000,1133797,0.745728,-0.658691,0.074158,-0.066772,83.9190,0,0
1.4100,1133807,0.745789,-0.658691,0.074219,-0.066467,83.9062,0,0
1.4200,1133817,0.745789,-0.658752,0.074280,-0.066162,83.8822,0,0
1.4300,1133827,0.745667,-0.658875,0.074280,-0.065918,83.8505,0,0
1.4400,1133837,0.745605,-0.658997,0.074280,-0.065674,83.8167,0,0
1.4500,1133847,0.745483,-0.659180,0.074219,-0.065430,83.7845,0,0
1.4600,1133857,0.745361,-0.659302,0.074158,-0.065247,83.7564,0,0
1.4700,1133867,0.745300,-0.659363,0.074097,-0.065063,83.7409,0,0
1.4800,1133877,0.745300,-0.659424,0.074097,-0.064941,83.7363,0,0
1.4900,1133887,0.745300,-0.659424,0.074036,-0.064880,83.7373,0,0
1.5000,1133897,0.745361,-0.659363,0.073914,-0.064941,83.7400,0,0
1.5100,1133907,0.745361,-0.659363,0.073853,-0.065002,83.7461,0,0
1.5200,1133917,0.745422,-0.659302,0.073730,-0.065063,83.7544,0,0
1.5300,1133927,0.745422,-0.659302,0.073669,-0.065125,83.7511,0,0
1.5400,1133937,0.745300,-0.659424,0.073669,-0.065247,83.7319,0,0
1.5500,1133947,0.745117,-0.659607,0.073730,-0.065369,83.7018,0,0
1.5600,1133957,0.744934,-0.659790,0.073792,-0.065491,83.6725,0,0
1.5700,1133967,0.744751,-0.659973,0.073853,-0.065552,83.6602,0,0
1.5800,1133977,0.744690,-0.660034,0.073975,-0.065613,83.6551,0,0
1.5900,1133987,0.744629,-0.660095,0.074097,-0.065552,83.6488,0,0
1.6000,1133997,0.744629,-0.660095,0.074280,-0.065491,83.6441,0,0
1.6100,1134007,0.744629,-0.660095,0.074463,-0.065491,83.6419,0,0
1.6200,1134017,0.744629,-0.660034,0.074585,-0.065430,83.6417,0,0
1.6300,1134027,0.744629,-0.660034,0.074707,-0.065369,83.6347,0,0
1.6400,1134037,0.744568,-0.660034,0.075012,-0.065369,83.6246,0,0
