# Sesion:35 Fecha:2026-04-06 20:41:10 Shots:1 Duracion:11,89s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
0.0000,2057567,-0.686035,0.696533,-0.192078,0.085510,69.9373,0,0
0.0100,2057577,-0.686218,0.696655,-0.189880,0.088257,70.3780,0,0
0.0200,2057587,-0.686401,0.696655,-0.187683,0.090942,70.8273,0,0
0.0300,2057597,-0.686829,0.696472,-0.185547,0.093628,71.3044,0,0
0.0400,2057607,-0.687561,0.695984,-0.183350,0.096252,71.8396,0,0
0.0500,2057617,-0.688477,0.695312,-0.181091,0.098877,72.4043,0,0
0.0600,2057627,-0.689514,0.694519,-0.178772,0.101501,72.9688,0,0
0.0700,2057637,-0.690369,0.693848,-0.176392,0.104065,73.5007,0,0
0.0800,2057647,-0.690979,0.693481,-0.174133,0.106567,73.9837,0,0
0.0900,2057657,-0.691284,0.693298,-0.171936,0.109009,74.3717,0,0
0.1000,2057667,-0.691345,0.693420,-0.169861,0.111328,74.7358,0,0
0.1100,2057677,-0.691223,0.693604,-0.167847,0.113525,75.0984,0,0
0.1200,2057687,-0.691223,0.693848,-0.165771,0.115662,75.4682,0,0
0.1300,2057697,-0.691162,0.693970,-0.163757,0.117676,75.8328,0,0
0.1400,2057707,-0.691162,0.694153,-0.161682,0.119690,76.1900,0,0
0.1500,2057717,-0.691162,0.694275,-0.159607,0.121582,76.5509,0,0
0.1600,2057727,-0.691223,0.694458,-0.155579,0.125244,76.9189,0,0
0.1700,2057737,-0.691406,0.694397,-0.153687,0.127014,77.2952,0,0
0.1800,2057747,-0.691650,0.694275,-0.151794,0.128784,77.6790,0,0
0.1900,2057757,-0.691833,0.694153,-0.149963,0.130432,78.0514,0,0
0.2000,2057767,-0.691895,0.694153,-0.148315,0.132080,78.3874,0,0
0.2100,2057777,-0.691650,0.694458,-0.146729,0.133606,78.6830,0,0
0.2200,2057787,-0.691223,0.694885,-0.145325,0.135132,78.9443,0,0
0.2300,2057797,-0.690674,0.695374,-0.143921,0.136658,79.1865,0,0
0.2400,2057807,-0.690186,0.695862,-0.142578,0.138184,79.4302,0,0
0.2500,2057817,-0.689758,0.696228,-0.141296,0.139709,79.6921,0,0
0.2600,2057827,-0.689453,0.696533,-0.140015,0.141235,79.9627,0,0
0.2700,2057837,-0.689087,0.696777,-0.138733,0.142700,80.2305,0,0
0.2800,2057847,-0.688721,0.697144,-0.137390,0.144165,80.4913,0,0
0.2900,2057857,-0.688293,0.697571,-0.135925,0.145569,80.7385,0,0
0.3000,2057867,-0.687805,0.697998,-0.134521,0.146973,80.9770,0,0
0.3100,2057877,-0.687378,0.698486,-0.133118,0.148193,81.2202,0,0
0.3200,2057887,-0.687012,0.698853,-0.131714,0.149353,81.4800,0,0
0.3300,2057897,-0.686707,0.699158,-0.130432,0.150330,81.7446,0,0
0.3400,2057907,-0.686523,0.699402,-0.129150,0.151184,82.0158,0,0
