# Sesion:61 Fecha:2026-04-06 20:58:39 Shots:1 Duracion:16,95s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
0.0000,3067917,-0.724487,0.660583,-0.173645,0.092712,66.9213,0,0
0.0100,3067927,-0.724731,0.660034,-0.171997,0.097412,67.6566,0,0
0.0200,3067937,-0.725098,0.659424,-0.170288,0.102051,68.3860,0,0
0.0300,3067947,-0.725525,0.658630,-0.168518,0.106628,69.1241,0,0
0.0400,3067957,-0.726135,0.657715,-0.166809,0.111206,69.8697,0,0
0.0500,3067967,-0.726746,0.656677,-0.165039,0.115723,70.6155,0,0
0.0600,3067977,-0.727356,0.655640,-0.163330,0.120178,71.3381,0,0
0.0700,3067987,-0.727783,0.654724,-0.161682,0.124573,72.0234,0,0
0.0800,3067997,-0.728088,0.653931,-0.160095,0.128845,72.6755,0,0
0.0900,3068007,-0.728455,0.653076,-0.158508,0.133057,73.3198,0,0
0.1000,3068017,-0.728882,0.652161,-0.156982,0.137146,73.9674,0,0
0.1100,3068027,-0.729370,0.651123,-0.155396,0.141235,74.6370,0,0
0.1200,3068037,-0.729858,0.650085,-0.153809,0.145142,75.2929,0,0
0.1300,3068047,-0.730347,0.649048,-0.152222,0.148987,75.9248,0,0
0.1400,3068057,-0.730713,0.648132,-0.150635,0.152710,76.5260,0,0
0.1500,3068067,-0.730957,0.647339,-0.149048,0.156311,77.0981,0,0
0.1600,3068077,-0.731201,0.646667,-0.147339,0.159729,77.6443,0,0
0.1700,3068087,-0.731262,0.646118,-0.145691,0.162964,78.1479,0,0
0.1800,3068097,-0.731323,0.645630,-0.143921,0.166138,78.6581,0,0
0.1900,3068107,-0.731445,0.645081,-0.142090,0.169250,79.1884,0,0
0.2000,3068117,-0.731750,0.644348,-0.140137,0.172302,79.7470,0,0
0.2100,3068127,-0.732239,0.643433,-0.138062,0.175293,80.3250,0,0
0.2200,3068137,-0.732971,0.642273,-0.135925,0.178223,80.9028,0,0
0.2300,3068147,-0.734497,0.639832,-0.131531,0.183899,81.4711,0,0
0.2400,3068157,-0.735229,0.638611,-0.129456,0.186707,82.0243,0,0
0.2500,3068167,-0.735901,0.637390,-0.127380,0.189453,82.5560,0,0
0.2600,3068177,-0.736572,0.636292,-0.125427,0.192200,83.0666,0,0
0.2700,3068187,-0.737061,0.635193,-0.123596,0.194824,83.5489,0,0
0.2800,3068197,-0.737488,0.634338,-0.121826,0.197327,83.9978,0,0
0.2900,3068207,-0.737732,0.633545,-0.120178,0.199768,84.4144,0,0
0.3000,3068217,-0.737915,0.632935,-0.118530,0.202026,84.8079,0,0
0.3100,3068227,-0.738098,0.632385,-0.116882,0.204224,85.1866,0,0
0.3200,3068237,-0.738220,0.631836,-0.115173,0.206238,85.5607,0,0
0.3300,3068247,-0.738464,0.631226,-0.113403,0.208191,85.9346,0,0
0.3400,3068257,-0.738770,0.630554,-0.111633,0.210022,86.3129,0,0
0.3500,3068267,-0.739197,0.629822,-0.109802,0.211731,86.6991,0,0
0.3600,3068277,-0.739685,0.629028,-0.108032,0.213440,87.0886,0,0
0.3700,3068287,-0.740112,0.628174,-0.106323,0.215088,87.4670,0,0
0.3800,3068297,-0.740479,0.627502,-0.104736,0.216675,87.8275,0,0
0.3900,3068307,-0.740601,0.627014,-0.103333,0.218201,88.1396,0,0
0.4000,3068317,-0.740540,0.626831,-0.102234,0.219666,88.3973,0,0
0.4100,3068327,-0.740173,0.626892,-0.101257,0.221130,88.6154,0,0
0.4200,3068337,-0.739807,0.626953,-0.100464,0.222534,88.8194,0,0
0.4300,3068347,-0.739502,0.626953,-0.099670,0.223938,89.0351,0,0
0.4400,3068357,-0.739319,0.626770,-0.098755,0.225403,89.3082,0,0
0.4500,3068367,-0.739319,0.626404,-0.097656,0.226868,89.5971,0,0
0.4600,3068377,-0.739441,0.625916,-0.096497,0.228394,89.8876,0,0
0.4700,3068387,-0.739563,0.625366,-0.095276,0.229980,90.1676,0,0
0.4800,3068397,-0.739685,0.624878,-0.094055,0.231445,90.4360,0,0
0.4900,3068407,-0.739746,0.624451,-0.092957,0.232971,90.7009,0,0
0.5000,3068417,-0.739807,0.623962,-0.091919,0.234436,90.9540,0,0
0.5100,3068427,-0.739807,0.623169,-0.089966,0.237244,91.1849,0,0
0.5200,3068437,-0.739624,0.622986,-0.089172,0.238586,91.3886,0,0
0.5300,3068447,-0.739319,0.622925,-0.088501,0.239868,91.5635,0,0
0.5400,3068457,-0.738953,0.622986,-0.087830,0.241089,91.7307,0,0
0.5500,3068467,-0.738770,0.622864,-0.087097,0.242249,91.9190,0,0
0.5600,3068477,-0.738892,0.622437,-0.086182,0.243286,92.1527,0,0
0.5700,3068487,-0.739258,0.621765,-0.085083,0.244202,92.4303,0,0
0.5800,3068497,-0.739868,0.620911,-0.083862,0.245056,92.7325,0,0
0.5900,3068507,-0.740479,0.620056,-0.082642,0.245728,93.0241,0,0
0.6000,3068517,-0.740967,0.619385,-0.081482,0.246277,93.2751,0,0
0.6100,3068527,-0.741211,0.619019,-0.080505,0.246765,93.4735,0,0
0.6200,3068537,-0.741211,0.619019,-0.079834,0.247131,93.6124,0,0
0.6300,3068547,-0.740906,0.619324,-0.079468,0.247437,93.6923,0,0
0.6400,3068557,-0.740356,0.619812,-0.079407,0.247681,93.7278,0,0
0.6500,3068567,-0.739746,0.620483,-0.079468,0.247925,93.7439,0,0
0.6600,3068577,-0.739197,0.621033,-0.079590,0.248108,93.7664,0,0
0.6700,3068587,-0.738770,0.621460,-0.079651,0.248352,93.8146,0,0
0.6800,3068597,-0.738586,0.621643,-0.079651,0.248596,93.8983,0,0
0.6900,3068607,-0.738586,0.621521,-0.079590,0.248718,94.0153,0,0
0.7000,3068617,-0.738770,0.621277,-0.079590,0.248840,94.1556,0,0
0.7100,3068627,-0.738892,0.621033,-0.079346,0.249084,94.2967,0,0
0.7200,3068637,-0.738953,0.620911,-0.079285,0.249329,94.4010,0,0
0.7300,3068647,-0.739014,0.620789,-0.079346,0.249451,94.4835,0,0
0.7400,3068657,-0.739014,0.620728,-0.079590,0.249390,94.5504,0,0
0.7500,3068667,-0.739075,0.620728,-0.079895,0.249207,94.6061,0,0
0.7600,3068677,-0.739075,0.620789,-0.080200,0.248962,94.6500,0,0
0.7700,3068687,-0.739136,0.620850,-0.080627,0.248474,94.6826,0,0
0.7800,3068697,-0.739197,0.621033,-0.081604,0.247375,94.7175,0,0
0.7900,3068707,-0.739441,0.620972,-0.082153,0.246765,94.7677,0,0
0.8000,3068717,-0.739868,0.620667,-0.082703,0.246033,94.8334,0,0
0.8100,3068727,-0.740356,0.620361,-0.083191,0.245300,94.9020,0,0
0.8200,3068737,-0.740784,0.619995,-0.083801,0.244507,94.9582,0,0
0.8300,3068747,-0.741028,0.619934,-0.084412,0.243713,94.9815,0,0
0.8400,3068757,-0.741150,0.619995,-0.085144,0.242920,94.9660,0,0
0.8500,3068767,-0.741211,0.620178,-0.086060,0.242187,94.9236,0,0
0.8600,3068777,-0.741211,0.620300,-0.086914,0.241394,94.8735,0,0
0.8700,3068787,-0.741211,0.620483,-0.087769,0.240723,94.8202,0,0
0.8800,3068797,-0.741150,0.620667,-0.088623,0.239990,94.7581,0,0
0.8900,3068807,-0.740967,0.621033,-0.089539,0.239319,94.6708,0,0
0.9000,3068817,-0.740601,0.621582,-0.090515,0.238647,94.5573,0,0
0.9100,3068827,-0.740112,0.622253,-0.091614,0.238037,94.4331,0,0
0.9200,3068837,-0.739746,0.622742,-0.092712,0.237366,94.3119,0,0
0.9300,3068847,-0.739502,0.623108,-0.093811,0.236755,94.2071,0,0
0.9400,3068857,-0.739380,0.623291,-0.094910,0.236206,94.1229,0,0
0.9500,3068867,-0.739441,0.623352,-0.095947,0.235596,94.0610,0,0
