# Sesion:1 Fecha:2026-04-06 20:14:30 Shots:2 Duracion:8,56s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
0.0000,517137,0.732117,-0.676758,0.046997,0.061646,71.3098,1,0
0.0100,517147,0.733154,-0.675842,0.045837,0.060425,71.7152,0,0
0.0200,517157,0.732605,-0.676575,0.044617,0.059326,71.8585,0,0
0.0300,517167,0.731812,-0.677612,0.043457,0.058167,71.9602,0,0
0.0400,517177,0.731934,-0.677673,0.042419,0.056946,72.2163,0,0
0.0500,517187,0.732727,-0.677002,0.041504,0.055664,72.5818,0,0
0.0600,517197,0.733093,-0.676758,0.040588,0.054382,72.8684,0,0
0.0700,517207,0.732788,-0.677246,0.039673,0.053223,73.0576,0,0
0.0800,517217,0.732544,-0.677734,0.037903,0.051086,73.3340,0,0
0.0900,517227,0.733337,-0.677063,0.037048,0.049866,73.6906,0,0
0.1000,517237,0.734436,-0.675964,0.036194,0.048645,74.0994,0,0
0.1100,517247,0.735840,-0.674561,0.035400,0.047424,74.5391,0,0
0.1200,517257,0.737732,-0.672668,0.034668,0.046204,75.0494,0,0
0.1300,517267,0.739075,-0.671265,0.033875,0.044983,75.2424,0,0
0.1400,517277,0.739136,-0.671326,0.032959,0.043823,75.6773,0,0
0.1500,517287,0.740662,-0.669739,0.032166,0.042603,76.1538,0,0
0.1600,517297,0.742493,-0.667786,0.031433,0.041382,76.4287,0,0
0.1700,517307,0.743286,-0.667114,0.030640,0.040161,76.7159,0,0
0.1800,517317,0.744080,-0.666260,0.029907,0.038940,76.9100,0,0
0.1900,517327,0.744446,-0.665955,0.029236,0.037659,77.0623,0,0
0.2000,517337,0.744751,-0.665833,0.027893,0.035156,77.2375,0,0
0.2100,517347,0.744568,-0.666138,0.027222,0.033936,77.3457,0,0
0.2200,517357,0.744263,-0.666565,0.026672,0.032715,77.4327,0,0
0.2300,517367,0.744202,-0.666687,0.026123,0.031494,77.5662,0,0
0.2400,517377,0.744202,-0.666809,0.024719,0.029663,77.7007,0,0
0.2500,517387,0.744812,-0.666260,0.023315,0.027771,77.9177,0,0
0.2600,517397,0.744995,-0.666199,0.021912,0.026062,78.0682,0,0
0.2700,517407,0.744934,-0.666382,0.020508,0.024475,78.1897,0,0
0.2800,517417,0.745117,-0.666260,0.018982,0.022888,78.3575,0,0
0.2900,517427,0.745178,-0.666260,0.018250,0.022034,78.5308,0,0
0.3000,517437,0.745117,-0.666382,0.017578,0.021240,78.6851,0,0
0.3100,517447,0.745239,-0.666260,0.016907,0.020508,78.8693,0,0
0.3200,517457,0.745361,-0.666138,0.016235,0.019836,79.0546,0,0
0.3300,517467,0.745178,-0.666443,0.015564,0.019165,79.1740,0,0
0.3400,517477,0.744568,-0.667114,0.014893,0.018616,79.2265,0,0
0.3500,517487,0.744385,-0.667358,0.014221,0.018066,79.3538,0,0
0.3600,517497,0.745178,-0.666443,0.013611,0.017578,79.6545,0,0
0.3700,517507,0.745239,-0.666504,0.012939,0.017090,79.8049,0,0
0.3800,517517,0.745605,-0.666077,0.012329,0.016663,80.0135,0,0
0.3900,517527,0.746155,-0.665466,0.011719,0.016174,80.2528,0,0
0.4000,517537,0.746643,-0.664978,0.011169,0.015747,80.4648,0,0
0.4100,517547,0.746765,-0.664856,0.010742,0.015259,80.5583,0,0
0.4200,517557,0.746582,-0.665100,0.010315,0.014771,80.6617,0,0
0.4300,517567,0.746399,-0.665222,0.009888,0.014221,80.8022,0,0
0.4400,517577,0.746521,-0.665161,0.009521,0.013733,80.9638,0,0
0.4500,517587,0.746765,-0.664917,0.009277,0.013184,81.0818,0,0
0.4600,517597,0.746765,-0.664917,0.009094,0.012695,81.2171,0,0
0.4700,517607,0.746887,-0.664734,0.008911,0.012268,81.4300,0,0
0.4800,517617,0.748169,-0.663391,0.007385,0.010437,81.6882,0,0
0.4900,517627,0.748962,-0.662476,0.007202,0.010071,81.9239,0,0
0.5000,517637,0.749512,-0.661865,0.007019,0.009766,82.1041,0,0
0.5100,517647,0.749878,-0.661438,0.006958,0.009399,82.2470,0,0
0.5200,517657,0.750061,-0.661255,0.006958,0.009094,82.3483,0,0
0.5300,517667,0.750000,-0.661377,0.007080,0.008728,82.4065,0,0
0.5400,517677,0.749634,-0.661804,0.007263,0.008423,82.4119,0,0
0.5500,517687,0.749023,-0.662415,0.007507,0.008118,82.3814,0,0
0.5600,517697,0.748413,-0.663086,0.007751,0.007874,82.3495,0,0
0.5700,517707,0.747925,-0.663696,0.007935,0.007751,82.3311,0,0
0.5800,517717,0.747375,-0.664307,0.008118,0.007629,82.3130,0,0
0.5900,517727,0.746887,-0.664856,0.008301,0.007629,82.3058,0,0
0.6000,517737,0.746643,-0.665161,0.008423,0.007751,82.3323,0,0
0.6100,517747,0.746399,-0.665405,0.008545,0.007874,82.3633,0,0
0.6200,517757,0.746338,-0.665466,0.007690,0.007263,82.3983,0,0
0.6300,517767,0.746277,-0.665588,0.006836,0.006714,82.4450,0,0
0.6400,517777,0.746216,-0.665649,0.005859,0.006165,82.4944,0,0
0.6500,517787,0.745850,-0.666016,0.005066,0.005676,82.5104,0,0
0.6600,517797,0.745361,-0.666626,0.004333,0.005249,82.5108,0,0
0.6700,517807,0.744873,-0.667175,0.003662,0.004944,82.5160,0,0
0.6800,517817,0.744507,-0.667603,0.003662,0.005249,82.5429,0,0
0.6900,517827,0.744202,-0.667908,0.003662,0.005615,82.5849,0,0
0.7000,517837,0.743958,-0.668213,0.003601,0.005859,82.6239,0,0
0.7100,517847,0.743530,-0.668640,0.002808,0.005493,82.6477,0,0
0.7200,517857,0.743042,-0.669250,0.001953,0.005005,82.6472,0,0
0.7300,517867,0.742310,-0.670044,0.001160,0.004517,82.6643,0,0
0.7400,517877,0.741577,-0.670837,0.000427,0.004028,82.7080,0,0
0.7500,517887,0.741028,-0.671448,-0.000244,0.003540,82.7558,0,0
0.7600,517897,0.740417,-0.672119,-0.000854,0.003113,82.8204,0,0
0.7700,517907,0.739685,-0.672913,-0.002075,0.002319,82.9222,0,0
