# Sesion:29 Fecha:2026-04-27 21:12:01 Shots:1 Duracion:12,58s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,1800876,0.722107,-0.681091,-0.011047,0.120544,-8.5255,11.0260,0
0.0100,1800886,0.722717,-0.680847,-0.012512,0.118530,-8.2398,10.9720,0
0.0200,1800896,0.723450,-0.680298,-0.013916,0.116638,-7.9647,10.9251,0
0.0300,1800906,0.724304,-0.679687,-0.015320,0.114746,-7.6887,10.8795,0
0.0400,1800916,0.724976,-0.679199,-0.016724,0.112976,-7.4244,10.8422,0
0.0500,1800926,0.725525,-0.678894,-0.018188,0.111267,-7.1626,10.8136,0
0.0600,1800936,0.725952,-0.678650,-0.019714,0.109619,-6.9015,10.7936,0
0.0700,1800946,0.726379,-0.678406,-0.021301,0.108032,-6.6402,10.7837,0
0.0800,1800956,0.726929,-0.678040,-0.022827,0.106445,-6.3822,10.7702,0
0.0900,1800966,0.727661,-0.677429,-0.024292,0.104919,-6.1308,10.7586,0
0.1000,1800976,0.728577,-0.676636,-0.025757,0.103394,-5.8767,10.7484,0
0.1100,1800986,0.729431,-0.675903,-0.027100,0.101868,-5.6338,10.7278,0
0.1200,1800996,0.730042,-0.675415,-0.028381,0.100281,-5.3951,10.6949,0
0.1300,1801006,0.730591,-0.675171,-0.030640,0.097290,-4.9683,10.6159,0
0.1400,1801016,0.730774,-0.675110,-0.031677,0.095947,-4.7755,10.5819,0
0.1500,1801026,0.731140,-0.674866,-0.032776,0.094727,-4.5844,10.5645,0
0.1600,1801036,0.731689,-0.674316,-0.033752,0.093689,-4.4138,10.5542,0
0.1700,1801046,0.732361,-0.673645,-0.034790,0.092712,-4.2411,10.5546,0
0.1800,1801056,0.732849,-0.673218,-0.035889,0.091797,-4.0712,10.5638,0
0.1900,1801066,0.732971,-0.673157,-0.036926,0.090820,-3.9072,10.5607,0
0.2000,1801076,0.732788,-0.673401,-0.038025,0.089905,-3.7473,10.5659,0
0.2100,1801086,0.732605,-0.673645,-0.039124,0.089111,-3.5968,10.5818,0
0.2200,1801096,0.732727,-0.673584,-0.040283,0.088440,-3.4461,10.6148,0
0.2300,1801106,0.733154,-0.673035,-0.041504,0.087952,-3.2981,10.6692,0
0.2400,1801116,0.733826,-0.672302,-0.042786,0.087585,-3.1513,10.7402,0
0.2500,1801126,0.734497,-0.671509,-0.044067,0.087219,-3.0038,10.8108,0
0.2600,1801136,0.734985,-0.670959,-0.045349,0.086853,-2.8595,10.8805,0
0.2700,1801146,0.735168,-0.670776,-0.046570,0.086426,-2.7209,10.9390,0
0.2800,1801156,0.735046,-0.670837,-0.047729,0.085937,-2.5868,10.9859,0
0.2900,1801166,0.734863,-0.671082,-0.048889,0.085327,-2.4455,11.0228,0
0.3000,1801176,0.734802,-0.671082,-0.049988,0.084656,-2.3016,11.0495,0
0.3100,1801186,0.734924,-0.670959,-0.051147,0.083984,-2.1503,11.0821,0
0.3200,1801196,0.735229,-0.670654,-0.052185,0.083313,-2.0065,11.1059,0
0.3300,1801206,0.735657,-0.670166,-0.053223,0.082642,-1.8601,11.1296,0
0.3400,1801216,0.735840,-0.669983,-0.054199,0.081848,-1.7140,11.1376,0
0.3500,1801226,0.736267,-0.669556,-0.055115,0.081055,-1.5691,11.1415,0
0.3600,1801236,0.736755,-0.669067,-0.055908,0.080261,-1.4336,11.1360,0
0.3700,1801246,0.737305,-0.668457,-0.056641,0.079407,-1.2971,11.1202,0
0.3800,1801256,0.737610,-0.668213,-0.057373,0.078552,-1.1656,11.1043,0
0.3900,1801266,0.737244,-0.668640,-0.058777,0.076721,-0.9129,11.0549,0
0.4000,1801276,0.737000,-0.669006,-0.059448,0.075989,-0.8049,11.0443,0
0.4100,1801286,0.736816,-0.669189,-0.060242,0.075317,-0.6892,11.0479,0
0.4200,1801296,0.736877,-0.669128,-0.060974,0.074829,-0.5890,11.0630,0
0.4300,1801306,0.737000,-0.668945,-0.061707,0.074402,-0.4920,11.0831,0
0.4400,1801316,0.737244,-0.668640,-0.062439,0.074036,-0.3977,11.1085,0
0.4500,1801326,0.737366,-0.668457,-0.063171,0.073730,-0.3100,11.1390,0
0.4600,1801336,0.737427,-0.668396,-0.063904,0.073364,-0.2191,11.1646,0
0.4700,1801346,0.737366,-0.668457,-0.064697,0.072937,-0.1203,11.1897,0
0.4800,1801356,0.737183,-0.668579,-0.065491,0.072571,-0.0276,11.2195,0
0.4900,1801366,0.737061,-0.668701,-0.066345,0.072266,0.0660,11.2598,0
0.5000,1801376,0.736877,-0.668823,-0.067139,0.071960,0.1540,11.2950,0
0.5100,1801386,0.736877,-0.668762,-0.067993,0.071716,0.2454,11.3403,0
0.5200,1801396,0.737000,-0.668579,-0.068848,0.071594,0.3294,11.3962,0
0.5300,1801406,0.737183,-0.668274,-0.069702,0.071533,0.4102,11.4569,0
0.5400,1801416,0.737366,-0.667969,-0.070618,0.071411,0.5008,11.5171,0
0.5500,1801426,0.737488,-0.667725,-0.071533,0.071289,0.5905,11.5773,0
0.5600,1801436,0.737488,-0.667664,-0.072510,0.071106,0.6876,11.6375,0
0.5700,1801446,0.737305,-0.667786,-0.073547,0.070801,0.7961,11.6920,0
