# Sesion:6 Fecha:2026-06-03 21:20:16 Shots:1 Duracion:9,84s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,851577,0.721252,-0.686951,0.086914,0.017578,-8.5994,354.5415,0
0.0100,851587,0.722229,-0.686218,0.084900,0.015442,-8.2694,354.5369,0
0.0200,851597,0.723022,-0.685669,0.082886,0.013245,-7.9333,354.5242,0
0.0300,851607,0.723511,-0.685486,0.080933,0.010986,-7.5952,354.4969,0
0.0400,851617,0.723694,-0.685547,0.078979,0.008789,-7.2596,354.4716,0
0.0500,851627,0.723633,-0.685791,0.077026,0.006653,-6.9269,354.4493,0
0.0600,851637,0.723511,-0.686218,0.075195,0.004517,-6.6041,354.4156,0
0.0700,851647,0.723206,-0.686707,0.073425,0.002502,-6.2946,354.3867,0
0.0800,851657,0.722839,-0.687256,0.071655,0.000488,-5.9846,354.3575,0
0.0900,851667,0.722534,-0.687744,0.069946,-0.001465,-5.6852,354.3292,0
0.1000,851677,0.722412,-0.688049,0.068298,-0.003357,-5.3972,354.3026,0
0.1100,851687,0.722595,-0.688049,0.066650,-0.005249,-5.1118,354.2781,0
0.1200,851697,0.722961,-0.687805,0.065002,-0.007141,-4.8280,354.2552,0
0.1300,851707,0.723511,-0.687317,0.063354,-0.008911,-4.5556,354.2435,0
0.1400,851717,0.723999,-0.686951,0.061829,-0.010681,-4.2928,354.2208,0
0.1500,851727,0.724304,-0.686707,0.060364,-0.012512,-4.0289,354.1871,0
0.1600,851737,0.724426,-0.686646,0.058960,-0.014282,-3.7734,354.1524,0
0.1700,851747,0.724304,-0.686829,0.057617,-0.016174,-3.5114,354.1013,0
0.1800,851757,0.724060,-0.687195,0.056335,-0.018005,-3.2581,354.0496,0
0.1900,851767,0.723694,-0.687622,0.055054,-0.019775,-3.0087,354.0028,0
0.2000,851777,0.723450,-0.687988,0.053711,-0.021606,-2.7504,353.9562,0
0.2100,851787,0.723083,-0.688416,0.051086,-0.025146,-2.2498,353.8699,0
0.2200,851797,0.723145,-0.688416,0.049866,-0.026794,-2.0189,353.8302,0
0.2300,851807,0.723328,-0.688232,0.048584,-0.028320,-1.7938,353.8059,0
0.2400,851817,0.723633,-0.687927,0.047363,-0.029663,-1.5893,353.7921,0
0.2500,851827,0.724060,-0.687500,0.046204,-0.030945,-1.3958,353.7784,0
0.2600,851837,0.724365,-0.687195,0.045105,-0.032104,-1.2160,353.7696,0
0.2700,851847,0.724487,-0.687073,0.044067,-0.033203,-1.0444,353.7606,0
0.2800,851857,0.724304,-0.687256,0.043213,-0.034302,-0.8853,353.7366,0
0.2900,851867,0.723816,-0.687805,0.042419,-0.035522,-0.7187,353.6971,0
0.3000,851877,0.723022,-0.688599,0.041748,-0.036682,-0.5644,353.6533,0
0.3100,851887,0.722168,-0.689514,0.040955,-0.037964,-0.3896,353.6090,0
0.3200,851897,0.721436,-0.690247,0.040100,-0.039246,-0.2109,353.5703,0
0.3300,851907,0.721008,-0.690613,0.039001,-0.040649,-0.0054,353.5413,0
0.3400,851917,0.721008,-0.690613,0.037659,-0.041992,0.2118,353.5366,0
0.3500,851927,0.721313,-0.690308,0.036255,-0.043518,0.4457,353.5211,0
0.3600,851937,0.721619,-0.689941,0.034790,-0.045044,0.6844,353.5104,0
0.3700,851947,0.721802,-0.689697,0.033447,-0.046631,0.9189,353.4847,0
0.3800,851957,0.721802,-0.689697,0.032288,-0.048340,1.1500,353.4342,0
0.3900,851967,0.721497,-0.689880,0.031372,-0.050049,1.3630,353.3653,0
0.4000,851977,0.721008,-0.690308,0.030640,-0.051697,1.5581,353.2872,0
0.4100,851987,0.720398,-0.690857,0.030029,-0.053406,1.7492,353.1948,0
0.4200,851997,0.719849,-0.691345,0.029480,-0.055054,1.9301,353.1027,0
0.4300,852007,0.719421,-0.691711,0.028992,-0.056641,2.1000,353.0106,0
0.4400,852017,0.719299,-0.691711,0.028442,-0.058228,2.2716,352.9226,0
0.4500,852027,0.719482,-0.691406,0.027832,-0.059692,2.4355,352.8484,0
0.4600,852037,0.720520,-0.690125,0.026550,-0.062256,2.7322,352.7325,0
0.4700,852047,0.720947,-0.689575,0.025879,-0.063477,2.8791,352.6819,0
0.4800,852057,0.721252,-0.689209,0.025208,-0.064575,3.0180,352.6417,0
0.4900,852067,0.721497,-0.688843,0.024475,-0.065613,3.1572,352.6117,0
0.5000,852077,0.721680,-0.688660,0.023743,-0.066650,3.2980,352.5815,0
0.5100,852087,0.721924,-0.688293,0.022888,-0.067627,3.4425,352.5660,0
0.5200,852097,0.722168,-0.687927,0.021973,-0.068604,3.5921,352.5551,0
0.5300,852107,0.722473,-0.687561,0.021057,-0.069519,3.7367,352.5487,0
0.5400,852117,0.722717,-0.687256,0.020203,-0.070374,3.8720,352.5428,0
0.5500,852127,0.722656,-0.687256,0.019592,-0.071228,3.9903,352.5193,0
0.5600,852137,0.722473,-0.687378,0.019104,-0.072144,4.1045,352.4817,0
0.5700,852147,0.722168,-0.687561,0.018738,-0.073059,4.2094,352.4354,0
0.5800,852157,0.721985,-0.687683,0.018494,-0.073975,4.3034,352.3786,0
0.5900,852167,0.721924,-0.687683,0.018127,-0.074951,4.4111,352.3255,0
0.6000,852177,0.722046,-0.687439,0.017761,-0.075806,4.5066,352.2816,0
0.6100,852187,0.722412,-0.687012,0.017334,-0.076538,4.5955,352.2509,0
0.6200,852197,0.722839,-0.686462,0.016968,-0.077271,4.6780,352.2151,0
0.6300,852207,0.723083,-0.686157,0.016724,-0.077881,4.7433,352.1810,0
0.6400,852217,0.723267,-0.685913,0.016479,-0.078369,4.7996,352.1576,0
0.6500,852227,0.723267,-0.685852,0.016235,-0.078857,4.8579,352.1355,0
0.6600,852237,0.723206,-0.685852,0.016052,-0.079346,4.9117,352.1089,0
0.6700,852247,0.723083,-0.685974,0.015869,-0.079773,4.9620,352.0880,0
0.6800,852257,0.723022,-0.685974,0.015564,-0.080261,5.0260,352.0711,0
0.6900,852267,0.722961,-0.685974,0.015198,-0.080750,5.0951,352.0590,0
0.7000,852277,0.722900,-0.686035,0.014893,-0.081238,5.1597,352.0419,0
0.7100,852287,0.722778,-0.686096,0.014648,-0.081665,5.2145,352.0259,0
0.7200,852297,0.722290,-0.686462,0.014221,-0.082397,5.3122,352.0012,0
0.7300,852307,0.722046,-0.686768,0.014099,-0.082703,5.3497,351.9867,0
0.7400,852317,0.721802,-0.687012,0.014038,-0.082947,5.3768,351.9727,0
0.7500,852327,0.721558,-0.687195,0.014038,-0.083130,5.3934,351.9591,0
0.7600,852337,0.721375,-0.687378,0.014038,-0.083252,5.4051,351.9502,0
0.7700,852347,0.721252,-0.687500,0.013977,-0.083374,5.4212,351.9456,0
0.7800,852357,0.721313,-0.687439,0.013916,-0.083374,5.4256,351.9500,0
0.7900,852367,0.721375,-0.687378,0.013733,-0.083496,5.4498,351.9536,0
0.8000,852377,0.721313,-0.687378,0.013550,-0.083679,5.4796,351.9530,0
0.8100,852387,0.720825,-0.687927,0.013489,-0.083801,5.5004,351.9513,0
0.8200,852397,0.720032,-0.688721,0.013489,-0.083923,5.5189,351.9473,0
0.8300,852407,0.719116,-0.689697,0.013550,-0.083984,5.5296,351.9445,0
0.8400,852417,0.718079,-0.690735,0.013672,-0.083984,5.5312,351.9432,0
0.8500,852427,0.717224,-0.691650,0.013733,-0.083923,5.5314,351.9503,0
0.8600,852437,0.716675,-0.692261,0.013733,-0.083679,5.5188,351.9752,0
0.8700,852447,0.716553,-0.692383,0.013611,-0.083252,5.4961,352.0219,0
0.8800,852457,0.716980,-0.692017,0.013489,-0.082764,5.4631,352.0693,0
0.8900,852467,0.717651,-0.691467,0.013306,-0.082092,5.4185,352.1350,0
0.9000,852477,0.718201,-0.690918,0.013367,-0.081421,5.3541,352.1826,0
0.9100,852487,0.718567,-0.690613,0.013550,-0.080750,5.2822,352.2218,0
0.9200,852497,0.718628,-0.690613,0.013977,-0.080017,5.1885,352.2493,0
0.9300,852507,0.718506,-0.690857,0.014526,-0.079346,5.0922,352.2632,0
0.9400,852517,0.718445,-0.690979,0.015076,-0.078552,4.9849,352.2869,0
0.9500,852527,0.718567,-0.690918,0.015503,-0.077759,4.8858,352.3190,0
0.9600,852537,0.718872,-0.690674,0.015808,-0.076843,4.7851,352.3697,0
0.9700,852547,0.719666,-0.690125,0.016052,-0.074768,4.5940,352.5194,0
0.9800,852557,0.719971,-0.689880,0.016052,-0.073792,4.5139,352.5995,0
0.9900,852567,0.720215,-0.689697,0.015991,-0.072815,4.4395,352.6850,0
1.0000,852577,0.720398,-0.689636,0.015991,-0.071960,4.3709,352.7555,0
1.0100,852587,0.720459,-0.689697,0.015991,-0.071167,4.3084,352.8217,0
1.0200,852597,0.720337,-0.689819,0.016113,-0.070374,4.2366,352.8796,0
1.0300,852607,0.720215,-0.690063,0.016357,-0.069641,4.1606,352.9224,0
1.0400,852617,0.720032,-0.690308,0.016602,-0.068970,4.0894,352.9605,0
1.0500,852627,0.719971,-0.690430,0.016968,-0.068237,4.0021,352.9933,0
1.0600,852637,0.720032,-0.690430,0.017273,-0.067505,3.9187,353.0302,0
1.0700,852647,0.720276,-0.690308,0.017517,-0.066711,3.8341,353.0758,0
1.0800,852657,0.720642,-0.689941,0.017700,-0.065918,3.7526,353.1259,0
1.0900,852667,0.721191,-0.689453,0.017822,-0.065125,3.6748,353.1798,0
1.1000,852677,0.721680,-0.688965,0.017944,-0.064331,3.5973,353.2342,0
1.1100,852687,0.722107,-0.688599,0.018066,-0.063477,3.5160,353.2940,0
1.1200,852697,0.722412,-0.688416,0.018250,-0.062744,3.4410,353.3393,0
1.1300,852707,0.722473,-0.688354,0.018433,-0.061951,3.3626,353.3912,0
1.1400,852717,0.722473,-0.688416,0.018616,-0.061218,3.2899,353.4381,0
1.1500,852727,0.722534,-0.688477,0.018738,-0.060425,3.2174,353.4946,0
1.1600,852737,0.722534,-0.688477,0.018860,-0.059692,3.1494,353.5464,0
1.1700,852747,0.722656,-0.688477,0.018921,-0.058960,3.0862,353.6022,0
1.1800,852757,0.722778,-0.688354,0.018982,-0.058228,3.0222,353.6583,0
1.1900,852767,0.722900,-0.688293,0.019043,-0.057556,2.9634,353.7091,0
1.2000,852777,0.723022,-0.688171,0.019104,-0.056946,2.9091,353.7550,0
