# Sesion:8 Fecha:2026-04-21 18:59:53 Shots:0 Duracion:11,08s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,7683766,-0.711609,0.674255,-0.177246,0.087097,72.7771,5.6802,0
0.0100,7683776,-0.710144,0.676086,-0.174011,0.091064,72.8830,5.5104,0
0.0200,7683786,-0.708313,0.678284,-0.170410,0.095947,72.9866,5.2781,0
0.0300,7683796,-0.706360,0.680420,-0.166748,0.101624,73.1417,5.0343,0
0.0400,7683806,-0.704590,0.682190,-0.163025,0.107666,73.4178,4.8830,0
0.0500,7683816,-0.703247,0.683533,-0.159302,0.113464,73.7776,4.8072,0
0.0600,7683826,-0.702332,0.684448,-0.155640,0.118591,74.2148,4.8438,0
0.0700,7683836,-0.701660,0.685120,-0.152405,0.122681,74.6537,5.0270,0
0.0800,7683846,-0.700745,0.686035,-0.150146,0.125549,75.0167,5.3721,0
0.0900,7683856,-0.699768,0.687012,-0.148743,0.127319,75.3820,5.9902,0
0.1000,7683866,-0.699341,0.687500,-0.147827,0.128174,75.8035,6.6777,0
0.1100,7683876,-0.699524,0.687439,-0.147217,0.128174,76.2271,7.4048,0
0.1200,7683886,-0.699890,0.687195,-0.146973,0.127686,76.5984,8.0947,0
0.1300,7683896,-0.700134,0.687073,-0.146851,0.127258,76.9204,8.6944,0
0.1400,7683906,-0.700073,0.687256,-0.146484,0.127136,77.2169,9.2456,0
0.1500,7683916,-0.699829,0.687500,-0.145996,0.127319,77.5171,9.7925,0
0.1600,7683926,-0.699951,0.687439,-0.146118,0.127197,77.8163,10.3577,0
0.1700,7683936,-0.700073,0.687317,-0.146484,0.126709,78.0987,10.9331,0
0.1800,7683946,-0.700317,0.687195,-0.146790,0.125793,78.3597,11.5018,0
0.1900,7683956,-0.700562,0.687073,-0.146973,0.124695,78.6014,12.0375,0
0.2000,7683966,-0.700867,0.686951,-0.146973,0.123413,78.8300,12.5411,0
0.2100,7683976,-0.701233,0.686768,-0.147034,0.122314,79.0523,13.0037,0
0.2200,7683986,-0.701599,0.686584,-0.147095,0.121582,79.2675,13.4042,0
0.2300,7683996,-0.701782,0.686401,-0.147034,0.121277,79.4654,13.7347,0
0.2400,7684006,-0.701904,0.686279,-0.147034,0.121277,79.6456,14.0326,0
0.2500,7684016,-0.702026,0.686218,-0.147034,0.121277,79.8169,14.3091,0
0.2600,7684026,-0.702087,0.686096,-0.146851,0.121399,79.9879,14.5617,0
0.2700,7684036,-0.702271,0.685974,-0.146667,0.121338,80.1521,14.8058,0
0.2800,7684046,-0.702393,0.685913,-0.146484,0.121277,80.2980,15.0377,0
0.2900,7684056,-0.702393,0.685974,-0.146057,0.121277,80.4297,15.2432,0
0.3000,7684066,-0.702332,0.686157,-0.145508,0.121338,80.5514,15.4288,0
0.3100,7684076,-0.702393,0.686218,-0.145081,0.121155,80.6681,15.6146,0
0.3200,7684086,-0.702454,0.686279,-0.144958,0.120850,80.7783,15.8170,0
