# Sesion:4 Fecha:2026-04-21 18:26:20 Shots:0 Duracion:10,85s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,5748616,0.803406,-0.590942,0.072998,0.000488,65.6455,332.6382,0
0.0100,5748626,0.798523,-0.597717,0.070740,-0.006958,65.4416,333.1762,0
0.0200,5748636,0.793701,-0.604309,0.068176,-0.014587,65.3489,333.7644,0
0.0300,5748646,0.789185,-0.610291,0.065063,-0.022400,65.3897,334.3318,0
0.0400,5748656,0.785522,-0.615051,0.061279,-0.030334,65.6464,334.8875,0
0.0500,5748666,0.783020,-0.618225,0.056885,-0.038330,66.1594,335.4434,0
0.0600,5748676,0.781677,-0.619812,0.051941,-0.046143,66.9255,336.0170,0
0.0700,5748686,0.781372,-0.619995,0.046631,-0.053833,68.0172,336.6198,0
0.0800,5748696,0.781677,-0.619324,0.040955,-0.061279,69.1289,337.2586,0
0.0900,5748706,0.782043,-0.618408,0.035278,-0.068542,70.1619,337.9353,0
0.1000,5748716,0.781982,-0.617920,0.030029,-0.075928,71.0583,338.6421,0
0.1100,5748726,0.781067,-0.618286,0.025269,-0.083496,71.7835,339.3734,0
0.1200,5748736,0.779175,-0.619751,0.021057,-0.091309,72.3470,340.1371,0
0.1300,5748746,0.776245,-0.622314,0.017334,-0.099304,72.8052,340.9317,0
0.1400,5748756,0.768433,-0.629333,0.010681,-0.115417,73.2291,341.7597,0
0.1500,5748766,0.764343,-0.632874,0.007629,-0.123291,73.6815,342.6302,0
0.1600,5748776,0.760559,-0.635925,0.004639,-0.130981,74.2168,343.5463,0
0.1700,5748786,0.757202,-0.638306,0.001770,-0.138489,74.8647,344.5050,0
0.1800,5748796,0.754395,-0.640015,-0.001099,-0.145691,75.6099,345.5094,0
0.1900,5748806,0.751953,-0.641296,-0.003784,-0.152588,76.4123,346.5619,0
0.2000,5748816,0.749573,-0.642517,-0.006165,-0.159058,77.2245,347.6647,0
0.2100,5748826,0.747131,-0.643738,-0.008362,-0.165344,78.0199,348.7998,0
0.2200,5748836,0.744568,-0.645020,-0.010132,-0.171631,78.7794,349.9567,0
0.2300,5748846,0.741699,-0.646606,-0.011414,-0.177917,79.4787,351.1295,0
0.2400,5748856,0.738403,-0.648560,-0.012146,-0.184448,80.1073,352.3139,0
