# Sesion:17 Fecha:2026-04-05 21:33:31 Shots:1 Duracion:14,73s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
0.0000,426916,0.720886,-0.670471,0.159546,-0.073242,67.8827,0
0.0100,426926,0.720764,-0.670837,0.156738,-0.076843,68.4581,0
0.0200,426936,0.720886,-0.670959,0.153870,-0.080322,69.0713,0
0.0300,426946,0.721191,-0.670837,0.151001,-0.083801,69.7127,0
0.0400,426956,0.721619,-0.670593,0.148254,-0.087280,70.3403,0
0.0500,426966,0.721863,-0.670410,0.145569,-0.090698,70.9110,0
0.0600,426976,0.721863,-0.670593,0.143005,-0.093994,71.4069,0
0.0700,426986,0.721375,-0.671082,0.140686,-0.097229,71.8261,0
0.0800,426996,0.720459,-0.672058,0.138428,-0.100281,72.1876,0
0.0900,427006,0.719238,-0.673401,0.136292,-0.103149,72.5213,0
0.1000,427016,0.717773,-0.674927,0.134216,-0.105896,72.8567,0
0.1100,427026,0.715027,-0.677856,0.130127,-0.111206,73.2196,0
0.1200,427036,0.713989,-0.678833,0.128052,-0.113770,73.6323,0
0.1300,427046,0.713440,-0.679382,0.125977,-0.116333,74.1176,0
0.1400,427056,0.713379,-0.679443,0.123779,-0.118835,74.6781,0
0.1500,427066,0.713684,-0.679077,0.121582,-0.121338,75.2856,0
0.1600,427076,0.714050,-0.678589,0.119446,-0.123840,75.8927,0
0.1700,427086,0.714294,-0.678284,0.117493,-0.126282,76.4601,0
0.1800,427096,0.714233,-0.678223,0.115601,-0.128662,76.9709,0
0.1900,427106,0.713928,-0.678406,0.113831,-0.131104,77.4357,0
0.2000,427116,0.713440,-0.678650,0.112122,-0.133484,77.8769,0
0.2100,427126,0.713074,-0.678894,0.110352,-0.135803,78.3140,0
0.2200,427136,0.712830,-0.679016,0.108521,-0.138062,78.7711,0
0.2300,427146,0.712769,-0.678894,0.106628,-0.140320,79.2566,0
0.2400,427156,0.713013,-0.678528,0.104614,-0.142517,79.7727,0
0.2500,427166,0.713440,-0.677917,0.102539,-0.144592,80.3107,0
0.2600,427176,0.713928,-0.677246,0.100525,-0.146667,80.8643,0
0.2700,427186,0.714355,-0.676697,0.098572,-0.148682,81.3933,0
0.2800,427196,0.714600,-0.676208,0.096741,-0.150635,81.8811,0
0.2900,427206,0.714600,-0.676025,0.094971,-0.152588,82.3174,0
0.3000,427216,0.714355,-0.676086,0.093323,-0.154480,82.7070,0
0.3100,427226,0.713989,-0.676331,0.091736,-0.156372,83.0612,0
0.3200,427236,0.713379,-0.676697,0.090271,-0.158142,83.3741,0
0.3300,427246,0.712646,-0.677246,0.088745,-0.159973,83.6756,0
0.3400,427256,0.711853,-0.677856,0.087219,-0.161804,83.9717,0
0.3500,427266,0.711121,-0.678406,0.085571,-0.163635,84.2768,0
0.3600,427276,0.710388,-0.678894,0.083923,-0.165527,84.6054,0
0.3700,427286,0.709778,-0.679260,0.082153,-0.167358,84.9594,0
0.3800,427296,0.709351,-0.679443,0.080505,-0.169189,85.3402,0
0.3900,427306,0.709167,-0.679199,0.077393,-0.172607,85.7388,0
0.4000,427316,0.709167,-0.678955,0.076111,-0.174194,86.1276,0
0.4100,427326,0.708984,-0.678894,0.074951,-0.175781,86.4767,0
0.4200,427336,0.708496,-0.679077,0.073975,-0.177307,86.7721,0
0.4300,427346,0.707642,-0.679626,0.073120,-0.178833,87.0087,0
0.4400,427356,0.706604,-0.680420,0.072266,-0.180420,87.2072,0
0.4500,427366,0.705566,-0.681152,0.071350,-0.181885,87.4065,0
0.4600,427376,0.704590,-0.681885,0.070435,-0.183411,87.6182,0
0.4700,427386,0.703796,-0.682434,0.069519,-0.184753,87.8551,0
0.4800,427396,0.703186,-0.682800,0.068542,-0.186035,88.1227,0
0.4900,427406,0.702820,-0.682983,0.067627,-0.187195,88.4141,0
0.5000,427416,0.702576,-0.683044,0.066833,-0.188171,88.7175,0
0.5100,427426,0.702332,-0.683044,0.066223,-0.189087,89.0078,0
0.5200,427436,0.702087,-0.683167,0.065735,-0.189880,89.2701,0
0.5300,427446,0.701721,-0.683411,0.065308,-0.190613,89.5112,0
0.5400,427456,0.701355,-0.683594,0.064880,-0.191223,89.7478,0
0.5500,427466,0.701111,-0.683777,0.064331,-0.191895,89.9991,0
0.5600,427476,0.700928,-0.683777,0.063721,-0.192505,90.2606,0
0.5700,427486,0.700806,-0.683777,0.063049,-0.193115,90.5260,0
0.5800,427496,0.700684,-0.683838,0.062439,-0.193726,90.7849,0
0.5900,427506,0.700562,-0.683838,0.061768,-0.194336,91.0255,0
0.6000,427516,0.700439,-0.683899,0.061523,-0.194641,91.2388,0
0.6100,427526,0.700378,-0.683899,0.061401,-0.194946,91.4284,0
0.6200,427536,0.700256,-0.683960,0.061401,-0.195068,91.5931,0
0.6300,427546,0.700073,-0.684143,0.061523,-0.195129,91.7341,0
0.6400,427556,0.699707,-0.684509,0.061584,-0.195190,91.8568,0
0.6500,427566,0.699341,-0.684875,0.061768,-0.195190,91.9721,0
0.6600,427576,0.698975,-0.685181,0.062012,-0.195068,92.0934,0
0.6700,427586,0.698730,-0.685547,0.062561,-0.194519,92.2360,0
0.6800,427596,0.698975,-0.685486,0.062805,-0.194031,92.4015,0
0.6900,427606,0.699341,-0.685181,0.063110,-0.193481,92.5792,0
0.7000,427616,0.699768,-0.684875,0.063354,-0.192810,92.7604,0
0.7100,427626,0.700317,-0.684509,0.063782,-0.192139,92.9401,0
0.7200,427636,0.700989,-0.684021,0.064392,-0.191284,93.1085,0
0.7300,427646,0.701660,-0.683472,0.065002,-0.190430,93.2605,0
0.7400,427656,0.702271,-0.683105,0.065674,-0.189575,93.3796,0
0.7500,427666,0.702576,-0.682861,0.066406,-0.188782,93.4551,0
0.7600,427676,0.702637,-0.682983,0.067200,-0.187988,93.4825,0
0.7700,427686,0.702576,-0.683228,0.068115,-0.187073,93.4786,0
0.7800,427696,0.702576,-0.683350,0.069153,-0.186157,93.4643,0
0.7900,427706,0.702698,-0.683411,0.070251,-0.185120,93.4605,0
0.8000,427716,0.702942,-0.683289,0.071350,-0.184082,93.4700,0
0.8100,427726,0.703369,-0.683044,0.072388,-0.182983,93.4887,0
