# Sesion:3 Fecha:2026-04-05 21:12:05 Shots:1 Duracion:11,71s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
0.7100,1233566,0.491516,-0.319946,-0.595886,0.548584,93.8892,0
0.7200,1233576,0.491089,-0.320313,-0.595764,0.548950,94.1089,0
0.7300,1233586,0.490540,-0.320923,-0.595764,0.549011,94.2783,0
0.7400,1233596,0.490112,-0.321716,-0.595703,0.549011,94.4212,0
0.7500,1233606,0.489685,-0.322571,-0.595642,0.548950,94.5454,0
0.7600,1233616,0.489197,-0.323547,-0.595581,0.548889,94.6543,0
0.7700,1233626,0.488770,-0.324463,-0.595459,0.548828,94.7610,0
0.7800,1233636,0.488403,-0.325317,-0.595154,0.549072,94.8961,0
0.7900,1233646,0.488037,-0.325928,-0.594543,0.549622,95.0704,0
0.8000,1233656,0.487732,-0.326416,-0.593689,0.550537,95.2761,0
0.8100,1233666,0.487366,-0.326843,-0.592712,0.551636,95.4823,0
0.8200,1233676,0.486938,-0.327454,-0.591797,0.552673,95.6571,0
0.8300,1233686,0.486450,-0.328247,-0.590942,0.553528,95.7781,0
0.8400,1233696,0.485901,-0.329163,-0.590393,0.554077,95.8501,0
0.8500,1233706,0.485229,-0.330261,-0.589905,0.554504,95.8805,0
0.8600,1233716,0.484436,-0.331543,-0.589355,0.555054,95.8800,0
0.8700,1233726,0.483582,-0.332764,-0.588806,0.555603,95.8761,0
0.8800,1233736,0.482666,-0.333984,-0.588196,0.556335,95.8718,0
0.8900,1233746,0.481812,-0.335083,-0.587585,0.557068,95.8708,0
0.9000,1233756,0.480957,-0.335999,-0.586792,0.558044,95.8877,0
0.9100,1233766,0.480164,-0.336731,-0.585937,0.559204,95.9449,0
0.9200,1233776,0.479492,-0.337402,-0.585022,0.560364,95.9697,0
0.9300,1233786,0.478760,-0.338196,-0.584106,0.561462,95.9393,0
0.9400,1233796,0.477844,-0.339233,-0.583374,0.562317,95.8469,0
0.9500,1233806,0.476746,-0.340576,-0.582886,0.562927,95.7177,0
0.9600,1233816,0.475586,-0.342224,-0.582458,0.563416,95.5836,0
0.9700,1233826,0.474365,-0.343811,-0.581970,0.563965,95.4646,0
0.9800,1233836,0.472107,-0.346924,-0.580688,0.565308,95.3609,0
0.9900,1233846,0.471069,-0.348267,-0.579956,0.566101,95.2642,0
1.0000,1233856,0.470154,-0.349487,-0.579224,0.566833,95.1653,0
1.0100,1233866,0.469238,-0.350708,-0.578552,0.567505,95.0590,0
1.0200,1233876,0.468323,-0.351929,-0.578003,0.568054,94.9338,0
1.0300,1233886,0.467407,-0.353210,-0.577576,0.568481,94.7841,0
1.0400,1233896,0.466492,-0.354492,-0.577209,0.568787,94.6230,0
1.0500,1233906,0.465576,-0.355713,-0.576782,0.569214,94.4683,0
1.0600,1233916,0.464783,-0.356750,-0.576294,0.569702,94.3399,0
1.0700,1233926,0.464050,-0.357605,-0.575745,0.570374,94.2348,0
1.0800,1233936,0.463257,-0.358398,-0.575256,0.570984,94.1304,0
1.0900,1233946,0.462524,-0.359131,-0.574829,0.571594,94.0183,0
1.1000,1233956,0.461670,-0.359985,-0.574463,0.572021,93.8801,0
1.1100,1233966,0.460754,-0.361084,-0.574341,0.572266,93.6938,0
1.1200,1233976,0.459595,-0.362488,-0.574402,0.572205,93.4574,0
1.1300,1233986,0.458313,-0.364014,-0.574646,0.572021,93.1934,0
1.1400,1233996,0.457153,-0.365479,-0.574829,0.571838,92.9395,0
1.1500,1234006,0.456177,-0.366577,-0.574829,0.571960,92.7424,0
1.1600,1234016,0.455444,-0.367371,-0.574585,0.572266,92.6108,0
1.1700,1234026,0.454895,-0.367920,-0.574158,0.572754,92.5216,0
1.1800,1234036,0.454407,-0.368347,-0.573730,0.573303,92.4414,0
1.1900,1234046,0.453918,-0.368896,-0.573364,0.573669,92.3169,0
1.2000,1234056,0.453369,-0.369751,-0.573120,0.573853,92.1846,0
1.2100,1234066,0.452820,-0.370667,-0.572937,0.573914,92.0629,0
1.2200,1234076,0.452393,-0.371460,-0.572693,0.573914,91.9500,0
1.2300,1234086,0.452087,-0.372192,-0.572388,0.573975,91.8455,0
1.2400,1234096,0.451904,-0.372864,-0.572083,0.573975,91.7378,0
1.2500,1234106,0.451782,-0.373474,-0.571838,0.573975,91.6260,0
1.2600,1234116,0.451660,-0.374573,-0.571472,0.573669,91.5119,0
1.2700,1234126,0.451599,-0.375061,-0.571350,0.573547,91.4051,0
1.2800,1234136,0.451477,-0.375366,-0.571106,0.573669,91.3238,0
1.2900,1234146,0.451294,-0.375549,-0.570801,0.573975,91.2643,0
1.3000,1234156,0.451111,-0.375671,-0.570496,0.574402,91.2165,0
1.3100,1234166,0.450928,-0.375732,-0.570190,0.574768,91.1674,0
1.3200,1234176,0.450623,-0.375793,-0.570068,0.575073,91.1045,0
1.3300,1234186,0.450317,-0.375977,-0.570129,0.575195,91.0097,0
1.3400,1234196,0.449829,-0.376343,-0.570374,0.575012,90.8768,0
1.3500,1234206,0.449341,-0.376770,-0.570679,0.574829,90.7333,0
1.3600,1234216,0.448914,-0.377197,-0.570923,0.574646,90.6069,0
