# Sesion:12 Fecha:2026-04-05 21:30:06 Shots:1 Duracion:12,35s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
0.0000,229456,0.708374,-0.687378,0.150940,-0.053772,67.0218,0
0.0100,229466,0.708313,-0.687805,0.148315,-0.056580,67.5876,0
0.0200,229476,0.708313,-0.688110,0.145691,-0.059387,68.1666,0
0.0300,229486,0.708313,-0.688416,0.143188,-0.062256,68.7385,0
0.0400,229496,0.708252,-0.688721,0.140747,-0.065002,69.2834,0
0.0500,229506,0.707886,-0.689331,0.138367,-0.067749,69.7867,0
0.0600,229516,0.707275,-0.690125,0.136047,-0.070435,70.1976,0
0.0700,229526,0.706360,-0.691223,0.133789,-0.072998,70.5877,0
0.0800,229536,0.705322,-0.692444,0.131653,-0.075500,70.9907,0
0.0900,229546,0.704407,-0.693542,0.129456,-0.078003,71.4299,0
0.1000,229556,0.703674,-0.694397,0.127197,-0.080505,71.9211,0
0.1100,229566,0.703308,-0.694946,0.124939,-0.082947,72.4760,0
0.1200,229576,0.703735,-0.694763,0.119995,-0.087463,73.0723,0
0.1300,229586,0.704224,-0.694458,0.117493,-0.089539,73.6682,0
0.1400,229596,0.704468,-0.694336,0.115051,-0.091553,74.2150,0
0.1500,229606,0.704407,-0.694519,0.112793,-0.093445,74.7015,0
0.1600,229616,0.704163,-0.694885,0.110718,-0.095276,75.1425,0
0.1700,229626,0.703796,-0.695312,0.108643,-0.097046,75.5663,0
0.1800,229636,0.703491,-0.695679,0.106506,-0.098877,75.9953,0
0.1900,229646,0.703308,-0.695923,0.104370,-0.100708,76.4429,0
0.2000,229656,0.702881,-0.696472,0.102112,-0.102600,76.9146,0
0.2100,229666,0.702515,-0.696838,0.099792,-0.104553,77.4003,0
0.2200,229676,0.702820,-0.696533,0.097778,-0.106323,77.8992,0
0.2300,229686,0.703186,-0.696228,0.095825,-0.108032,78.3954,0
0.2400,229696,0.703430,-0.695862,0.094116,-0.109802,78.8709,0
0.2500,229706,0.703613,-0.695679,0.092529,-0.111511,79.3103,0
0.2600,229716,0.703552,-0.695618,0.091187,-0.113159,79.7098,0
