# Sesion:42 Fecha:2026-04-16 18:15:56 Shots:1 Duracion:12,78s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,2081106,-0.665283,0.689453,0.145142,-0.247009,70.3377,302.7330,0
0.0100,2081116,-0.666260,0.689209,0.146362,-0.244263,70.6987,303.2786,0
0.0200,2081126,-0.667236,0.688965,0.147583,-0.241516,71.0734,303.8283,0
0.0300,2081136,-0.668274,0.688660,0.148682,-0.238892,71.4805,304.3836,0
0.0400,2081146,-0.670776,0.687378,0.150513,-0.234314,71.9208,304.9400,0
0.0500,2081156,-0.672241,0.686462,0.151245,-0.232239,72.3831,305.4964,0
0.0600,2081166,-0.673706,0.685608,0.151978,-0.230103,72.8396,306.0467,0
0.0700,2081176,-0.675171,0.684692,0.152832,-0.227905,73.2638,306.5902,0
0.0800,2081186,-0.676453,0.684021,0.153748,-0.225586,73.6510,307.1223,0
0.0900,2081196,-0.677551,0.683472,0.154724,-0.223206,74.0060,307.6484,0
0.1000,2081206,-0.678589,0.683044,0.155640,-0.220703,74.3404,308.1708,0
0.1100,2081216,-0.679565,0.682678,0.156616,-0.218262,74.6676,308.6913,0
0.1200,2081226,-0.680481,0.682251,0.157471,-0.216003,75.0012,309.2092,0
0.1300,2081236,-0.681458,0.681824,0.158325,-0.213806,75.3366,309.7265,0
0.1400,2081246,-0.682373,0.681335,0.159119,-0.211670,75.6695,310.2427,0
0.1500,2081256,-0.683350,0.680847,0.159973,-0.209595,75.9965,310.7565,0
0.1600,2081266,-0.684143,0.680420,0.160889,-0.207581,76.3029,311.2680,0
0.1700,2081276,-0.684814,0.680115,0.161804,-0.205627,76.5876,311.7775,0
0.1800,2081286,-0.685425,0.679810,0.162842,-0.203796,76.8616,312.2836,0
0.1900,2081296,-0.685974,0.679504,0.163940,-0.202087,77.1386,312.7792,0
0.2000,2081306,-0.686584,0.679077,0.165039,-0.200439,77.4349,313.2812,0
0.2100,2081316,-0.687256,0.678650,0.166138,-0.198853,77.7372,313.7765,0
0.2200,2081326,-0.687866,0.678162,0.167236,-0.197266,78.0428,314.2663,0
0.2300,2081336,-0.688599,0.677673,0.168396,-0.195679,78.3456,314.7470,0
0.2400,2081346,-0.689209,0.677185,0.169434,-0.194092,78.6391,315.2234,0
0.2500,2081356,-0.689819,0.676819,0.170410,-0.192444,78.9216,315.6939,0
0.2600,2081366,-0.690369,0.676453,0.171265,-0.190796,79.1915,316.1682,0
0.2700,2081376,-0.690918,0.676147,0.172119,-0.189209,79.4627,316.6339,0
0.2800,2081386,-0.691467,0.675842,0.172913,-0.187622,79.7334,317.0911,0
0.2900,2081396,-0.692017,0.675476,0.173767,-0.186035,79.9976,317.5385,0
0.3000,2081406,-0.692566,0.675171,0.174622,-0.184509,80.2508,317.9808,0
0.3100,2081416,-0.692993,0.674866,0.175537,-0.183105,80.5072,318.4177,0
0.3200,2081426,-0.693481,0.674500,0.176453,-0.181763,80.7731,318.8504,0
0.3300,2081436,-0.694641,0.673401,0.178223,-0.179443,81.0524,319.2815,0
0.3400,2081446,-0.695312,0.672791,0.179077,-0.178467,81.3395,319.7106,0
0.3500,2081456,-0.695984,0.672119,0.179810,-0.177551,81.6250,320.1346,0
0.3600,2081466,-0.696594,0.671509,0.180603,-0.176636,81.8991,320.5450,0
0.3700,2081476,-0.697205,0.670898,0.181458,-0.175720,82.1580,320.9441,0
0.3800,2081486,-0.697632,0.670471,0.182312,-0.174805,82.3938,321.3320,0
0.3900,2081496,-0.697876,0.670227,0.183228,-0.173767,82.5967,321.7086,0
