# Sesion:28 Fecha:2026-04-16 18:06:19 Shots:0 Duracion:11,85s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,1525456,-0.698853,0.708923,-0.002441,-0.095154,71.6035,326.8117,135
0.0100,1525466,-0.699951,0.708191,-0.000244,-0.092285,72.0431,327.3285,0
0.0200,1525476,-0.701233,0.707275,0.002014,-0.089539,72.5014,327.8432,0
0.0300,1525486,-0.702515,0.706360,0.004333,-0.086792,72.9611,328.3564,0
0.0400,1525496,-0.703735,0.705383,0.006653,-0.084106,73.4001,328.8695,0
0.0500,1525506,-0.704895,0.704590,0.009033,-0.081482,73.7955,329.3788,0
0.0600,1525516,-0.705688,0.704041,0.011414,-0.078796,74.1449,329.8917,0
0.0700,1525526,-0.706238,0.703735,0.013794,-0.076111,74.4732,330.4055,0
0.0800,1525536,-0.706604,0.703613,0.016052,-0.073425,74.8032,330.9167,0
0.0900,1525546,-0.706909,0.703491,0.018372,-0.070740,75.1503,331.4207,0
0.1000,1525556,-0.707336,0.703247,0.020630,-0.068054,75.5233,331.9214,0
0.1100,1525566,-0.708557,0.702393,0.025146,-0.062622,75.9131,332.4212,0
0.1200,1525576,-0.709229,0.701904,0.027344,-0.059937,76.3082,332.9251,0
0.1300,1525586,-0.709778,0.701477,0.029358,-0.057251,76.6922,333.4340,0
0.1400,1525596,-0.710327,0.701111,0.031311,-0.054565,77.0650,333.9523,0
0.1500,1525606,-0.710693,0.700806,0.033142,-0.051941,77.4196,334.4767,0
0.1600,1525616,-0.710876,0.700745,0.034851,-0.049255,77.7402,335.0069,0
0.1700,1525626,-0.710693,0.700989,0.036499,-0.046631,78.0176,335.5382,0
0.1800,1525636,-0.710266,0.701477,0.038147,-0.044006,78.2535,336.0690,0
0.1900,1525646,-0.709717,0.702148,0.039795,-0.041321,78.4696,336.5951,0
0.2000,1525656,-0.709229,0.702698,0.041443,-0.038635,78.7053,337.1150,0
0.2100,1525666,-0.708984,0.702942,0.043091,-0.036011,78.9947,337.6282,0
0.2200,1525676,-0.709167,0.702881,0.044739,-0.033508,79.3399,338.1442,0
0.2300,1525686,-0.709534,0.702454,0.046326,-0.031128,79.7270,338.6627,0
0.2400,1525696,-0.710022,0.701965,0.047791,-0.028809,80.1281,339.1888,0
0.2500,1525706,-0.710388,0.701538,0.049194,-0.026611,80.5122,339.7281,0
0.2600,1525716,-0.710693,0.701294,0.050415,-0.024536,80.8702,340.2769,0
0.2700,1525726,-0.710754,0.701172,0.051514,-0.022583,81.2066,340.8497,0
0.2800,1525736,-0.710693,0.701233,0.052551,-0.020752,81.5179,341.4236,0
0.2900,1525746,-0.710571,0.701294,0.053589,-0.019104,81.8105,341.9961,0
0.3000,1525756,-0.710388,0.701477,0.054626,-0.017639,82.0937,342.5641,0
0.3100,1525766,-0.710327,0.701477,0.055603,-0.016296,82.3870,343.1257,0
0.3200,1525776,-0.710388,0.701355,0.056702,-0.015137,82.7088,343.6780,0
0.3300,1525786,-0.710693,0.700989,0.057739,-0.014099,83.0713,344.2198,0
0.3400,1525796,-0.711121,0.700500,0.058838,-0.013123,83.4221,344.7414,0
0.3500,1525806,-0.711487,0.700012,0.059998,-0.012207,83.7617,345.2402,0
0.3600,1525816,-0.711853,0.699524,0.061218,-0.011292,84.0848,345.7234,0
0.3700,1525826,-0.712158,0.699158,0.062439,-0.010437,84.3873,346.1899,0
0.3800,1525836,-0.712402,0.698853,0.063599,-0.009521,84.6692,346.6423,0
0.3900,1525846,-0.712463,0.698669,0.064697,-0.008545,84.9345,347.0862,0
0.4000,1525856,-0.712524,0.698425,0.066711,-0.006592,85.1893,347.5164,0
0.4100,1525866,-0.712524,0.698303,0.067688,-0.005615,85.4389,347.9364,0
0.4200,1525876,-0.712585,0.698181,0.068604,-0.004578,85.6846,348.3477,0
0.4300,1525886,-0.712646,0.698059,0.069397,-0.003540,85.9346,348.7488,0
0.4400,1525896,-0.712891,0.697754,0.070251,-0.002563,86.1949,349.1411,0
0.4500,1525906,-0.713196,0.697388,0.071045,-0.001587,86.4706,349.5235,0
0.4600,1525916,-0.713562,0.696899,0.071899,-0.000732,86.7536,349.9022,0
0.4700,1525926,-0.714050,0.696350,0.072693,0.000061,87.0394,350.2752,0
0.4800,1525936,-0.714478,0.695801,0.073486,0.000793,87.3195,350.6418,0
0.4900,1525946,-0.714905,0.695312,0.074219,0.001526,87.5812,351.0004,0
0.5000,1525956,-0.715088,0.694946,0.074951,0.002258,87.8123,351.3520,0
0.5100,1525966,-0.715210,0.694763,0.075623,0.002930,88.0167,351.6976,0
0.5200,1525976,-0.715210,0.694763,0.076233,0.003601,88.1950,352.0369,0
0.5300,1525986,-0.715149,0.694763,0.076721,0.004333,88.3564,352.3697,0
0.5400,1525996,-0.715088,0.694763,0.077271,0.005066,88.5117,352.6919,0
0.5500,1526006,-0.715027,0.694763,0.077759,0.005737,88.6696,353.0031,0
0.5600,1526016,-0.715027,0.694702,0.078308,0.006409,88.8314,353.3099,0
0.5700,1526026,-0.715027,0.694641,0.078857,0.007019,88.9918,353.6129,0
0.5800,1526036,-0.715088,0.694458,0.079346,0.007507,89.1615,353.9176,0
0.5900,1526046,-0.715271,0.694275,0.079773,0.007813,89.3437,354.2219,0
0.6000,1526056,-0.715515,0.693970,0.080139,0.007996,89.5323,354.5289,0
0.6100,1526066,-0.715698,0.693665,0.080505,0.008179,89.7068,354.8265,0
0.6200,1526076,-0.715820,0.693542,0.080750,0.008362,89.8347,355.1182,0
0.6300,1526086,-0.715820,0.693542,0.080994,0.008484,89.9420,355.3996,0
