# Sesion:34 Fecha:2026-04-16 18:10:35 Shots:1 Duracion:12,76s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,1771786,-0.691040,0.703369,0.055603,-0.156860,71.0859,317.0740,0
0.0100,1771796,-0.692139,0.702698,0.056946,-0.154602,71.5037,317.6727,0
0.0200,1771806,-0.693420,0.701843,0.058228,-0.152405,71.9400,318.2674,0
0.0300,1771816,-0.694702,0.700928,0.059509,-0.150269,72.3801,318.8588,0
0.0400,1771826,-0.695862,0.700073,0.060791,-0.148193,72.7977,319.4417,0
0.0500,1771836,-0.696838,0.699402,0.062073,-0.146057,73.1786,320.0129,0
0.0600,1771846,-0.697632,0.698975,0.063416,-0.143982,73.5173,320.5761,0
0.0700,1771856,-0.698181,0.698669,0.064819,-0.141907,73.8155,321.1326,0
0.0800,1771866,-0.698669,0.698486,0.066223,-0.139832,74.1096,321.6801,0
0.0900,1771876,-0.699158,0.698303,0.067688,-0.137878,74.3980,322.2159,0
0.1000,1771886,-0.699585,0.698120,0.069153,-0.135864,74.6953,322.7416,0
0.1100,1771896,-0.700073,0.697876,0.070618,-0.133911,75.0016,323.2614,0
0.1200,1771906,-0.700562,0.697571,0.072083,-0.132019,75.3032,323.7816,0
0.1300,1771916,-0.701050,0.697266,0.073486,-0.130249,75.5922,324.2990,0
0.1400,1771926,-0.701782,0.696838,0.076172,-0.126892,75.8786,324.8132,0
0.1500,1771936,-0.702209,0.696594,0.077454,-0.125305,76.1721,325.3214,0
0.1600,1771946,-0.702698,0.696228,0.078674,-0.123779,76.4824,325.8231,0
0.1700,1771956,-0.703308,0.695740,0.079895,-0.122314,76.8021,326.3194,0
0.1800,1771966,-0.703918,0.695190,0.081055,-0.120911,77.1241,326.8094,0
0.1900,1771976,-0.704468,0.694763,0.082214,-0.119446,77.4270,327.2878,0
0.2000,1771986,-0.704834,0.694458,0.083374,-0.118042,77.6994,327.7618,0
0.2100,1771996,-0.705078,0.694336,0.084412,-0.116638,77.9378,328.2325,0
0.2200,1772006,-0.705139,0.694397,0.085449,-0.115234,78.1540,328.6996,0
0.2300,1772016,-0.705078,0.694580,0.086426,-0.113892,78.3564,329.1635,0
0.2400,1772026,-0.704956,0.694763,0.087402,-0.112610,78.5485,329.6214,0
0.2500,1772036,-0.704834,0.695007,0.088318,-0.111389,78.7380,330.0694,0
0.2600,1772046,-0.704773,0.695129,0.089355,-0.110168,78.9375,330.5031,0
0.2700,1772056,-0.704834,0.695129,0.090332,-0.108948,79.1511,330.9227,0
0.2800,1772066,-0.705017,0.695007,0.091370,-0.107788,79.3889,331.3271,0
0.2900,1772076,-0.705383,0.694641,0.092407,-0.106567,79.6539,331.7197,0
0.3000,1772086,-0.705872,0.694153,0.093506,-0.105408,79.9399,332.1055,0
0.3100,1772096,-0.706360,0.693726,0.094543,-0.104187,80.2222,332.4760,0
0.3200,1772106,-0.706726,0.693359,0.095703,-0.102905,80.4897,332.8351,0
0.3300,1772116,-0.706970,0.693176,0.096802,-0.101563,80.7348,333.1845,0
0.3400,1772126,-0.707153,0.692993,0.097900,-0.100220,80.9496,333.5331,0
0.3500,1772136,-0.707214,0.692993,0.098877,-0.098816,81.1470,333.8813,0
0.3600,1772146,-0.707275,0.692993,0.099854,-0.097534,81.3521,334.2369,0
0.3700,1772156,-0.707336,0.692993,0.100769,-0.096252,81.5671,334.5890,0
0.3800,1772166,-0.707458,0.692871,0.101685,-0.095093,81.7782,334.9309,0
0.3900,1772176,-0.707581,0.692810,0.102600,-0.093933,81.9774,335.2622,0
0.4000,1772186,-0.707642,0.692749,0.103638,-0.092896,82.1630,335.5851,0
0.4100,1772196,-0.707581,0.692749,0.104736,-0.091797,82.3493,335.9060,0
0.4200,1772206,-0.707581,0.692749,0.105774,-0.090698,82.5503,336.2224,0
0.4300,1772216,-0.707764,0.692505,0.107849,-0.088806,82.7720,336.5407,0
0.4400,1772226,-0.708008,0.692200,0.108826,-0.087952,83.0084,336.8571,0
0.4500,1772236,-0.708313,0.691833,0.109741,-0.087097,83.2549,337.1668,0
0.4600,1772246,-0.708618,0.691467,0.110596,-0.086304,83.4983,337.4679,0
0.4700,1772256,-0.708923,0.691162,0.111511,-0.085449,83.7328,337.7651,0
0.4800,1772266,-0.709167,0.690857,0.112366,-0.084595,83.9541,338.0531,0
0.4900,1772276,-0.709351,0.690674,0.113220,-0.083618,84.1594,338.3275,0
0.5000,1772286,-0.709473,0.690491,0.114014,-0.082520,84.3448,338.5912,0
0.5100,1772296,-0.709473,0.690552,0.114868,-0.081360,84.5064,338.8468,0
0.5200,1772306,-0.709290,0.690735,0.115723,-0.080139,84.6324,339.0979,0
0.5300,1772316,-0.708923,0.691101,0.116577,-0.078918,84.7306,339.3452,0
0.5400,1772326,-0.708496,0.691528,0.117493,-0.077698,84.8244,339.5919,0
0.5500,1772336,-0.708069,0.691895,0.118408,-0.076599,84.9280,339.8457,0
0.5600,1772346,-0.707886,0.692078,0.119263,-0.075684,85.0671,340.1079,0
0.5700,1772356,-0.707947,0.691895,0.119995,-0.074951,85.2584,340.3763,0
0.5800,1772366,-0.708374,0.691406,0.120728,-0.074341,85.5016,340.6483,0
0.5900,1772376,-0.708984,0.690796,0.121399,-0.073914,85.7687,340.9223,0
0.6000,1772386,-0.709473,0.690186,0.122009,-0.073486,86.0198,341.1918,0
