# Sesion:63 Fecha:2026-04-16 18:31:16 Shots:1 Duracion:12,17s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,2968016,-0.578186,0.629639,0.323120,-0.406067,70.8267,271.9503,0
0.0100,2968026,-0.580627,0.628296,0.324402,-0.403564,71.2734,272.4601,0
0.0200,2968036,-0.582764,0.627319,0.325684,-0.401001,71.6689,272.9865,0
0.0300,2968046,-0.584595,0.626587,0.327026,-0.398376,72.0195,273.5332,0
0.0400,2968056,-0.586243,0.626099,0.328308,-0.395630,72.3446,274.0936,0
0.0500,2968066,-0.587769,0.625671,0.329529,-0.392944,72.6777,274.6849,0
0.0600,2968076,-0.589355,0.625244,0.330811,-0.390320,73.0212,275.2770,0
0.0700,2968086,-0.590942,0.624573,0.331970,-0.387878,73.3846,275.8649,0
0.0800,2968096,-0.592651,0.623840,0.333130,-0.385498,73.7645,276.4494,0
0.0900,2968106,-0.594299,0.622986,0.334290,-0.383301,74.1559,277.0331,0
0.1000,2968116,-0.596008,0.622070,0.335327,-0.381226,74.5541,277.6184,0
0.1100,2968126,-0.597595,0.621216,0.336426,-0.379211,74.9367,278.2140,0
0.1200,2968136,-0.599060,0.620422,0.337402,-0.377319,75.3008,278.8075,0
0.1300,2968146,-0.600403,0.619690,0.338379,-0.375488,75.6463,279.3954,0
0.1400,2968156,-0.601685,0.619019,0.339417,-0.373657,75.9793,279.9683,0
0.1500,2968166,-0.602905,0.618347,0.340454,-0.371765,76.3065,280.5272,0
0.1600,2968176,-0.604065,0.617676,0.341614,-0.369934,76.6299,281.0744,0
0.1700,2968186,-0.605225,0.617004,0.342773,-0.368103,76.9575,281.6124,0
0.1800,2968196,-0.607483,0.615356,0.345276,-0.364807,77.2930,282.1468,0
0.1900,2968206,-0.608704,0.614380,0.346436,-0.363342,77.6488,282.6819,0
0.2000,2968216,-0.609924,0.613281,0.347534,-0.362000,78.0243,283.2147,0
0.2100,2968226,-0.611267,0.612122,0.348511,-0.360840,78.4148,283.7448,0
0.2200,2968236,-0.612610,0.610901,0.349487,-0.359680,78.8030,284.2686,0
0.2300,2968246,-0.613831,0.609802,0.350464,-0.358582,79.1713,284.7852,0
0.2400,2968256,-0.614868,0.608826,0.351501,-0.357361,79.5082,285.2939,0
0.2500,2968266,-0.615845,0.608032,0.352539,-0.356079,79.8102,285.7907,0
0.2600,2968276,-0.616638,0.607361,0.353638,-0.354675,80.0834,286.2826,0
0.2700,2968286,-0.617310,0.606934,0.354736,-0.353149,80.3323,286.7659,0
0.2800,2968296,-0.617920,0.606567,0.355835,-0.351624,80.5705,287.2429,0
0.2900,2968306,-0.618591,0.606140,0.356873,-0.350159,80.8151,287.7103,0
0.3000,2968316,-0.619385,0.605591,0.357788,-0.348755,81.0867,288.1698,0
0.3100,2968326,-0.620422,0.604797,0.358582,-0.347473,81.3915,288.6177,0
0.3200,2968336,-0.621582,0.603821,0.359375,-0.346313,81.7220,289.0540,0
0.3300,2968346,-0.622742,0.602783,0.360168,-0.345154,82.0502,289.4781,0
0.3400,2968356,-0.623779,0.601807,0.361084,-0.343933,82.3654,289.9040,0
0.3500,2968366,-0.624695,0.601013,0.362000,-0.342773,82.6560,290.3258,0
0.3600,2968376,-0.625488,0.600342,0.362976,-0.341492,82.9182,290.7474,0
0.3700,2968386,-0.626038,0.599854,0.363953,-0.340271,83.1500,291.1709,0
0.3800,2968396,-0.626465,0.599487,0.364929,-0.338989,83.3624,291.5934,0
0.3900,2968406,-0.626953,0.599182,0.365906,-0.337769,83.5741,292.0125,0
0.4000,2968416,-0.627441,0.598694,0.366760,-0.336670,83.8405,292.4213,0
0.4100,2968426,-0.628113,0.598022,0.367615,-0.335693,84.1355,292.8158,0
0.4200,2968436,-0.628967,0.597107,0.368347,-0.334900,84.4471,293.2024,0
0.4300,2968446,-0.629883,0.596130,0.369080,-0.334167,84.7524,293.5832,0
0.4400,2968456,-0.630859,0.595093,0.369690,-0.333435,85.0387,293.9555,0
0.4500,2968466,-0.631775,0.594238,0.370300,-0.332581,85.2993,294.3168,0
0.4600,2968476,-0.632629,0.593445,0.371033,-0.331665,85.5408,294.6688,0
0.4700,2968486,-0.634033,0.592041,0.372498,-0.329773,85.7755,295.0102,0
0.4800,2968496,-0.634705,0.591370,0.373291,-0.328735,86.0000,295.3439,0
0.4900,2968506,-0.635315,0.590820,0.374146,-0.327637,86.2091,295.6758,0
0.5000,2968516,-0.635803,0.590332,0.375000,-0.326477,86.3967,296.0058,0
0.5100,2968526,-0.636230,0.589966,0.375854,-0.325378,86.5749,296.3358,0
0.5200,2968536,-0.636597,0.589600,0.376709,-0.324402,86.7570,296.6669,0
0.5300,2968546,-0.637024,0.589111,0.377441,-0.323608,86.9601,297.0021,0
0.5400,2968556,-0.637573,0.588440,0.378052,-0.322937,87.1883,297.3344,0
0.5500,2968566,-0.638184,0.587769,0.378662,-0.322327,87.4233,297.6588,0
0.5600,2968576,-0.638794,0.587036,0.379272,-0.321716,87.6547,297.9714,0
0.5700,2968586,-0.639343,0.586426,0.379883,-0.321045,87.8624,298.2705,0
0.5800,2968596,-0.639709,0.585999,0.380554,-0.320251,88.0398,298.5597,0
0.5900,2968606,-0.639954,0.585693,0.381287,-0.319458,88.1908,298.8533,0
0.6000,2968616,-0.640076,0.585510,0.381958,-0.318726,88.3245,299.1484,0
0.6100,2968626,-0.640076,0.585510,0.382629,-0.317993,88.4392,299.4517,0
0.6200,2968636,-0.639954,0.585571,0.383240,-0.317322,88.5461,299.7614,0
0.6300,2968646,-0.639832,0.585754,0.383667,-0.316650,88.6480,300.0829,0
0.6400,2968656,-0.639648,0.586060,0.384277,-0.315796,88.7456,300.4051,0
0.6500,2968666,-0.639526,0.586365,0.384583,-0.315186,88.8442,300.7225,0
0.6600,2968676,-0.639465,0.586548,0.384705,-0.314758,88.9617,301.0326,0
0.6700,2968686,-0.639526,0.586548,0.384827,-0.314453,89.1049,301.3308,0
0.6800,2968696,-0.639709,0.586304,0.384949,-0.314331,89.3010,301.6140,0
0.6900,2968706,-0.640015,0.585876,0.385071,-0.314392,89.4909,301.8820,0
0.7000,2968716,-0.640259,0.585449,0.385254,-0.314514,89.6566,302.1389,0
0.7100,2968726,-0.640442,0.585083,0.385498,-0.314575,89.7891,302.3876,0
0.7200,2968736,-0.640442,0.584900,0.385742,-0.314575,89.8949,302.6311,0
0.7300,2968746,-0.640259,0.584839,0.386108,-0.314636,89.9818,302.8731,0
0.7400,2968756,-0.640015,0.584839,0.386414,-0.314636,90.0620,303.1130,0
0.7500,2968766,-0.639404,0.584961,0.387268,-0.314636,90.1476,303.3462,0
0.7600,2968776,-0.639160,0.584900,0.387573,-0.314819,90.2468,303.5723,0
0.7700,2968786,-0.638916,0.584839,0.387878,-0.315063,90.3529,303.7888,0
0.7800,2968796,-0.638733,0.584778,0.388123,-0.315308,90.4560,303.9967,0
0.7900,2968806,-0.638489,0.584778,0.388367,-0.315491,90.5546,304.1942,0
0.8000,2968816,-0.638245,0.584839,0.388550,-0.315613,90.6460,304.3841,0
0.8100,2968826,-0.638000,0.584961,0.388733,-0.315674,90.7256,304.5667,0
0.8200,2968836,-0.637695,0.585205,0.388855,-0.315735,90.7917,304.7473,0
