# Sesion:18 Fecha:2026-04-16 17:59:25 Shots:0 Duracion:12,01s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,1125716,-0.681824,0.702087,0.094543,-0.182251,69.1671,310.2784,107
0.0100,1125726,-0.682129,0.702515,0.096985,-0.178162,69.5412,310.8219,0
0.0200,1125736,-0.682617,0.702698,0.099365,-0.174194,69.9637,311.3797,0
0.0300,1125746,-0.683411,0.702515,0.101685,-0.170349,70.4399,311.9442,0
0.0400,1125756,-0.684570,0.701965,0.103943,-0.166748,70.9774,312.5201,0
0.0500,1125766,-0.685974,0.701111,0.106140,-0.163269,71.5616,313.1066,0
0.0600,1125776,-0.687378,0.700134,0.108276,-0.159973,72.1521,313.7038,0
0.0700,1125786,-0.688660,0.699280,0.110413,-0.156738,72.6667,314.3242,0
0.0800,1125796,-0.689636,0.698730,0.112549,-0.153564,73.1152,314.9504,0
0.0900,1125806,-0.690125,0.698547,0.114624,-0.150330,73.4930,315.5871,0
0.1000,1125816,-0.690247,0.698792,0.116699,-0.147034,73.8130,316.2306,0
0.1100,1125826,-0.689941,0.699463,0.118713,-0.143738,74.1229,316.8788,0
0.1200,1125836,-0.689514,0.700195,0.120667,-0.140503,74.4646,317.5262,0
0.1300,1125846,-0.689270,0.700745,0.122559,-0.137390,74.8578,318.1719,0
0.1400,1125856,-0.689575,0.700806,0.126282,-0.131775,75.3113,318.8186,0
0.1500,1125866,-0.690308,0.700317,0.127991,-0.129333,75.8170,319.4684,0
0.1600,1125876,-0.691162,0.699524,0.129700,-0.127136,76.3500,320.1265,0
0.1700,1125886,-0.692017,0.698730,0.131287,-0.125122,76.8760,320.7911,0
0.1800,1125896,-0.692627,0.698181,0.132812,-0.123169,77.3544,321.4554,0
0.1900,1125906,-0.692871,0.697998,0.134277,-0.121277,77.7717,322.1176,0
0.2000,1125916,-0.692810,0.698120,0.135681,-0.119324,78.1331,322.7729,0
0.2100,1125926,-0.692627,0.698303,0.137146,-0.117432,78.4670,323.4153,0
0.2200,1125936,-0.692444,0.698547,0.138611,-0.115540,78.7961,324.0404,0
0.2300,1125946,-0.692383,0.698608,0.140137,-0.113770,79.1540,324.6451,0
0.2400,1125956,-0.692627,0.698303,0.141663,-0.112000,79.5517,325.2303,0
0.2500,1125966,-0.693115,0.697754,0.143188,-0.110413,79.9859,325.8025,0
0.2600,1125976,-0.693848,0.697021,0.144714,-0.108887,80.4448,326.3609,0
0.2700,1125986,-0.694580,0.696167,0.146240,-0.107422,80.9047,326.9040,0
0.2800,1125996,-0.695190,0.695496,0.147705,-0.105896,81.3326,327.4395,0
0.2900,1126006,-0.695557,0.695007,0.149109,-0.104370,81.7197,327.9720,0
0.3000,1126016,-0.695740,0.694824,0.150391,-0.102844,82.0700,328.5189,0
0.3100,1126026,-0.695496,0.695068,0.151489,-0.101257,82.3529,329.0695,0
0.3200,1126036,-0.694885,0.695679,0.152527,-0.099609,82.5698,329.6194,0
0.3300,1126046,-0.694092,0.696533,0.153503,-0.097900,82.7484,330.1624,0
0.3400,1126056,-0.693298,0.697266,0.154480,-0.096375,82.9435,330.6966,0
0.3500,1126066,-0.692871,0.697693,0.155457,-0.094971,83.1892,331.2195,0
0.3600,1126076,-0.692810,0.697693,0.156372,-0.093750,83.5602,331.7280,0
0.3700,1126086,-0.693176,0.697266,0.157288,-0.092651,83.9487,332.2175,0
0.3800,1126096,-0.693665,0.696716,0.158203,-0.091553,84.3171,332.6883,0
0.3900,1126106,-0.694092,0.696228,0.159119,-0.090454,84.6532,333.1432,0
0.4000,1126116,-0.694397,0.695862,0.160156,-0.089294,84.9640,333.5829,0
0.4100,1126126,-0.694580,0.695557,0.161133,-0.088135,85.2763,334.0112,0
0.4200,1126136,-0.694824,0.695251,0.162170,-0.086975,85.6086,334.4340,0
0.4300,1126146,-0.695679,0.694153,0.164246,-0.085144,85.9508,334.8549,0
0.4400,1126156,-0.696045,0.693604,0.165161,-0.084351,86.2714,335.2783,0
0.4500,1126166,-0.696228,0.693298,0.165955,-0.083740,86.5550,335.7058,0
0.4600,1126176,-0.696228,0.693237,0.166626,-0.083069,86.7967,336.1359,0
0.4700,1126186,-0.695984,0.693420,0.167236,-0.082458,86.9993,336.5584,0
0.4800,1126196,-0.695801,0.693542,0.167786,-0.081848,87.1950,336.9713,0
0.4900,1126206,-0.695679,0.693604,0.168335,-0.081299,87.4072,337.3726,0
0.5000,1126216,-0.695740,0.693481,0.168884,-0.080750,87.6415,337.7566,0
0.5100,1126226,-0.695984,0.693176,0.169312,-0.080139,87.8942,338.1185,0
0.5200,1126236,-0.696289,0.692871,0.169800,-0.079346,88.1524,338.4609,0
0.5300,1126246,-0.696594,0.692505,0.170166,-0.078491,88.3944,338.7914,0
0.5400,1126256,-0.696838,0.692383,0.170471,-0.077454,88.6025,339.1057,0
0.5500,1126266,-0.696838,0.692383,0.170715,-0.076355,88.7761,339.4154,0
0.5600,1126276,-0.696777,0.692566,0.170898,-0.075256,88.9284,339.7297,0
0.5700,1126286,-0.696533,0.692871,0.170959,-0.074219,89.0583,340.0548,0
0.5800,1126296,-0.696228,0.693298,0.170959,-0.073303,89.1718,340.3932,0
0.5900,1126306,-0.695862,0.693726,0.170837,-0.072632,89.2827,340.7465,0
0.6000,1126316,-0.695679,0.694031,0.170593,-0.072205,89.4147,341.1059,0
0.6100,1126326,-0.695740,0.694092,0.170288,-0.072083,89.5881,341.4693,0
0.6200,1126336,-0.695984,0.693848,0.170044,-0.072205,89.7921,341.8239,0
0.6300,1126346,-0.696289,0.693604,0.169800,-0.072449,89.9900,342.1704,0
0.6400,1126356,-0.696594,0.693298,0.169800,-0.072449,90.1555,342.5020,0
0.6500,1126366,-0.696777,0.693115,0.169861,-0.072449,90.2628,342.8140,0
0.6600,1126376,-0.696777,0.693115,0.169922,-0.072449,90.3606,343.1075,0
0.6700,1126386,-0.696716,0.693115,0.169983,-0.072388,90.4476,343.3863,0
0.6800,1126396,-0.696716,0.693176,0.169983,-0.072327,90.5183,343.6541,0
0.6900,1126406,-0.696533,0.693298,0.169983,-0.072266,90.5725,343.9180,0
0.7000,1126416,-0.696350,0.693604,0.169861,-0.072266,90.6209,344.1801,0
0.7100,1126426,-0.696106,0.693848,0.169739,-0.072327,90.6751,344.4389,0
0.7200,1126436,-0.695801,0.694153,0.169434,-0.072876,90.7461,344.6983,0
0.7300,1126446,-0.695740,0.694214,0.169067,-0.073425,90.8317,344.9600,0
0.7400,1126456,-0.695740,0.694275,0.168579,-0.074219,90.9246,345.2238,0
0.7500,1126466,-0.695801,0.694275,0.167847,-0.075317,91.0209,345.4857,0
0.7600,1126476,-0.695862,0.694336,0.166992,-0.076477,91.1150,345.7377,0
0.7700,1126486,-0.695862,0.694336,0.166138,-0.077698,91.1938,345.9718,0
0.7800,1126496,-0.695862,0.694458,0.165344,-0.078857,91.2445,346.1837,0
0.7900,1126506,-0.695557,0.694824,0.164551,-0.079834,91.2431,346.3679,0
0.8000,1126516,-0.695190,0.695251,0.163757,-0.080811,91.2240,346.5306,0
0.8100,1126526,-0.694885,0.695618,0.163025,-0.081726,91.2062,346.6741,0
0.8200,1126536,-0.694702,0.695862,0.162292,-0.082642,91.1973,346.7963,0
0.8300,1126546,-0.694580,0.696045,0.161560,-0.083618,91.1944,346.9026,0
0.8400,1126556,-0.694458,0.696228,0.160828,-0.084473,91.1908,346.9955,0
0.8500,1126566,-0.694336,0.696411,0.160034,-0.085327,91.1780,347.0745,0
0.8600,1126576,-0.694153,0.696716,0.159241,-0.086121,91.1405,347.1390,0
0.8700,1126586,-0.693909,0.697021,0.158508,-0.086853,91.0892,347.1917,0
0.8800,1126596,-0.693665,0.697327,0.157715,-0.087646,91.0321,347.2323,0
0.8900,1126606,-0.693542,0.697510,0.156982,-0.088440,90.9907,347.2651,0
0.9000,1126616,-0.693604,0.697510,0.156189,-0.089355,90.9794,347.2899,0
0.9100,1126626,-0.693909,0.697327,0.155334,-0.090332,90.9916,347.3061,0
0.9200,1126636,-0.694153,0.697083,0.154541,-0.091187,90.9993,347.3110,0
0.9300,1126646,-0.694336,0.697021,0.153748,-0.091980,90.9737,347.3011,0
0.9400,1126656,-0.694153,0.697266,0.153076,-0.092590,90.8546,347.2666,0
0.9500,1126666,-0.693787,0.697693,0.152405,-0.093018,90.7199,347.2218,0
0.9600,1126676,-0.693237,0.698303,0.151855,-0.093323,90.6073,347.1738,0
0.9700,1126686,-0.692871,0.698730,0.151245,-0.093689,90.5308,347.1250,0
0.9800,1126696,-0.692749,0.698975,0.150635,-0.094116,90.4919,347.0833,0
0.9900,1126706,-0.692810,0.698975,0.149963,-0.094604,90.4718,347.0427,0
1.0000,1126716,-0.693054,0.698853,0.149170,-0.095154,90.4460,347.0034,0
1.0100,1126726,-0.693298,0.698792,0.147583,-0.096130,90.3968,346.9635,0
1.0200,1126736,-0.693237,0.698914,0.146790,-0.096558,90.3231,346.9178,0
1.0300,1126746,-0.693237,0.699097,0.146118,-0.096924,90.2423,346.8599,0
1.0400,1126756,-0.693176,0.699219,0.145508,-0.097229,90.1718,346.7917,0
1.0500,1126766,-0.693359,0.699097,0.144897,-0.097534,90.1249,346.7119,0
1.0600,1126776,-0.693604,0.698914,0.144409,-0.097778,90.0986,346.6272,0
1.0700,1126786,-0.693970,0.698608,0.143982,-0.098083,90.0752,346.5407,0
1.0800,1126796,-0.694153,0.698486,0.143494,-0.098389,90.0339,346.4559,0
1.0900,1126806,-0.694092,0.698547,0.143127,-0.098633,89.9564,346.3754,0
1.1000,1126816,-0.693848,0.698914,0.142639,-0.098877,89.8399,346.3047,0
1.1100,1126826,-0.693481,0.699341,0.142212,-0.099182,89.7084,346.2445,0
1.1200,1126836,-0.693115,0.699646,0.141785,-0.099609,89.5968,346.1889,0
1.1300,1126846,-0.693054,0.699768,0.141296,-0.100037,89.5293,346.1318,0
1.1400,1126856,-0.693237,0.699585,0.140930,-0.100586,89.4995,346.0660,0
1.1500,1126866,-0.693542,0.699280,0.140625,-0.101074,89.4829,345.9897,0
1.1600,1126876,-0.693787,0.699097,0.140320,-0.101501,89.4545,345.9033,0
1.1700,1126886,-0.693848,0.698975,0.140076,-0.101807,89.3970,345.8104,0
1.1800,1126896,-0.693726,0.699097,0.139832,-0.101990,89.3108,345.7161,0
1.1900,1126906,-0.693542,0.699341,0.139587,-0.102112,89.2044,345.6259,0
1.2000,1126916,-0.693298,0.699646,0.139221,-0.102234,89.1010,345.5437,0
1.2100,1126926,-0.693115,0.699890,0.138855,-0.102356,89.0055,345.4667,0
1.2200,1126936,-0.693115,0.699951,0.138428,-0.102478,88.9669,345.3971,0
1.2300,1126946,-0.693359,0.699768,0.137939,-0.102722,88.9592,345.3279,0
1.2400,1126956,-0.693726,0.699463,0.137451,-0.102966,88.9606,345.2591,0
1.2500,1126966,-0.694214,0.698975,0.136963,-0.103333,88.9495,345.1883,0
1.2600,1126976,-0.694641,0.698608,0.136536,-0.103577,88.9156,345.1144,0
1.2700,1126986,-0.694946,0.698364,0.136230,-0.103882,88.8572,345.0465,0
1.2800,1126996,-0.695007,0.698303,0.136047,-0.104248,88.7791,344.9848,0
1.2900,1127006,-0.694641,0.698608,0.135681,-0.105042,88.6851,344.9229,0
1.3000,1127016,-0.694458,0.698669,0.135559,-0.105591,88.5927,344.8652,0
1.3100,1127026,-0.694397,0.698730,0.135437,-0.106201,88.5161,344.8071,0
1.3200,1127036,-0.694397,0.698669,0.135376,-0.106873,88.4633,344.7456,0
1.3300,1127046,-0.694519,0.698364,0.135376,-0.107605,88.4415,344.6793,0
1.3400,1127056,-0.694824,0.697937,0.135437,-0.108337,88.4379,344.6006,0
1.3500,1127066,-0.695129,0.697510,0.135498,-0.108948,88.4380,344.5101,0
1.3600,1127076,-0.695374,0.697205,0.135498,-0.109436,88.4148,344.4168,0
1.3700,1127086,-0.695435,0.697144,0.135437,-0.109741,88.3559,344.3233,0
1.3800,1127096,-0.695190,0.697327,0.135254,-0.109924,88.2583,344.2374,0
1.3900,1127106,-0.694946,0.697693,0.134949,-0.109924,88.1507,344.1588,0
1.4000,1127116,-0.694763,0.697937,0.134583,-0.109924,88.0584,344.0835,0
1.4100,1127126,-0.694763,0.697998,0.134216,-0.109924,87.9980,344.0096,0
1.4200,1127136,-0.694946,0.697876,0.133911,-0.109985,87.9613,343.9358,0
1.4300,1127146,-0.695068,0.697754,0.133667,-0.110107,87.9318,343.8596,0
1.4400,1127156,-0.695190,0.697632,0.133423,-0.110229,87.8972,343.7861,0
