# Sesion:69 Fecha:2026-04-16 18:34:55 Shots:1 Duracion:12,81s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,3178336,-0.536072,0.600708,0.381042,-0.454529,71.1341,262.3103,0
0.0100,3178346,-0.538147,0.598999,0.383118,-0.452576,71.5552,262.7763,0
0.0200,3178356,-0.540344,0.597168,0.385010,-0.450684,71.9961,263.2428,0
0.0300,3178366,-0.542664,0.595276,0.386902,-0.448914,72.4433,263.7156,0
0.0400,3178376,-0.547119,0.591431,0.390503,-0.445374,72.8824,264.1927,0
0.0500,3178386,-0.549194,0.589722,0.392273,-0.443604,73.3000,264.6790,0
0.0600,3178396,-0.551025,0.588196,0.394104,-0.441650,73.6786,265.1765,0
0.0700,3178406,-0.552673,0.587036,0.395935,-0.439514,74.0204,265.6818,0
0.0800,3178416,-0.554138,0.586060,0.397766,-0.437256,74.3295,266.1949,0
0.0900,3178426,-0.555542,0.585266,0.399597,-0.434937,74.6282,266.7090,0
0.1000,3178436,-0.557007,0.584412,0.401367,-0.432617,74.9390,267.2193,0
0.1100,3178446,-0.558594,0.583313,0.402954,-0.430481,75.2916,267.7265,0
0.1200,3178456,-0.560486,0.581970,0.404419,-0.428528,75.6976,268.2296,0
0.1300,3178466,-0.562561,0.580322,0.405701,-0.426758,76.1513,268.7295,0
0.1400,3178476,-0.564758,0.578552,0.406860,-0.425171,76.6272,269.2285,0
0.1500,3178486,-0.566833,0.576904,0.408020,-0.423523,77.0850,269.7362,0
0.1600,3178496,-0.568665,0.575562,0.409241,-0.421753,77.4880,270.2518,0
0.1700,3178506,-0.570129,0.574585,0.410645,-0.419739,77.8273,270.7704,0
0.1800,3178516,-0.571289,0.573914,0.412109,-0.417603,78.1124,271.2925,0
0.1900,3178526,-0.572266,0.573425,0.413696,-0.415405,78.3704,271.8167,0
0.2000,3178536,-0.573181,0.572876,0.415283,-0.413269,78.6262,272.3406,0
0.2100,3178546,-0.574158,0.572266,0.416809,-0.411316,78.9240,272.8781,0
0.2200,3178556,-0.575256,0.571350,0.418152,-0.409607,79.2683,273.4108,0
0.2300,3178566,-0.576599,0.570129,0.419373,-0.408203,79.6609,273.9378,0
0.2400,3178576,-0.578064,0.568726,0.420410,-0.406982,80.0808,274.4587,0
0.2500,3178586,-0.579468,0.567383,0.421448,-0.405823,80.4983,274.9752,0
0.2600,3178596,-0.580750,0.566101,0.422546,-0.404541,80.8528,275.4937,0
0.2700,3178606,-0.581848,0.565125,0.423645,-0.403198,81.1741,276.0144,0
0.2800,3178616,-0.582825,0.564270,0.424744,-0.401794,81.4735,276.5341,0
0.2900,3178626,-0.583679,0.563599,0.425842,-0.400391,81.7471,277.0521,0
0.3000,3178636,-0.584412,0.563110,0.426941,-0.398865,82.0059,277.5652,0
0.3100,3178646,-0.585022,0.562744,0.428040,-0.397339,82.2706,278.0664,0
0.3200,3178656,-0.585632,0.562256,0.429138,-0.395874,82.5649,278.5495,0
0.3300,3178666,-0.587341,0.560730,0.431091,-0.393433,82.8912,279.0191,0
0.3400,3178676,-0.588379,0.559631,0.431885,-0.392456,83.2493,279.4802,0
0.3500,3178686,-0.589600,0.558472,0.432617,-0.391602,83.6203,279.9324,0
0.3600,3178696,-0.590698,0.557373,0.433289,-0.390747,83.9781,280.3828,0
0.3700,3178706,-0.591675,0.556458,0.434021,-0.389832,84.3042,280.8330,0
0.3800,3178716,-0.592468,0.555664,0.434692,-0.388916,84.6044,281.2849,0
0.3900,3178726,-0.593140,0.554993,0.435364,-0.388000,84.8822,281.7349,0
0.4000,3178736,-0.593811,0.554382,0.436035,-0.387207,85.1531,282.1783,0
0.4100,3178746,-0.594421,0.553711,0.436707,-0.386475,85.4226,282.6124,0
0.4200,3178756,-0.595032,0.552979,0.437378,-0.385803,85.6946,283.0406,0
0.4300,3178766,-0.595642,0.552307,0.437927,-0.385193,85.9598,283.4608,0
0.4400,3178776,-0.596130,0.551697,0.438599,-0.384583,86.2115,283.8686,0
0.4500,3178786,-0.596558,0.551086,0.439270,-0.383972,86.4479,284.2652,0
0.4600,3178796,-0.596924,0.550537,0.440002,-0.383423,86.6710,284.6554,0
0.4700,3178806,-0.597229,0.549988,0.440735,-0.382874,86.8898,285.0333,0
0.4800,3178816,-0.597595,0.549438,0.441345,-0.382385,87.1129,285.4057,0
0.4900,3178826,-0.598022,0.548889,0.441895,-0.381897,87.3462,285.7772,0
0.5000,3178836,-0.598450,0.548401,0.442383,-0.381409,87.5703,286.1393,0
0.5100,3178846,-0.598877,0.547974,0.442810,-0.380798,87.7777,286.4879,0
0.5200,3178856,-0.599182,0.547668,0.443359,-0.380127,87.9607,286.8222,0
0.5300,3178866,-0.599548,0.547424,0.443848,-0.379272,88.1277,287.1443,0
0.5400,3178876,-0.599915,0.547241,0.444336,-0.378540,88.2949,287.4591,0
0.5500,3178886,-0.600342,0.546875,0.444763,-0.377808,88.4920,287.7679,0
0.5600,3178896,-0.600769,0.546448,0.445129,-0.377258,88.6856,288.0775,0
0.5700,3178906,-0.601196,0.546021,0.445496,-0.376770,88.8648,288.3848,0
