# Sesion:32 Fecha:2026-04-16 18:09:21 Shots:1 Duracion:10,41s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,1700736,-0.698303,0.701172,0.041260,-0.138062,70.8612,321.4721,0
0.0100,1700746,-0.698547,0.701294,0.043213,-0.135559,71.1672,321.9428,0
0.0200,1700756,-0.698792,0.701355,0.045166,-0.133179,71.4778,322.4195,0
0.0300,1700766,-0.699097,0.701355,0.047119,-0.130859,71.7968,322.8994,0
0.0400,1700776,-0.699402,0.701294,0.049011,-0.128723,72.1287,323.3846,0
0.0500,1700786,-0.699768,0.701172,0.050903,-0.126587,72.4656,323.8690,0
0.0600,1700796,-0.700256,0.700989,0.052734,-0.124634,72.8221,324.3569,0
0.0700,1700806,-0.700867,0.700500,0.054443,-0.122925,73.2040,324.8364,0
0.0800,1700816,-0.701660,0.699890,0.056274,-0.121033,73.6081,325.3087,0
0.0900,1700826,-0.702515,0.699219,0.058105,-0.119141,74.0171,325.7713,0
0.1000,1700836,-0.703308,0.698547,0.059875,-0.117188,74.4200,326.2271,0
0.1100,1700846,-0.704102,0.697998,0.061584,-0.115173,74.8067,326.6740,0
0.1200,1700856,-0.704590,0.697693,0.063293,-0.113098,75.1535,327.1232,0
0.1300,1700866,-0.704834,0.697632,0.064819,-0.110901,75.4468,327.5721,0
0.1400,1700876,-0.704712,0.697937,0.066345,-0.108704,75.7091,328.0424,0
0.1500,1700886,-0.704468,0.698425,0.067749,-0.106506,75.9424,328.5199,0
0.1600,1700896,-0.704102,0.698975,0.069092,-0.104431,76.1735,328.9966,0
0.1700,1700906,-0.703979,0.699280,0.070435,-0.102478,76.4322,329.4747,0
0.1800,1700916,-0.704102,0.699219,0.071838,-0.100708,76.7470,329.9478,0
0.1900,1700926,-0.704712,0.698669,0.073181,-0.099060,77.2075,330.4176,0
0.2000,1700936,-0.705811,0.697693,0.074585,-0.097656,77.6919,330.8805,0
0.2100,1700946,-0.707031,0.696472,0.075928,-0.096252,78.1635,331.3375,0
0.2200,1700956,-0.708313,0.695251,0.077209,-0.094910,78.5875,331.7948,0
0.2300,1700966,-0.709351,0.694214,0.078491,-0.093628,78.9566,332.2555,0
0.2400,1700976,-0.710083,0.693542,0.079590,-0.092285,79.2726,332.7161,0
0.2500,1700986,-0.710510,0.693115,0.080627,-0.090942,79.5460,333.1745,0
0.2600,1700996,-0.710754,0.692932,0.081543,-0.089478,79.7700,333.6247,0
0.2700,1701006,-0.710327,0.693542,0.083252,-0.086548,79.9447,334.0661,0
0.2800,1701016,-0.709839,0.694092,0.084167,-0.085022,80.0925,334.4991,0
0.2900,1701026,-0.709412,0.694641,0.085083,-0.083618,80.2506,334.9240,0
0.3000,1701036,-0.709167,0.694946,0.085937,-0.082275,80.4439,335.3437,0
0.3100,1701046,-0.709229,0.694885,0.086853,-0.080994,80.6909,335.7530,0
0.3200,1701056,-0.709656,0.694519,0.087708,-0.079834,80.9866,336.1530,0
0.3300,1701066,-0.710266,0.693909,0.088623,-0.078735,81.3072,336.5423,0
0.3400,1701076,-0.710876,0.693237,0.089600,-0.077698,81.6324,336.9180,0
0.3500,1701086,-0.711426,0.692688,0.090576,-0.076538,81.9458,337.2808,0
0.3600,1701096,-0.711853,0.692261,0.091614,-0.075317,82.2310,337.6329,0
0.3700,1701106,-0.712097,0.692017,0.092590,-0.074097,82.4845,337.9804,0
0.3800,1701116,-0.712158,0.691956,0.093567,-0.072815,82.7080,338.3260,0
0.3900,1701126,-0.712097,0.692017,0.094482,-0.071594,82.9060,338.6673,0
0.4000,1701136,-0.711914,0.692200,0.095398,-0.070312,83.0904,339.0027,0
0.4100,1701146,-0.711914,0.692200,0.096252,-0.069092,83.2809,339.3312,0
0.4200,1701156,-0.712036,0.692078,0.097107,-0.067810,83.4924,339.6516,0
0.4300,1701166,-0.712341,0.691772,0.098022,-0.066650,83.7400,339.9710,0
