# Sesion:10 Fecha:2026-04-14 14:08:33 Shots:2 Duracion:11,90s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,143030576,0.435669,-0.264404,0.561218,-0.652161,69.8634,95.8724,294
0.0100,143030586,0.433472,-0.266235,0.559875,-0.654053,70.2888,96.3123,0
0.0200,143030596,0.431274,-0.267944,0.558411,-0.656006,70.7344,96.7550,0
0.0300,143030606,0.429138,-0.269592,0.556946,-0.658020,71.2012,97.2221,0
0.0400,143030616,0.427063,-0.271240,0.555481,-0.659912,71.6647,97.6949,0
0.0500,143030626,0.424927,-0.272766,0.554077,-0.661865,72.1250,98.1694,0
0.0600,143030636,0.422791,-0.274170,0.552673,-0.663818,72.5888,98.6450,0
0.0700,143030646,0.420715,-0.275513,0.551147,-0.665833,73.0641,99.1210,0
0.0800,143030656,0.418640,-0.276794,0.549500,-0.667969,73.5485,99.5937,0
0.0900,143030666,0.416687,-0.278015,0.547791,-0.670044,74.0275,100.0676,0
0.1000,143030676,0.414673,-0.279297,0.546143,-0.672119,74.4763,100.5372,0
0.1100,143030686,0.412598,-0.280640,0.544678,-0.674072,74.8870,101.0046,0
0.1200,143030696,0.410400,-0.282104,0.543396,-0.675842,75.2805,101.4704,0
0.1300,143030706,0.408142,-0.283569,0.542236,-0.677490,75.6777,101.9406,0
0.1400,143030716,0.405945,-0.284973,0.541016,-0.679199,76.0868,102.4150,0
0.1500,143030726,0.401733,-0.287415,0.538391,-0.682739,76.5156,102.8904,0
0.1600,143030736,0.399719,-0.288452,0.536987,-0.684631,76.9522,103.3698,0
0.1700,143030746,0.397766,-0.289185,0.535706,-0.686401,77.3843,103.8403,0
0.1800,143030756,0.395691,-0.290161,0.534424,-0.688232,77.7993,104.3127,0
0.1900,143030766,0.393555,-0.291138,0.533203,-0.689941,78.1954,104.7867,0
0.2000,143030776,0.391418,-0.292114,0.532043,-0.691650,78.5772,105.2570,0
