# Sesion:46 Fecha:2026-04-14 20:53:47 Shots:1 Duracion:8,85s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,169746,0.684998,-0.625000,0.295471,-0.229919,66.0219,8.4107,0
0.0100,169756,0.683716,-0.626465,0.291687,-0.234558,66.7207,9.1766,0
0.0200,169766,0.682434,-0.627869,0.287903,-0.239136,67.4219,9.9477,0
0.0300,169776,0.681213,-0.629211,0.284058,-0.243591,68.1243,10.7236,0
0.0400,169786,0.679932,-0.630615,0.280273,-0.247925,68.8520,11.5457,0
0.0500,169796,0.678589,-0.632080,0.276489,-0.252075,69.5598,12.3698,0
0.0600,169806,0.677246,-0.633545,0.272827,-0.256042,70.2606,13.2005,0
0.0700,169816,0.675964,-0.634949,0.269104,-0.259827,70.9577,14.0364,0
0.0800,169826,0.674683,-0.636353,0.265381,-0.263489,71.6523,14.8741,0
0.0900,169836,0.673523,-0.637695,0.261658,-0.266968,72.3587,15.7313,0
0.1000,169846,0.672485,-0.638916,0.257935,-0.270264,73.0803,16.5904,0
0.1100,169856,0.671631,-0.639954,0.254150,-0.273499,73.8189,17.4461,0
0.1200,169866,0.670959,-0.640808,0.250366,-0.276611,74.5588,18.3061,0
0.1300,169876,0.670349,-0.641541,0.246704,-0.279602,75.2815,19.1675,0
0.1400,169886,0.669800,-0.642273,0.243103,-0.282410,75.9765,20.0256,0
0.1500,169896,0.669128,-0.643005,0.239746,-0.285156,76.6366,20.8804,0
0.1600,169906,0.667480,-0.644714,0.233582,-0.290283,77.2650,21.7298,0
0.1700,169916,0.666504,-0.645630,0.230713,-0.292725,77.8689,22.5655,0
0.1800,169926,0.665588,-0.646545,0.227844,-0.295105,78.4658,23.3861,0
0.1900,169936,0.664612,-0.647400,0.225037,-0.297424,79.0582,24.1916,0
0.2000,169946,0.663818,-0.648254,0.222107,-0.299744,79.6579,24.9797,0
0.2100,169956,0.663086,-0.648865,0.219177,-0.302002,80.2726,25.7524,0
0.2200,169966,0.662598,-0.649353,0.216187,-0.304260,80.9056,26.5166,0
0.2300,169976,0.662292,-0.649597,0.213196,-0.306519,81.5520,27.2700,0
0.2400,169986,0.662048,-0.649719,0.210327,-0.308716,82.2027,28.0200,0
