# Sesion:11 Fecha:2026-04-14 14:25:58 Shots:1 Duracion:15,24s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,375936,0.101563,0.012695,0.610352,-0.785461,70.8690,155.9590,0
0.0100,375946,0.099304,0.009644,0.612244,-0.784363,70.9112,156.0432,0
0.0200,375956,0.096985,0.006653,0.614075,-0.783203,70.9931,156.1472,0
0.0300,375966,0.094604,0.003601,0.615906,-0.782104,71.0976,156.2564,0
0.0400,375976,0.092102,0.000610,0.617737,-0.781006,71.2216,156.3741,0
0.0500,375986,0.089539,-0.002197,0.619446,-0.779907,71.3667,156.5052,0
0.0600,375996,0.086853,-0.004944,0.621155,-0.778870,71.5328,156.6462,0
0.0700,376006,0.084045,-0.007507,0.622742,-0.777832,71.7273,156.8026,0
0.0800,376016,0.081177,-0.010071,0.624207,-0.776978,71.9777,156.9681,0
0.0900,376026,0.078308,-0.012512,0.625488,-0.776184,72.2689,157.1442,0
0.1000,376036,0.075378,-0.014954,0.626526,-0.775635,72.5889,157.3317,0
0.1100,376046,0.072449,-0.017395,0.627380,-0.775146,72.9301,157.5261,0
0.1200,376056,0.069519,-0.019836,0.628113,-0.774719,73.2766,157.7304,0
0.1300,376066,0.066589,-0.022278,0.628845,-0.774353,73.6158,157.9433,0
0.1400,376076,0.060303,-0.026917,0.630554,-0.773376,73.9509,158.1700,0
0.1500,376086,0.057129,-0.029053,0.631409,-0.772766,74.2841,158.4113,0
0.1600,376096,0.053955,-0.031128,0.632507,-0.772034,74.5968,158.6758,0
0.1700,376106,0.050720,-0.033020,0.633728,-0.771179,74.8906,158.9613,0
0.1800,376116,0.047546,-0.034668,0.635132,-0.770142,75.1589,159.2704,0
0.1900,376126,0.044373,-0.036133,0.636658,-0.768982,75.4152,159.6075,0
0.2000,376136,0.041260,-0.037354,0.638184,-0.767883,75.6777,159.9746,0
0.2100,376146,0.038269,-0.038391,0.639465,-0.766907,75.9749,160.3678,0
0.2200,376156,0.035400,-0.039246,0.640442,-0.766235,76.3183,160.7863,0
0.2300,376166,0.032715,-0.039856,0.640991,-0.765808,76.7141,161.2246,0
0.2400,376176,0.030212,-0.040466,0.641235,-0.765686,77.1477,161.6799,0
0.2500,376186,0.027710,-0.040894,0.641357,-0.765625,77.5915,162.1413,0
0.2600,376196,0.025269,-0.041321,0.641479,-0.765564,78.0210,162.6044,0
0.2700,376206,0.022827,-0.041748,0.641846,-0.765381,78.4122,163.0630,0
0.2800,376216,0.020325,-0.042175,0.642456,-0.764893,78.7488,163.5133,0
0.2900,376226,0.017761,-0.042725,0.643372,-0.764160,79.0521,163.9673,0
0.3000,376236,0.015015,-0.043335,0.643372,-0.764221,79.3218,164.4109,0
0.3100,376246,0.012268,-0.044006,0.643311,-0.764282,79.5810,164.8393,0
0.3200,376256,0.009644,-0.044617,0.643066,-0.764465,79.8582,165.2657,0
0.3300,376266,0.007019,-0.045105,0.642639,-0.764832,80.1653,165.6908,0
0.3400,376276,0.004517,-0.045593,0.641968,-0.765381,80.5129,166.1197,0
0.3500,376286,0.002136,-0.046082,0.641113,-0.766052,80.9344,166.5715,0
0.3600,376296,-0.000244,-0.046509,0.640137,-0.766846,81.3674,167.0317,0
0.3700,376306,-0.002502,-0.046936,0.639954,-0.766968,81.7929,167.5055,0
0.3800,376316,-0.004700,-0.047180,0.639709,-0.767151,82.2023,167.9902,0
0.3900,376326,-0.006775,-0.047302,0.639465,-0.767334,82.5888,168.4753,0
0.4000,376336,-0.008850,-0.047363,0.639343,-0.767395,82.9485,168.9570,0
0.4100,376346,-0.013062,-0.047424,0.638611,-0.767944,83.2954,169.4291,0
0.4200,376356,-0.015076,-0.047546,0.638550,-0.767944,83.6349,169.8866,0
0.4300,376366,-0.017151,-0.047791,0.638428,-0.768005,83.9744,170.3214,0
0.4400,376376,-0.019165,-0.048218,0.638245,-0.768066,84.3224,170.7369,0
0.4500,376386,-0.021179,-0.048828,0.637878,-0.768311,84.6837,171.1378,0
0.4600,376396,-0.023071,-0.049622,0.637390,-0.768616,85.0602,171.5296,0
0.4700,376406,-0.024902,-0.050537,0.636719,-0.769043,85.4445,171.9142,0
0.4800,376416,-0.026855,-0.051636,0.635315,-0.770081,85.8310,172.2951,0
0.4900,376426,-0.028503,-0.052612,0.634583,-0.770508,86.2082,172.6754,0
0.5000,376436,-0.030090,-0.053528,0.633972,-0.770935,86.5705,173.0563,0
0.5100,376446,-0.031555,-0.054504,0.633301,-0.771362,86.9289,173.4352,0
0.5200,376456,-0.032959,-0.055481,0.632629,-0.771790,87.2818,173.8160,0
0.5300,376466,-0.034180,-0.056458,0.631897,-0.772217,87.6293,174.1966,0
0.5400,376476,-0.035339,-0.057373,0.631165,-0.772705,87.9717,174.5758,0
0.5500,376486,-0.036743,-0.058655,0.629761,-0.773682,88.3190,174.9556,0
0.5600,376496,-0.037781,-0.059570,0.628845,-0.774292,88.6835,175.3301,0
0.5700,376506,-0.038818,-0.060608,0.627808,-0.775024,89.0630,175.6911,0
0.5800,376516,-0.039856,-0.061768,0.626587,-0.775879,89.4471,176.0325,0
0.5900,376526,-0.040955,-0.062927,0.625427,-0.776611,89.8162,176.3588,0
0.6000,376536,-0.042542,-0.064575,0.623962,-0.777649,90.1453,176.6620,0
0.6100,376546,-0.043823,-0.065979,0.623413,-0.777893,90.3357,176.9357,0
0.6200,376556,-0.045227,-0.067444,0.623413,-0.777649,90.4477,177.1998,0
0.6300,376566,-0.046631,-0.068970,0.623962,-0.777039,90.4936,177.4667,0
0.6400,376576,-0.048035,-0.070496,0.625000,-0.775940,90.4920,177.7415,0
0.6500,376586,-0.049316,-0.071960,0.626404,-0.774597,90.4839,178.0250,0
0.6600,376596,-0.050537,-0.073364,0.627991,-0.773071,90.5106,178.3150,0
0.6700,376606,-0.051636,-0.074768,0.629395,-0.771729,90.6123,178.5998,0
0.6800,376616,-0.053284,-0.078125,0.630615,-0.770264,90.8146,178.8759,0
0.6900,376626,-0.053833,-0.080078,0.630371,-0.770264,91.1059,179.1396,0
0.7000,376636,-0.054260,-0.082214,0.629578,-0.770630,91.4586,179.3920,0
0.7100,376646,-0.054565,-0.084534,0.628601,-0.771179,91.8423,179.6314,0
0.7200,376656,-0.054871,-0.086792,0.627625,-0.771729,92.2211,179.8589,0
0.7300,376666,-0.055359,-0.089050,0.626831,-0.772095,92.5609,180.0741,0
0.7400,376676,-0.055969,-0.091125,0.626404,-0.772156,92.8342,180.2757,0
0.7500,376686,-0.056824,-0.093079,0.626465,-0.771790,93.0381,180.4675,0
0.7600,376696,-0.057983,-0.094849,0.626892,-0.771118,93.1801,180.6460,0
0.7700,376706,-0.059387,-0.096558,0.627686,-0.770142,93.2736,180.8198,0
0.7800,376716,-0.060913,-0.098083,0.628723,-0.768982,93.3380,180.9931,0
0.7900,376726,-0.062500,-0.099426,0.629822,-0.767822,93.4040,181.1767,0
0.8000,376736,-0.064026,-0.100586,0.630737,-0.766785,93.5028,181.3803,0
0.8100,376746,-0.065430,-0.101624,0.631287,-0.766052,93.6553,181.6064,0
0.8200,376756,-0.066711,-0.102478,0.631470,-0.765686,93.8725,181.8532,0
