# Sesion:37 Fecha:2026-04-14 20:36:40 Shots:1 Duracion:15,95s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,1696026,-0.702026,0.686218,0.080688,-0.172241,66.9875,307.9675,0
0.0100,1696036,-0.703613,0.684998,0.084595,-0.168823,67.7044,308.6523,0
0.0200,1696046,-0.705139,0.683777,0.088379,-0.165466,68.3953,309.3470,0
0.0300,1696056,-0.706482,0.682739,0.092041,-0.162170,69.0620,310.0439,0
0.0400,1696066,-0.707642,0.681763,0.095642,-0.158936,69.7312,310.7370,0
0.0500,1696076,-0.708862,0.680725,0.099304,-0.155762,70.4182,311.4205,0
0.0600,1696086,-0.710205,0.679565,0.102905,-0.152588,71.1181,312.0979,0
0.0700,1696096,-0.713013,0.676819,0.110046,-0.146484,71.8189,312.7759,0
0.0800,1696106,-0.714294,0.675476,0.113586,-0.143555,72.5019,313.4593,0
0.0900,1696116,-0.715454,0.674316,0.117065,-0.140747,73.1516,314.1488,0
0.1000,1696126,-0.716248,0.673401,0.120422,-0.138000,73.7528,314.8484,0
0.1100,1696136,-0.716797,0.672729,0.123718,-0.135315,74.3104,315.5497,0
0.1200,1696146,-0.717285,0.672119,0.127014,-0.132751,74.8507,316.2549,0
0.1300,1696156,-0.717896,0.671326,0.130249,-0.130371,75.4150,316.9531,0
0.1400,1696166,-0.718750,0.670166,0.133423,-0.128113,76.0300,317.6423,0
0.1500,1696176,-0.720032,0.668640,0.136536,-0.126038,76.7003,318.3241,0
0.1600,1696186,-0.721558,0.666687,0.139587,-0.124146,77.4124,318.9964,0
0.1700,1696196,-0.723145,0.664673,0.142517,-0.122314,78.1316,319.6607,0
0.1800,1696206,-0.724670,0.662781,0.145325,-0.120483,78.8147,320.3229,0
0.1900,1696216,-0.725830,0.661255,0.147949,-0.118652,79.4363,320.9872,0
0.2000,1696226,-0.726685,0.660034,0.150452,-0.116699,79.9944,321.6525,0
0.2100,1696236,-0.727295,0.659180,0.152832,-0.114746,80.5030,322.3114,0
0.2200,1696246,-0.727905,0.658325,0.155090,-0.112671,81.0087,322.9716,0
0.2300,1696256,-0.728577,0.657349,0.157410,-0.110657,81.5311,323.6114,0
0.2400,1696266,-0.729492,0.656128,0.159729,-0.108704,82.0816,324.2307,0
0.2500,1696276,-0.730591,0.654724,0.161987,-0.106750,82.6573,324.8364,0
0.2600,1696286,-0.731750,0.653137,0.164185,-0.104919,83.2442,325.4358,0
0.2700,1696296,-0.732971,0.651550,0.166260,-0.103149,83.8211,326.0349,0
0.2800,1696306,-0.734009,0.650085,0.168152,-0.101501,84.3407,326.6655,0
0.2900,1696316,-0.734863,0.648865,0.169983,-0.099976,84.8267,327.2952,0
0.3000,1696326,-0.735596,0.647766,0.171753,-0.098633,85.2957,327.9231,0
0.3100,1696336,-0.736267,0.646790,0.173523,-0.097412,85.7572,328.5420,0
0.3200,1696346,-0.736938,0.645691,0.175232,-0.096375,86.2164,329.1486,0
0.3300,1696356,-0.737610,0.644592,0.176941,-0.095520,86.6521,329.7478,0
0.3400,1696366,-0.738525,0.642822,0.180176,-0.094055,87.0457,330.3417,0
0.3500,1696376,-0.738647,0.642395,0.181641,-0.093384,87.3844,330.9300,0
0.3600,1696386,-0.738464,0.642273,0.183105,-0.092712,87.6675,331.5038,0
0.3700,1696396,-0.738098,0.642395,0.184509,-0.091980,87.9094,332.0612,0
