# Sesion:35 Fecha:2026-04-14 20:29:07 Shots:1 Duracion:19,75s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,1260026,-0.698120,0.659607,0.137817,-0.242004,68.1816,299.6368,0
0.0100,1260036,-0.699463,0.658508,0.141052,-0.239197,68.7707,300.2781,0
0.0200,1260046,-0.700684,0.657471,0.144226,-0.236450,69.3382,300.9164,0
0.0300,1260056,-0.701782,0.656677,0.147400,-0.233582,69.8762,301.5543,0
0.0400,1260066,-0.702698,0.656006,0.150452,-0.230713,70.3921,302.1918,0
0.0500,1260076,-0.703613,0.655396,0.153564,-0.227722,70.8959,302.8169,0
0.0600,1260086,-0.704468,0.654785,0.156616,-0.224670,71.3989,303.4312,0
0.0700,1260096,-0.705383,0.654114,0.159668,-0.221558,71.9120,304.0297,0
0.0800,1260106,-0.706360,0.653442,0.162659,-0.218323,72.4155,304.6202,0
0.0900,1260116,-0.707214,0.652832,0.165588,-0.214966,72.9070,305.2154,0
0.1000,1260126,-0.708069,0.652344,0.168457,-0.211609,73.3883,305.8142,0
0.1100,1260136,-0.708740,0.651855,0.171326,-0.208252,73.8699,306.4176,0
0.1200,1260146,-0.709473,0.651428,0.174072,-0.204895,74.3577,307.0259,0
0.1300,1260156,-0.710876,0.650452,0.179382,-0.198425,74.8581,307.6400,0
0.1400,1260166,-0.711670,0.649841,0.181946,-0.195374,75.3592,308.2580,0
0.1500,1260176,-0.712341,0.649292,0.184448,-0.192322,75.8561,308.8802,0
0.1600,1260186,-0.712952,0.648743,0.186951,-0.189331,76.3453,309.5039,0
0.1700,1260196,-0.713562,0.648254,0.189331,-0.186401,76.8255,310.1273,0
0.1800,1260206,-0.714111,0.647888,0.191650,-0.183411,77.2993,310.7558,0
0.1900,1260216,-0.714600,0.647461,0.193787,-0.180481,77.7694,311.3872,0
0.2000,1260226,-0.715149,0.647034,0.195862,-0.177673,78.2474,312.0214,0
0.2100,1260236,-0.715820,0.646423,0.197815,-0.174927,78.7398,312.6564,0
0.2200,1260246,-0.716492,0.645813,0.199707,-0.172241,79.2388,313.2893,0
0.2300,1260256,-0.716980,0.645447,0.201538,-0.169556,79.7025,313.9272,0
0.2400,1260266,-0.717041,0.645508,0.203369,-0.166870,80.0880,314.5716,0
0.2500,1260276,-0.716614,0.646179,0.205078,-0.164062,80.3851,315.2271,0
0.2600,1260286,-0.715637,0.647400,0.206726,-0.161194,80.6003,315.8898,0
0.2700,1260296,-0.714417,0.649048,0.208191,-0.158264,80.7645,316.5592,0
0.2800,1260306,-0.713074,0.650757,0.209534,-0.155212,80.9206,317.2252,0
0.2900,1260316,-0.711975,0.652344,0.210754,-0.152161,81.1278,317.9041,0
0.3000,1260326,-0.711243,0.653503,0.211792,-0.149109,81.4021,318.5673,0
0.3100,1260336,-0.710754,0.654419,0.212708,-0.146057,81.7209,319.2163,0
0.3200,1260346,-0.710388,0.655151,0.213684,-0.143066,82.0512,319.8501,0
0.3300,1260356,-0.710083,0.655823,0.214722,-0.139954,82.3949,320.4636,0
