0700,-0.0400,-0.3200,0.3300,0.2700,1.3700,-9.9600,24,-13.0625,2.5000,37.1875,0,0,0,0,-171.5000
187.0000,-1.0625,-57.2958,14.3239,10.7430,60.0283,0.1100,-0.0200,-0.2900,0.3108,0.2300,1.2500,-9.8700,24,-13.5000,1.6875,35.5625,0,0,0,0,-171.5625
187.0625,-1.3750,-3.5810,50.1338,60.8768,78.9443,0.1000,-0.1300,-0.1800,0.2435,0.3200,1.3400,-9.9000,24,-12.6875,3.1875,36.0000,0,0,0,0,-171.2500
187.1875,-1.3750,14.3239,-10.7430,3.5810,18.2595,0.0600,-0.0900,-0.2900,0.3095,0.3900,1.3300,-10.0000,24,-13.0625,2.5000,35.5625,0,0,0,0,-171.1875
187.1875,-1.3750,42.9718,-28.6479,-17.9049,54.6614,0.0700,-0.1400,-0.2600,0.3035,0.3000,1.3600,-9.9700,24,-12.6875,2.7500,36.3750,0,0,0,0,-171.0625
187.0625,-1.1875,-17.9049,-3.5810,-21.4859,28.1967,0.1300,-0.2000,-0.2600,0.3528,0.2700,1.4200,-9.9300,24,-12.6875,2.7500,36.0000,0,0,0,0,-171.2500
187.0625,-1.2500,-35.8099,-28.6479,-14.3239,48.0440,0.0400,-0.1100,-0.2300,0.2581,0.2500,1.3100,-9.9200,24,-13.5000,2.0625,36.3750,0,0,0,0,-171.6875
187.0625,-1.3125,14.3239,-32.2289,-10.7430,36.8685,0.0600,-0.0900,-0.2600,0.2816,0.2800,1.3300,-9.9600,24,-13.0625,4.6875,36.0000,0,0,0,0,-171.8750
187.0625,-1.3125,57.2958,-46.5528,-17.9049,75.9642,0.0500,-0.1500,-0.2500,0.2958,0.2600,1.2500,-10.0200,24,-13.0625,3.5625,36.7500,0,0,0,0,-171.8750
187.0000,-1.3125,42.9718,-17.9049,-17.9049,49.8774,0.0300,-0.0700,-0.1700,0.1863,0.2800,1.2400,-9.9200,24,-12.2500,2.0625,36.0000,0,0,0,0,-172.0625
186.9375,-1.2500,-10.7430,14.3239,17.9049,25.3214,0.0200,-0.0700,-0.2200,0.2317,0.2600,1.2100,-9.9100,24,-12.2500,3.1875,36.0000,0,0,0,0,-172.3750
186.9375,-1.2500,39.3908,-3.5810,-7.1620,40.1965,0.0300,-0.1000,-0.2200,0.2435,0.2700,1.2500,-9.9500,24,-13.6875,3.2500,35.5625,0,0,0,0,-172.4375
186.9375,-1.3125,-57.2958,21.4859,7.1620,61.6096,0.0400,-0.1000,-0.1300,0.1688,0.2600,1.2300,-9.8600,24,-12.5625,2.8750,37.1875,0,0,0,0,-172.3750
186.9375,-1.3125,42.9718,-10.7430,-17.9049,47.7763,0.0300,-0.0700,-0.2400,0.2518,0.2900,1.2100,-9.9500,24,-13.0000,3.2500,35.1875,0,0,0,0,-172.3125
186.8750,-1.3125,-17.9049,-17.9049,-7.1620,26.3148,0.0000,-0.2600,-0.2100,0.3342,0.2400,1.1700,-9.9700,24,-13.0000,3.2500,35.5625,0,0,0,0,-172.4375
186.8750,-1.3125,-60.8768,-7.1620,-7.1620,61.7136,0.0300,-0.0300,-0.2500,0.2536,0.2700,1.2000,-9.9500,24,-13.0000,3.1875,36.7500,0,0,0,0,-172.5000
186.8750,-1.3750,10.7430,0.0000,0.0000,10.7430,0.0300,0.0000,-0.2600,0.2617,0.2500,1.0600,-10.0300,24,-13.3750,3.5625,37.1875,0,0,0,0,-172.6250
186.8750,-1.4375,50.1338,-3.5810,-14.3239,52.2628,0.0300,-0.0800,-0.2000,0.2175,0.2700,1.1800,-9.9700,24,-13.6875,4.7500,36.0000,0,0,0,0,-172.5625
186.8750,-1.3750,32.2289,-7.1620,7.1620,33.7830,0.0600,-0.1000,-0.1500,0.1900,0.2900,1.1700,-9.9100,24,-13.3750,2.5000,36.0000,0,0,0,0,-172.6875
186.8125,-1.3750,-35.8099,-17.9049,-3.5810,40.1965,0.0000,-0.0300,-0.2800,0.2816,0.2700,1.1800,-10.0200,24,-13.6875,4.0000,36.7500,0,0,0,0,-172.7500
186.8750,-1.3750,-46.5528,3.5810,-10.7430,47.9103,0.0100,-0.0300,-0.2000,0.2025,0.2800,1.1800,-9.9500,24,-13.3750,2.0625,34.5000,0,0,0,0,-172.6875
186.8750,-1.3750,68.0387,-10.7430,0.0000,68.8817,0.0700,-0.1600,-0.2200,0.2809,0.3000,1.1100,-9.9700,24,-12.5625,3.1875,35.1875,0,0,0,0,-172.5625
186.8750,-1.3750,3.5810,14.3239,-21.4859,26.0700,0.0600,-0.0800,-0.1500,0.1803,0.2700,1.1600,-9.9200,24,-13.3750,3.1875,35.5625,0,0,0,0,-172.4375
186.7500,-1.3125,39.3908,-14.3239,-28.6479,50.7692,0.0300,-0.0300,-0.1500,0.1559,0.3200,1.1300,-9.9900,24,-13.3750,3.1875,36.3750,0,0,0,0,-172.5625
186.6875,-1.3125,28.6479,28.6479,28.6479,49.6196,0.0300,-0.0700,-0.1800,0.1954,0.2600,1.1200,-9.8900,24,-13.0000,4.0000,36.0000,0,0,0,0,-172.7500
186.7500,-1.3750,-3.5810,-17.9049,14.3239,23.2074,0.0500,-0.0700,-0.2500,0.2644,0.3000,1.1200,-9.9100,24,-13.3750,4.0000,36.3750,0,0,0,0,-172.6875
186.7500,-1.4375,-39.3908,-3.5810,-25.0669,46.8275,0.0700,-0.1000,-0.1800,0.2175,0.3100,1.1300,-9.9600,24,-13.0000,4.0000,36.3750,0,0,0,0,-172.6250
186.6875,-1.4375,-7.1620,-3.5810,3.5810,8.7716,0.0700,-0.0700,-0.2500,0.2689,0.3300,1.1600,-9.9800,24,-12.5625,3.5625,36.0000,0,0,0,0,-172.6250
186.6250,-1.3750,-42.9718,-17.9049,-3.5810,46.6903,0.0100,-0.1100,-0.2400,0.2642,0.2800,1.1200,-9.9500,24,-12.5000,2.5000,35.5625,0,0,0,0,-172.6875
186.3750,-0.6875,999.0952,-232.7641,-107.4296,1031.4608,0.1300,-0.1300,-0.1100,0.2142,0.1200,0.4800,-9.8200,24,-12.0625,5.0625,36.0000,0,0,0,0,-175.6875
183.0000,1.4375,494.1761,-14.3239,-57.2958,497.6927,0.1200,-0.0500,-0.1500,0.1985,-0.1800,-2.2600,-9.4700,24,-14.0000,13.0625,31.2500,0,0,0,0,166.7500
183.8125,0.0625,-1819.1409,225.6021,232.7641,1847.7958,0.1900,-0.0900,-0.1500,0.2583,0.2200,-1.1200,-9.8900,24,-14.5000,11.5625,30.6875,0,0,0,0,172.1250
188.9375,-0.2500,-1174.5634,-547.8909,1464.6234,1955.7365,-0.3300,-0.0300,0.1200,0.3524,0.5400,0.6000,-10.4900,24,-14.5625,6.6875,32.7500,0,0,0,0,-173.5000
194.0625,-10.6875,859.4367,-737.6832,53.7148,1133.8840,-0.0700,0.4800,0.5600,0.7409,1.6100,1.8700,-8.8200,24,-16.8750,1.0000,30.0000,0,0,0,0,-163.8125
191.6250,-7.0000,-859.4367,-802.1409,-426.1374,1250.4616,0.0500,0.4600,-0.4400,0.6385,0.3600,0.5200,-11.4200,24,-14.1875,6.7500,30.8750,0,0,0,0,-168.8125
191.8750,-5.0000,343.7747,-3.5810,984.7713,1043.0571,-0.0300,0.2000,-0.9500,0.9713,0.5500,-0.4100,-10.5200,24,-13.5625,6.3750,29.6875,0,0,0,0,-169.6875
SHOT,MECH
192.1250,-4.3125,21.4859,-311.5458,411.8134,516.8295,-0.1800,0.0000,-0.1600,0.2408,0.5500,1.7500,-9.7800,24,-12.7500,6.7500,29.6875,0,0,0,1,-169.6250
192.2500,-4.2500,121.7535,-307.9648,583.7008,671.0982,-1.3000,-1.3100,-0.6100,1.9438,-0.5800,0.4200,-10.2300,24,-12.7500,6.7500,29.6875,0,0,0,1,-169.6875
192.5625,-4.1250,487.0141,-393.9085,429.7184,759.6081,-0.0400,-0.7000,-0.4700,0.8441,0.6600,1.0100,-10.1000,24,-13.1875,6.0000,28.8750,0,0,0,1,-169.8750
